Country,Week,ILI_p1e5,Year,cases,positivity,tests
Austria,40,585.4485228979702,2015,,,
Austria,41,552.851987949813,2015,,,
Austria,42,769.5944526160957,2015,,,
Austria,43,722.4580440221515,2015,,,
Austria,44,657.1248537222071,2015,,,
Austria,45,645.7721346896166,2015,,,
Austria,46,708.6010417492927,2015,,,
Austria,47,711.8408651222777,2015,,,
Austria,48,693.4229880226937,2015,,,
Austria,49,798.2478891098239,2015,,,
Austria,50,766.548514452033,2015,2,40.0,5
Austria,51,710.8291463104031,2015,1,11.11111111,9
Austria,1,643.2560451448787,2016,6,66.66666666,9
Austria,2,782.601532251421,2016,5,29.4117647,17
Austria,3,1038.405444822557,2016,11,36.66666666,30
Austria,4,1193.362810821091,2016,26,50.98039215,51
Austria,5,1542.547305521744,2016,37,54.4117647,68
Austria,6,1694.800505506409,2016,43,59.72222222,72
Austria,7,1347.191769269691,2016,29,55.76923076,52
Austria,8,1522.130983376727,2016,22,57.89473684,38
Austria,9,1248.129699426125,2016,23,58.97435897,39
Austria,10,1094.717702986799,2016,15,41.66666666,36
Austria,11,1176.75155778458,2016,11,55.0,20
Austria,12,605.4564920441541,2016,8,57.14285714,14
Austria,13,360.5150214592275,2016,1,25.0,4
Austria,14,326.0028732456626,2016,2,66.66666666,3
Austria,40,449.0607431783902,2016,,,
Austria,41,737.4959784195806,2016,,,
Austria,42,812.0561056945752,2016,,,
Austria,43,593.1165070171529,2016,,,
Austria,44,696.6195053461496,2016,,,
Austria,45,762.7488013947406,2016,,,
Austria,46,864.8025367541077,2016,,,
Austria,47,789.4671715296854,2016,1,16.66666666,6
Austria,48,770.7869196691505,2016,,,
Austria,49,642.2064021506446,2016,3,50.0,6
Austria,50,920.1011887438715,2016,8,53.33333333,15
Austria,51,1075.322347787126,2016,21,70.0,30
Austria,52,724.233983286908,2016,44,81.48148148,54
Austria,1,1405.99183215388,2017,20,71.42857142,28
Austria,2,1795.426845906172,2017,48,67.6056338,71
Austria,3,1471.267136348126,2017,42,67.74193548,62
Austria,4,1452.431374115955,2017,43,57.33333333,75
Austria,5,1369.343397944088,2017,23,56.09756097,41
Austria,6,1299.453524389937,2017,23,57.5,40
Austria,7,950.669790079374,2017,8,38.09523809,21
Austria,8,617.3280896198307,2017,2,20.0,10
Austria,9,627.2697259821723,2017,1,11.11111111,9
Austria,10,488.697524219591,2017,1,25.0,4
Austria,11,496.0385807785049,2017,2,40.0,5
Austria,12,468.2770829764148,2017,,,
Austria,13,383.410735500594,2017,,,
Austria,14,152.1573741984567,2017,,,
Austria,40,289.077018377039,2017,,,
Austria,41,616.3113994439294,2017,,,
Austria,42,552.5599273930917,2017,,,
Austria,43,508.1402734596998,2017,,,
Austria,44,430.2752755271501,2017,,,
Austria,45,688.8901862338723,2017,,,
Austria,46,594.9406249256324,2017,,,
Austria,47,613.9787249232526,2017,,,
Austria,48,654.4346874181956,2017,1,14.28571428,7
Austria,49,628.1174949196379,2017,,,
Austria,50,806.4025934555768,2017,10,34.48275862,29
Austria,51,849.8422533609981,2017,17,77.27272727,22
Austria,52,483.3697778800782,2017,9,60.0,15
Austria,1,944.2482962476392,2018,13,65.0,20
Austria,2,1014.684340276537,2018,37,52.85714285,70
Austria,3,1152.238379363321,2018,61,65.59139784,93
Austria,4,1357.815151982719,2018,69,72.63157894,95
Austria,5,1497.177938409744,2018,60,58.82352941,102
Austria,6,1729.789168728457,2018,54,70.12987012,77
Austria,7,1792.895070093977,2018,57,74.02597402,77
Austria,8,1480.517871523261,2018,32,69.56521739,46
Austria,9,1428.73384621215,2018,39,62.9032258,62
Austria,10,1331.172120352548,2018,22,56.41025641,39
Austria,11,937.9934930268842,2018,15,57.69230769,26
Austria,12,811.9816270109061,2018,7,36.84210526,19
Austria,13,639.5134013586105,2018,6,37.5,16
Austria,14,221.4233614671251,2018,1,33.33333333,3
Austria,15,102.2875209224475,2018,3,33.33333333,9
Austria,40,439.5328393821424,2018,,,
Austria,41,439.4062476921941,2018,,,
Austria,42,602.6986506746626,2018,,,
Austria,43,459.8339659908033,2018,,,
Austria,44,490.6953059901861,2018,,,
Austria,45,654.2370251609733,2018,,,
Austria,46,697.1184094626901,2018,,,
Austria,47,763.7960664502577,2018,,,
Austria,48,707.1851012960865,2018,,,
Austria,49,654.4774568875958,2018,1,12.5,8
Austria,50,686.2745098039215,2018,,,
Austria,51,772.0588235294117,2018,2,14.28571428,14
Austria,2,786.8775446288756,2019,14,36.84210526,38
Austria,3,855.3867835891011,2019,17,32.07547169,53
Austria,4,1022.364217252396,2019,27,42.85714285,63
Austria,5,1264.844353875342,2019,37,43.52941176,85
Austria,6,1367.093261034395,2019,35,40.22988505,87
Austria,7,1209.150326797386,2019,37,45.67901234,81
Austria,8,1156.045751633987,2019,49,59.03614457,83
Austria,9,1122.299946191098,2019,42,71.18644067,59
Austria,10,947.8168264110756,2019,38,73.07692307,52
Austria,11,702.8753993610223,2019,25,65.78947368,38
Austria,12,618.2949799361231,2019,14,70.0,20
Austria,13,560.7015497790835,2019,3,30.0,10
Austria,14,352.5393852594469,2019,2,50.0,4
Austria,15,,2019,1,50.0,2
Austria,16,,2019,,,
Austria,17,,2019,,,
Austria,18,,2019,,,
Austria,19,,2019,,,
Austria,40,603.4574562493344,2019,,,
Austria,41,667.9468982215913,2019,,,
Austria,42,742.0456972026478,2019,,,
Austria,43,673.1721114410974,2019,,,
Austria,44,560.820537428023,2019,,,
Austria,45,466.8708448494808,2019,,,
Austria,46,755.2870090634441,2019,,,
Austria,47,777.2589947816534,2019,1,16.66666666,6
Austria,48,837.2336405128056,2019,,,
Austria,49,930.4386353566682,2019,1,16.66666666,6
Austria,50,967.4829385788839,2019,4,23.52941176,17
Austria,51,1157.39622094428,2019,23,44.23076923,52
Austria,52,504.0989867101176,2019,5,31.25,16
Austria,1,406.6063044936284,2020,7,46.66666666,15
Austria,2,772.4119822323361,2020,11,29.72972972,37
Austria,3,1089.075762648443,2020,52,70.27027027,74
Austria,4,1694.382199158706,2020,107,67.72151898,158
Austria,5,2203.259087841095,2020,150,95.54140127,157
Austria,6,2314.145212612091,2020,127,81.93548387,155
Austria,7,1622.478942066571,2020,93,80.17241379,116
Austria,8,1413.58869129047,2020,50,70.42253521,71
Austria,9,1450.088666412265,2020,57,71.25,80
Austria,10,1259.641180415828,2020,79,53.37837837,148
Austria,11,1239.178827603265,2020,64,38.32335329,167
Austria,12,1261.034047919294,2020,26,18.43971631,141
Austria,13,663.6500754147812,2020,1,0.94339622,106
