Country,Week,ILI_p1e5,Year,cases,positivity,tests
Denmark,40,3.814298169136879,2015,,,
Denmark,41,15.78913608755076,2015,,,
Denmark,42,10.6526970122318,2015,,,
Denmark,43,23.55440400691521,2015,,,
Denmark,44,25.92968733118693,2015,,,
Denmark,45,38.79157839095943,2015,,,
Denmark,46,28.29955074463193,2015,,,
Denmark,47,33.81119826886664,2015,,,
Denmark,48,45.75407186373243,2015,,,
Denmark,49,41.02425389955819,2015,,,
Denmark,50,56.74220781463554,2015,,,
Denmark,51,51.21500057240294,2015,,,
Denmark,52,83.559640693545,2015,2,50.0,4
Denmark,53,29.0388891860705,2015,1,50.0,2
Denmark,1,49.80933201936672,2016,,,
Denmark,2,47.16435442677511,2016,1,20.0,5
Denmark,3,67.08450731221129,2016,7,43.75,16
Denmark,4,61.55965790418679,2016,16,66.66666666,24
Denmark,5,118.3559732390915,2016,20,58.82352941,34
Denmark,6,156.4344193191824,2016,9,47.36842105,19
Denmark,7,151.281442809682,2016,15,60.0,25
Denmark,8,172.1032939212797,2016,16,72.72727272,22
Denmark,9,190.8540275943115,2016,3,100.0,3
Denmark,10,174.8557440111908,2016,8,66.66666666,12
Denmark,11,162.174643833336,2016,19,55.88235294,34
Denmark,12,91.45129224652086,2016,6,85.71428571,7
Denmark,13,44.89564568356426,2016,4,44.44444444,9
Denmark,14,42.33947499051011,2016,,,
Denmark,15,27.94012568476209,2016,,,
Denmark,16,25.68779059313108,2016,1,100.0,1
Denmark,17,17.95825827342571,2016,,,
Denmark,18,12.84389529656554,2016,1,100.0,1
Denmark,19,10.60304837640822,2016,,,
Denmark,20,9.01609783285794,2016,,,
Denmark,40,8.417862704659287,2016,,,
Denmark,41,11.18076907718724,2016,,,
Denmark,42,16.0017373314817,2016,1,25.0,4
Denmark,43,32.50050782043469,2016,,,
Denmark,44,22.50908215291519,2016,,,
Denmark,45,16.50481301644092,2016,2,33.33333333,6
Denmark,46,18.32134593841934,2016,,,
Denmark,47,19.43068104537064,2016,,,
Denmark,48,18.57842280118902,2016,1,12.5,8
Denmark,49,30.37416857148741,2016,4,25.0,16
Denmark,50,37.26445527152995,2016,4,30.76923076,13
Denmark,51,45.72564612326043,2016,4,44.44444444,9
Denmark,52,45.45645860516015,2016,4,50.0,8
Denmark,1,63.33951024424972,2017,4,23.52941176,17
Denmark,2,67.04394281732372,2017,14,45.16129032,31
Denmark,3,88.57223503761885,2017,25,65.78947368,38
Denmark,4,105.7403394160202,2017,17,36.17021276,47
Denmark,5,105.0334197244578,2017,20,52.63157894,38
Denmark,6,118.2507337880355,2017,21,70.0,30
Denmark,7,192.6726448304336,2017,18,72.0,25
Denmark,8,96.32244370616462,2017,9,64.28571428,14
Denmark,9,66.22107738325728,2017,3,37.5,8
Denmark,10,52.26867531128502,2017,2,33.33333333,6
Denmark,11,34.26108190267361,2017,,,
Denmark,12,27.75430654323196,2017,,,
Denmark,13,19.70480924473373,2017,,,
Denmark,14,9.41633226614901,2017,,,
Denmark,15,10.19333355985186,2017,,,
Denmark,16,8.305705327417826,2017,1,100.0,1
Denmark,17,11.12371799150148,2017,,,
Denmark,19,8.494492737208708,2017,,,
Denmark,20,5.794666009937852,2017,,,
Denmark,40,14.65711511331782,2017,,,
Denmark,41,11.5893320198757,2017,,,
Denmark,42,15.79238280735925,2017,,,
Denmark,43,9.990303528927805,2017,1,25.0,4
Denmark,44,17.09996763220412,2017,,,
Denmark,45,28.65472304587247,2017,,,
Denmark,46,26.19767015386765,2017,,,
Denmark,47,27.38710872682164,2017,,,
Denmark,48,17.21255040818334,2017,1,14.28571428,7
Denmark,49,30.14166582939817,2017,1,50.0,2
Denmark,50,53.79845400232182,2017,2,18.18181818,11
Denmark,51,33.48231666484979,2017,2,33.33333333,6
Denmark,52,70.07913101877536,2017,2,25.0,8
Denmark,1,57.125175540904,2018,4,20.0,20
Denmark,2,47.1331275186765,2018,7,30.4347826,23
Denmark,3,54.6207852070927,2018,8,30.76923076,26
Denmark,4,80.02462296091105,2018,24,51.06382978,47
Denmark,5,156.0722003570347,2018,30,56.60377358,53
Denmark,6,189.3370198954138,2018,45,60.81081081,74
Denmark,7,306.6829417149831,2018,35,60.34482758,58
Denmark,8,245.6653710093025,2018,21,52.5,40
Denmark,9,172.3186779810201,2018,9,50.0,18
Denmark,10,220.3665801330046,2018,8,53.33333333,15
Denmark,11,208.0154612959007,2018,1,14.28571428,7
Denmark,12,140.3078002367694,2018,6,100.0,6
Denmark,13,147.2998283127829,2018,,,
Denmark,14,39.14813654870028,2018,,,
