Country,Week,ILI_p1e5,Year,cases,positivity,tests
Spain,40,4.868852059930159,2015,1,4.76190476,21
Spain,41,6.593261686556339,2015,,,
Spain,42,8.36936811270749,2015,,,
Spain,43,11.52675845284704,2015,1,1.69491525,59
Spain,44,11.90283776181544,2015,,,
Spain,45,11.18882422939887,2015,1,1.47058823,68
Spain,46,10.79238650501016,2015,1,1.88679245,53
Spain,47,13.37406803097667,2015,,,
Spain,48,17.61028440609316,2015,8,6.41025641,125
Spain,49,15.05296458425897,2015,3,4.54545454,66
Spain,50,13.64961028251879,2015,3,8.82352941,34
Spain,51,21.89793707529299,2015,12,11.34020618,106
Spain,52,18.92851960048204,2015,10,14.49275362,69
Spain,53,17.91049185534231,2015,7,16.27906976,43
Spain,1,26.84427864054437,2016,23,39.65517241,58
Spain,2,45.20098793133622,2016,67,40.11976047,167
Spain,3,79.90817331947355,2016,144,55.59845559,259
Spain,4,139.3016985152646,2016,225,58.29015544,386
Spain,5,155.6457569516193,2016,280,62.92134831,445
Spain,6,176.1250012717626,2016,296,64.34782608,460
Spain,7,167.1634277083965,2016,272,62.10045662,438
Spain,8,195.1683625158666,2016,287,59.29752066,484
Spain,9,176.7624560678106,2016,220,58.82352941,374
Spain,10,187.5192417132355,2016,234,61.7414248,379
Spain,11,183.5149379010285,2016,249,68.78453038,362
Spain,12,109.4466316642979,2016,105,69.07894736,152
Spain,13,59.98807929193556,2016,75,52.08333333,144
Spain,14,40.63997774991189,2016,63,50.80645161,124
Spain,15,30.48328460356903,2016,56,53.84615384,104
Spain,16,22.96219665167202,2016,33,44.0,75
Spain,17,14.51662153165374,2016,17,36.17021276,47
Spain,18,11.06342139639039,2016,11,33.33333333,33
Spain,19,6.785528643892896,2016,8,34.78260869,23
Spain,20,5.828226527528418,2016,4,18.18181818,22
Spain,40,6.250199474451311,2016,,,
Spain,41,8.779775786475852,2016,4,11.76470588,34
Spain,42,11.14738434588741,2016,5,8.47457627,59
Spain,43,9.972783138674705,2016,4,7.01754385,57
Spain,44,10.91886885780738,2016,5,10.63829787,47
Spain,45,19.07936656503004,2016,16,15.46391752,103
Spain,46,24.22463853378645,2016,24,25.26315789,95
Spain,47,30.68970532157199,2016,41,33.06451612,124
Spain,48,37.14654499609773,2016,48,33.33333333,144
Spain,49,32.94625463157492,2016,31,58.49056603,53
Spain,50,63.80843547516982,2016,107,51.19617224,209
Spain,51,91.90045623805733,2016,167,60.07194244,278
Spain,52,145.3533058909936,2016,163,68.7763713,237
Spain,1,183.5098506536547,2017,175,66.28787878,264
Spain,2,228.5517800228191,2017,314,59.24528301,530
Spain,3,229.0989317231769,2017,323,61.75908221,523
Spain,4,193.1494901724456,2017,295,63.77440347,463
Spain,5,137.0215352959057,2017,171,49.13793103,348
