Country,Week,ILI_p1e5,Year,cases,positivity,tests
Finland,40,1.437890327311768,2015,,,
Finland,41,0.4782172062550811,2015,,,
Finland,42,,2015,,,
Finland,43,1.992021952081912,2015,,,
Finland,44,2.913088018954493,2015,,,
Finland,45,1.500893031353655,2015,,,
Finland,46,3.319313186682916,2015,,,
Finland,47,0.9329097922876346,2015,,,
Finland,48,0.9213193292795282,2015,,,
Finland,49,6.845751526602589,2015,1,33.33333333,3
Finland,50,10.77036856201219,2015,,,
Finland,51,48.968665495046,2015,8,53.33333333,15
Finland,52,75.35156213207244,2015,2,40.0,5
Finland,53,98.27772317904267,2015,3,22.22222222,14
Finland,1,128.4838259628175,2016,7,54.54545454,13
Finland,2,184.6474254029769,2016,14,68.42105263,20
Finland,3,277.076891471194,2016,19,58.06451612,33
Finland,4,490.9991758760041,2016,14,32.43243243,43
Finland,5,531.2697606435361,2016,4,15.0,27
Finland,6,532.8587640565356,2016,12,34.48275862,35
Finland,7,532.8587640565356,2016,11,41.66666666,26
Finland,8,524.7650495300991,2016,1,14.28571428,7
Finland,9,205.0560974895275,2016,3,18.18181818,17
Finland,10,145.7023476786838,2016,8,60.0,13
Finland,11,118.952784894611,2016,,,
Finland,12,101.5410715059655,2016,2,100.0,2
Finland,13,106.930088090025,2016,,,
Finland,14,102.3607624260578,2016,2,22.22222222,9
Finland,16,64.76315998772908,2016,,,
Finland,17,44.74019538439756,2016,1,25.0,4
Finland,18,50.35246727089627,2016,,,
Finland,19,4.978641627418375,2016,,,
Finland,20,20.79130586258632,2016,,,
Finland,21,5.27256526117652,2016,,,
Finland,22,0.0,2016,,,
Finland,23,1.972282851658032,2016,,,
Finland,24,3.28713808609672,2016,,,
Finland,25,6.078154009371407,2016,,,
Finland,26,0.09314239143089999,2016,,,
Finland,27,0.0,2016,,,
Finland,28,0.0,2016,,,
Finland,29,0.0,2016,,,
Finland,30,0.0,2016,,,
Finland,31,3.118626307484079,2016,,,
Finland,32,1.242768639976139,2016,,,
Finland,33,3.788616830118421,2016,,,
Finland,34,2.706154878656015,2016,,,
Finland,35,0.0,2016,,,
