Country,Week,ILI_p1e5,Year,cases,positivity,tests
France,40,19.90860461137385,2015,,,
France,41,20.64567890423769,2015,,,
France,42,28.38115962728295,2015,,,
France,43,25.45413882716799,2015,,,
France,44,22.18213686317655,2015,,,
France,45,20.63352097775747,2015,,,
France,46,19.14721446554956,2015,,,
France,47,22.7338027772169,2015,15,2.38095238,630
France,48,24.96630202714883,2015,23,1.42857142,1610
France,49,32.64251285860298,2015,34,2.27272727,1496
France,50,38.05886910554469,2015,36,3.84615384,936
France,51,44.19406275562989,2015,50,10.81081081,463
France,52,29.62734709150635,2015,22,12.9032258,171
France,53,37.74276301705875,2015,12,8.33333333,144
France,1,63.66769617425282,2016,27,14.01869158,193
France,2,67.21391288376685,2016,33,19.83471074,166
France,3,113.4021050306232,2016,75,37.42690058,200
France,4,223.6692580763277,2016,133,48.8,273
France,5,269.6013513104325,2016,181,57.80730897,313
France,6,295.4824061402757,2016,192,64.5614035,297
France,7,312.3774020609213,2016,206,70.62937062,292
France,8,293.861450668977,2016,194,72.28464419,268
France,9,346.4008958520743,2016,221,71.1038961,311
France,10,394.4254678497792,2016,259,74.78005865,346
France,11,458.7831246242689,2016,221,76.65505226,288
France,12,410.0203851721622,2016,174,76.65198237,227
France,13,257.0841403336474,2016,113,74.66666666,151
France,14,139.5031036325943,2016,76,61.29032258,124
France,15,72.9746319564863,2016,41,51.25,80
France,16,37.77609609506102,2016,19,51.42857142,37
France,17,19.41380405076772,2016,7,30.4347826,23
France,37,6.123776943149746,2016,,,
France,38,8.992084765968226,2016,,,
France,39,15.96550751377639,2016,,,
France,40,20.15498443355485,2016,,,
France,41,20.95341045566293,2016,2,4.44444444,45
France,42,19.46351736912539,2016,1,2.22222222,45
France,43,14.12762119873513,2016,6,10.0,60
France,44,22.81540019778669,2016,4,5.88235294,68
France,45,24.03864912222399,2016,12,21.42857142,56
France,46,31.35855863434321,2016,28,19.48051948,144
France,47,33.54895757046614,2016,39,25.0,156
France,48,61.01481273098425,2016,47,26.22950819,179
France,49,115.0787996770502,2016,106,41.2087912,257
France,50,190.6731728645667,2016,180,61.96581196,290
France,51,282.7693548184453,2016,166,66.98113207,248
France,52,338.1846401453244,2016,119,61.58536585,193
France,1,382.962662762691,2017,146,53.58649789,272
France,2,390.535442753455,2017,199,65.34296028,305
France,3,400.5585483497798,2017,187,62.7306273,298
France,4,384.3009751576549,2017,152,60.1659751,253
France,5,290.2579280172567,2017,132,63.91752577,207
France,6,140.3174836681677,2017,80,47.55244755,168
France,7,89.30575096964704,2017,50,42.26804123,118
France,8,44.27820796103745,2017,14,24.13793103,58
France,9,19.64906361743652,2017,13,22.0,59
France,10,17.68730446289267,2017,6,9.52380952,63
France,11,11.71060812345732,2017,1,7.14285714,14
France,12,13.15832343536669,2017,2,12.5,16
France,13,11.38090070252558,2017,,,
France,14,1.699491887893602,2017,,,
France,15,0.4660863995898679,2017,,,
France,37,14.55957997432658,2017,,,
France,38,17.17925530063876,2017,,,
France,39,22.40361925231169,2017,,,
France,40,19.07057696071083,2017,,,
France,41,18.63446396302385,2017,,,
France,42,14.93574616820779,2017,4,10.52631578,38
France,43,10.94029169455317,2017,2,12.5,16
France,44,12.80463729291264,2017,,,
France,45,21.03383478534982,2017,5,12.5,40
France,46,20.07918193474293,2017,14,13.51351351,104
France,47,37.42478961594271,2017,19,16.66666666,114
France,48,56.30203813437993,2017,29,23.28767123,125
France,49,95.59866669915783,2017,52,31.95876288,163
France,50,194.130230774513,2017,99,57.66423357,172
France,51,343.8668559906624,2017,133,69.10112359,192
France,52,448.2732068389831,2017,95,72.72727272,131
France,1,352.9263167158095,2018,112,67.12328767,167
France,2,296.8550737760818,2018,113,51.85185185,218
France,3,267.2563393969825,2018,128,65.71428571,195
France,4,262.9911243062019,2018,138,67.74193548,204
France,5,236.5485891474764,2018,132,63.87434554,207
France,6,208.0303959069761,2018,112,61.71428571,181
France,7,211.5192998884719,2018,107,62.82051282,170
France,8,197.6296254466749,2018,122,78.57142857,155
France,9,162.6731454774348,2018,98,67.6056338,145
