Country,Week,ILI_p1e5,Year,cases,positivity,tests
Hungary,40,43.36438223101074,2015,,,
Hungary,41,50.8974542836816,2015,,,
Hungary,42,63.45290660238272,2015,,,
Hungary,43,46.95702541771601,2015,,,
Hungary,44,56.04487341831518,2015,,,
Hungary,45,67.21627975481302,2015,1,7.69230769,13
Hungary,46,62.85643627425264,2015,,,
Hungary,47,69.95457872162575,2015,,,
Hungary,48,82.34099476165137,2015,,,
Hungary,49,83.37142814319651,2015,,,
Hungary,50,80.31217727530864,2015,,,
Hungary,51,84.39944389051945,2015,,,
Hungary,52,40.71278994691052,2015,,,
Hungary,53,33.14187813338201,2015,,,
Hungary,1,75.03733142346239,2016,,,
Hungary,2,85.5228973865663,2016,54,57.30337078,94
Hungary,3,109.3026630528912,2016,1,4.0,25
Hungary,4,184.7144789750359,2016,12,22.5,53
Hungary,5,320.0440587431175,2016,5,10.20408163,49
Hungary,6,443.2960253151521,2016,38,40.22988505,94
Hungary,7,479.0124843769748,2016,42,41.0,102
Hungary,8,445.7769851189223,2016,49,46.875,105
Hungary,9,368.4927467033662,2016,50,45.37037037,110
Hungary,10,238.865065363488,2016,43,50.0,86
Hungary,11,151.9470853403362,2016,19,55.88235294,34
Hungary,12,105.8854920024154,2016,34,43.24324324,79
Hungary,13,71.57334981065128,2016,11,62.5,18
Hungary,14,47.5595313326499,2016,6,28.57142857,21
Hungary,15,32.62696194769388,2016,2,28.57142857,7
Hungary,16,30.14600214392376,2016,4,30.76923076,13
Hungary,17,19.4731939314787,2016,,,
Hungary,18,18.72422493411413,2016,,,
Hungary,19,10.90686102412148,2016,,,
Hungary,20,8.566332907357216,2016,,,
Hungary,40,38.9956424798083,2016,,,
Hungary,41,50.95041772927917,2016,,,
Hungary,42,53.1701012750749,2016,,,
Hungary,43,50.33069879526901,2016,,,
Hungary,44,36.10575361470435,2016,,,
Hungary,45,57.93217401817558,2016,,,
Hungary,46,55.45994198459578,2016,,,
Hungary,47,63.01641632601469,2016,,,
Hungary,48,81.65459784538108,2016,,,
Hungary,49,84.4939613150466,2016,4,36.36363636,11
Hungary,50,102.7666391278941,2016,1,5.88235294,17
Hungary,51,100.2581566643478,2016,13,72.22222222,18
Hungary,52,82.89109484023541,2016,11,43.47826086,25
Hungary,1,163.3549918757568,2017,16,48.48484848,33
Hungary,2,320.4817025922472,2017,,,
Hungary,3,697.5674898378264,2017,89,65.15151515,137
Hungary,4,1042.366966662209,2017,110,63.80368098,172
Hungary,5,933.6926196700109,2017,91,59.57446808,153
Hungary,6,671.1888872809338,2017,84,54.96183206,153
Hungary,7,446.6959884373791,2017,19,20.27027027,94
Hungary,8,295.1564122902305,2017,33,28.78787878,115
Hungary,9,172.9721907246239,2017,45,55.35714285,81
Hungary,10,113.0249845666856,2017,6,21.42857142,28
Hungary,11,65.1221750623286,2017,7,19.04761904,37
Hungary,12,45.15503840468073,2017,10,17.24137931,58
Hungary,13,44.0559299648102,2017,2,16.66666666,12
Hungary,14,22.44013064735655,2017,,,
Hungary,15,14.65477919827366,2017,,,
Hungary,16,16.31629411128446,2017,,,
Hungary,17,12.41076613353801,2017,,,
Hungary,18,10.07516069881314,2017,,,
Hungary,19,6.731943622032964,2017,,,
Hungary,20,5.36606509684591,2017,,,
Hungary,40,56.40163173829642,2017,,,
Hungary,41,51.09360046778612,2017,,,
Hungary,42,54.85393904867194,2017,,,
Hungary,43,45.32096315509125,2017,,,
Hungary,44,43.75175030574364,2017,,,
Hungary,45,53.55750684398166,2017,,,
Hungary,46,59.97740036512889,2017,,,
Hungary,47,73.16676092866734,2017,,,
Hungary,48,86.8638212184625,2017,2,13.33333333,15
Hungary,49,88.93200743794971,2017,1,6.66666666,15
Hungary,50,112.0872690875259,2017,,,
Hungary,51,91.10178069847522,2017,4,20.0,20
Hungary,52,48.50836769342712,2017,,,
Hungary,1,101.2471162903508,2018,6,42.85714285,14
Hungary,2,129.2146344856891,2018,15,28.57142857,53
