Country,Week,ILI_p1e5,Year,cases,positivity,tests
Ireland,40,4.185851820845541,2015,1,20.0,5
Ireland,41,4.116920543433511,2015,,,
Ireland,42,3.74265503948501,2015,,,
Ireland,43,4.491186047382012,2015,,,
Ireland,44,2.994124031588008,2015,,,
Ireland,45,3.989260909631272,2015,,,
Ireland,46,4.491186047382012,2015,2,9.09090909,22
Ireland,47,7.111044575021519,2015,6,33.33333333,18
Ireland,48,6.736779071073018,2015,4,10.52631578,38
Ireland,49,8.745779210902564,2015,3,21.42857142,14
Ireland,50,10.91435991042698,2015,5,18.18181818,28
Ireland,51,13.54886057846107,2015,13,27.02702702,48
Ireland,52,6.66140766061881,2015,5,15.38461538,33
Ireland,53,10.51801209571391,2015,7,46.66666666,15
Ireland,1,44.13765158750832,2016,51,61.97183098,82
Ireland,2,46.2792532211412,2016,45,60.56338028,74
Ireland,3,70.12008063809273,2016,62,57.69230769,107
Ireland,4,80.63809273380664,2016,69,54.91803278,126
Ireland,5,77.48268910509246,2016,62,59.61538461,104
Ireland,6,70.12008063809273,2016,67,63.8095238,105
Ireland,7,70.13939318797712,2016,55,55.67010309,99
Ireland,8,61.12290461898835,2016,54,63.09523809,86
Ireland,9,40.31904636690332,2016,20,35.71428571,56
Ireland,10,29.07261977010826,2016,27,55.10204081,49
Ireland,11,16.67724100425994,2016,14,56.0,25
Ireland,12,17.72747901066485,2016,3,13.63636363,22
Ireland,13,9.536221748943069,2016,4,36.36363636,11
Ireland,14,8.765010079761591,2016,8,66.66666666,12
Ireland,15,8.542718933868677,2016,6,54.54545454,11
Ireland,16,8.414409676571127,2016,4,28.57142857,14
Ireland,17,4.074179700955209,2016,1,16.66666666,6
Ireland,18,3.960524373427042,2016,1,50.0,2
Ireland,19,4.306632213608957,2016,1,50.0,2
Ireland,20,2.162349176144964,2016,,,
Ireland,21,2.103602419142782,2016,,,
Ireland,22,0.3573534404202476,2016,,,
Ireland,23,0.0,2016,,,
Ireland,24,0.0,2016,,,
Ireland,25,1.530778209372189,2016,,,
Ireland,26,0.3849144335214282,2016,,,
Ireland,27,0.3763572382905853,2016,,,
Ireland,28,0.7668358817845805,2016,,,
Ireland,29,0.7611856227259579,2016,,,
Ireland,30,0.7584261141279616,2016,,,
Ireland,31,0.3792130570639808,2016,,,
Ireland,32,0.3978231119315107,2016,,,
Ireland,33,0.3986191831495698,2016,,,
Ireland,34,1.90719584994183,2016,,,
Ireland,35,0.3926727269157521,2016,,,
Ireland,36,1.224614756607817,2016,,,
Ireland,37,2.447990403877617,2016,,,
Ireland,38,1.947950755804893,2016,,,
Ireland,39,6.761379003134096,2016,3,33.33333333,9
Ireland,40,4.644699816921415,2016,,,
Ireland,41,5.356514286588818,2016,,,
Ireland,42,3.805551538584486,2016,,,
Ireland,43,4.715099198433136,2016,,,
Ireland,44,4.36697114159904,2016,,,
Ireland,45,8.472272722458936,2016,,,
Ireland,46,8.290499088045099,2016,8,24.0,33
Ireland,47,11.52422247511488,2016,6,13.63636363,44
Ireland,48,15.04722513735416,2016,12,21.21212121,57
Ireland,49,25.39002992117372,2016,25,45.45454545,55
Ireland,50,44.80197128673662,2016,51,50.63291139,101
Ireland,51,53.71543883335873,2016,52,61.53846153,85
Ireland,52,48.43942443449788,2016,60,71.95121951,83
Ireland,1,90.37090903956198,2017,84,63.49206349,132
Ireland,2,64.95409087218518,2017,57,49.09090909,116
Ireland,3,32.1240340726568,2017,40,63.49206349,63
Ireland,4,25.7698295308126,2017,18,34.69387755,52
Ireland,5,25.04300864528211,2017,15,50.0,30
Ireland,6,15.56944333808865,2017,5,22.22222222,23
Ireland,7,9.243557062966397,2017,7,35.0,20
Ireland,8,8.204733060793505,2017,3,15.78947368,19
Ireland,9,7.901504159064461,2017,4,36.36363636,11
Ireland,10,7.362198057852151,2017,3,23.07692307,13
Ireland,11,4.967072448890893,2017,,,
Ireland,12,6.001193178408413,2017,3,27.27272727,11
Ireland,13,3.044035782640625,2017,1,33.33333333,3
Ireland,14,5.934060717309258,2017,,,
Ireland,15,3.55082813202768,2017,,,
Ireland,16,1.934752409734126,2017,,,
Ireland,17,3.877421773015729,2017,,,
Ireland,18,0.7120681306787433,2017,,,
Ireland,19,1.086342502064051,2017,,,
Ireland,20,2.540595079956157,2017,,,
Ireland,21,1.946267448287674,2017,,,
Ireland,22,1.113755248571609,2017,,,
Ireland,23,1.869773981721089,2017,,,
Ireland,24,1.10279116443719,2017,,,
Ireland,25,0.373900265843089,2017,,,
Ireland,26,0.7478564564317525,2017,,,
Ireland,27,0.8141532399228182,2017,,,
Ireland,28,0.3867349898482065,2017,,,
Ireland,29,2.319638445687599,2017,,,
Ireland,30,1.132870618622882,2017,,,
Ireland,31,0.8222061435243044,2017,,,
Ireland,32,1.466313285164942,2017,,,
Ireland,33,1.610046691354049,2017,,,
Ireland,34,3.538194813006404,2017,,,
Ireland,35,0.7411030577912164,2017,,,
Ireland,36,1.113184933412988,2017,,,
Ireland,37,0.7790831749197543,2017,,,
Ireland,38,2.936534155562896,2017,,,
Ireland,39,5.782973274402082,2017,,,
Ireland,40,5.443213673352747,2017,2,20.0,10
Ireland,41,4.605454274924364,2017,1,9.09090909,11
Ireland,42,7.087938939271284,2017,,,
Ireland,43,5.206453225224225,2017,2,11.11111111,18
Ireland,44,3.423426507591449,2017,2,18.18181818,11
Ireland,45,7.498807007976002,2017,4,8.0,50
Ireland,46,7.756382153576366,2017,5,17.39130434,29
Ireland,47,5.0585101001585,2017,,,
Ireland,48,7.532827720806011,2017,6,14.28571428,42
Ireland,49,7.081914140221899,2017,13,41.37931034,31
Ireland,50,18.85738231596591,2017,17,41.02564102,41
Ireland,51,25.92885812765986,2017,39,65.51724137,60
Ireland,52,29.25544882734409,2017,42,61.76470588,68
Ireland,1,94.82474416012126,2018,86,52.25806451,165
Ireland,2,97.1233939230432,2018,107,56.74157303,189
Ireland,3,100.8329679964928,2018,120,65.73033707,183
Ireland,4,89.02977776278959,2018,86,62.5,138
Ireland,5,72.94965451179978,2018,83,70.33898305,118
Ireland,6,63.86864463831359,2018,59,60.0,98
Ireland,7,63.63941354896949,2018,63,62.0,102
Ireland,8,41.20822516174228,2018,40,59.70149253,67
Ireland,9,28.96703551358554,2018,30,66.66666666,45
Ireland,10,31.68993465673256,2018,26,65.0,40
Ireland,11,16.78018717536058,2018,36,59.6491228,60
Ireland,12,13.83494222182255,2018,11,47.82608695,23
Ireland,13,12.90191152004889,2018,13,68.42105263,19
Ireland,14,4.11522633744856,2018,6,54.54545454,11
Ireland,15,6.234802668495542,2018,1,12.5,8
Ireland,16,4.182058967031435,2018,1,20.0,5
Ireland,17,5.88379844183173,2018,2,16.66666666,12
Ireland,18,1.052170100832968,2018,1,50.0,2
Ireland,19,1.057924915542327,2018,,,
Ireland,20,0.7149649309701359,2018,,,
Ireland,21,0.6836882244958655,2018,1,50.0,2
Ireland,22,0.3514567883878676,2018,,,
Ireland,23,0.0,2018,,,
Ireland,24,0.0,2018,,,
Ireland,25,0.3418441122479328,2018,,,
Ireland,26,0.0,2018,,,
Ireland,27,0.0,2018,,,
Ireland,28,0.0,2018,,,
Ireland,29,0.6911279899924666,2018,,,
Ireland,30,1.709220561239663,2018,,,
Ireland,31,0.6905362013603563,2018,,,
Ireland,32,1.025532336743798,2018,,,
Ireland,33,0.0,2018,,,
Ireland,34,0.0,2018,,,
Ireland,35,0.3593709570767329,2018,,,
Ireland,36,0.3471969057811756,2018,,,
Ireland,37,1.395697761649715,2018,,,
Ireland,38,3.105697229027916,2018,,,
