Country,Week,ILI_p1e5,Year,cases,positivity,tests
Italy,42,39.99522359200268,2015,,,
Italy,43,54.22978487929722,2015,,,
Italy,44,69.69291344024954,2015,,,
Italy,45,69.44700251135963,2015,,,
Italy,46,77.9681790506952,2015,,,
Italy,47,91.86690296029674,2015,,,
Italy,48,102.315094153792,2015,1,2.94117647,34
Italy,49,118.8121821753016,2015,,,
Italy,50,121.6341424588873,2015,,,
Italy,51,148.7385695229748,2015,1,1.88679245,53
Italy,52,131.8573756202723,2015,2,5.55555555,36
Italy,53,164.1941457407531,2015,,,
Italy,1,199.6507796781895,2016,6,10.16949152,59
Italy,2,253.5313292285404,2016,25,18.93939393,132
Italy,3,358.2225687574016,2016,35,27.13178294,129
Italy,4,473.7917159399812,2016,107,40.37735849,265
Italy,5,545.3629690429332,2016,134,49.26470588,272
Italy,6,611.0011608652648,2016,154,55.19713261,279
Italy,7,569.9969734673975,2016,160,57.55395683,278
Italy,8,619.5630206613005,2016,204,58.62068965,348
Italy,9,567.3951456830542,2016,149,64.5021645,231
Italy,10,572.5421818443139,2016,106,57.60869565,184
Italy,11,474.4592715643377,2016,108,62.06896551,174
Italy,12,391.8317281482827,2016,55,53.92156862,102
Italy,13,276.0984767948908,2016,18,56.25,32
Italy,14,181.5380679321679,2016,14,46.66666666,30
Italy,15,140.4688117855862,2016,15,50.0,30
Italy,16,96.02274963827455,2016,5,50.0,10
Italy,42,59.49274077077051,2016,,,
Italy,43,71.97080041811607,2016,,,
Italy,44,78.99616049246542,2016,,,
Italy,45,99.25153260488418,2016,,,
Italy,46,123.1718789125683,2016,3,6.52173913,46
Italy,47,153.5852051530211,2016,9,17.3076923,52
Italy,48,189.02394906302,2016,30,29.70297029,101
Italy,49,234.4874721886952,2016,41,39.04761904,105
Italy,50,425.2351707305374,2016,78,43.82022471,178
Italy,51,722.987658645833,2016,127,53.81355932,236
Italy,52,1011.776463930064,2016,86,57.33333333,150
Italy,1,910.5052946669858,2017,51,54.83870967,93
Italy,2,846.7408151640627,2017,95,62.91390728,151
Italy,3,754.9301516097942,2017,118,56.73076923,208
Italy,4,639.4136520826144,2017,106,53.26633165,199
Italy,5,557.5686543863937,2017,45,45.0,100
Italy,6,437.2617232644428,2017,69,39.42857142,175
Italy,7,323.1856549212446,2017,35,34.65346534,101
Italy,8,249.3268175925002,2017,20,25.0,80
Italy,9,210.3848622440568,2017,10,19.23076923,52
Italy,10,172.1049850708452,2017,9,21.42857142,42
Italy,11,150.4127756314113,2017,6,17.64705882,34
Italy,12,125.0357024705082,2017,1,4.34782608,23
Italy,13,98.68833226698187,2017,,,
Italy,14,96.33158577173931,2017,1,11.11111111,9
Italy,15,70.09845021198221,2017,1,25.0,4
Italy,16,63.57394283781395,2017,,,
Italy,17,55.78848195555707,2017,,,
Italy,42,89.11684756242283,2017,,,
Italy,43,85.09356582844187,2017,,,
Italy,44,94.57708515355218,2017,,,
Italy,45,123.8811065827323,2017,,,
Italy,46,159.7713906272767,2017,2,12.5,16
Italy,47,185.1739024475159,2017,6,22.22222222,27
Italy,48,238.0130032847817,2017,14,37.83783783,37
Italy,49,311.4174085586619,2017,19,33.92857142,56
Italy,50,473.7651895421254,2017,57,42.85714285,133
Italy,51,720.6609620036057,2017,69,55.64516129,124
Italy,52,1145.487892586463,2017,115,70.55214723,163
Italy,1,1379.571264970262,2018,152,63.86554621,238
Italy,2,1472.665092995044,2018,207,75.54744525,274
Italy,3,1387.344779259721,2018,189,68.72727272,275
Italy,4,1268.930894709383,2018,188,65.05190311,289
Italy,5,1072.170203612893,2018,162,74.65437788,217
Italy,6,896.5180544633972,2018,84,59.15492957,142
Italy,7,712.1395564779191,2018,92,61.74496644,149
Italy,8,624.1436239849369,2018,63,57.79816513,109
Italy,9,474.4131232416093,2018,30,45.45454545,66
Italy,10,362.3401066672927,2018,18,34.61538461,52
Italy,11,262.6544259141751,2018,16,55.17241379,29
Italy,12,215.1970991366169,2018,3,13.63636363,22
Italy,13,172.5780026512957,2018,5,45.45454545,11
Italy,14,132.0513349564643,2018,,,
Italy,15,111.2784280898416,2018,1,33.33333333,3
Italy,16,89.07363420427554,2018,,,
Italy,17,63.87363277789692,2018,,,
Italy,42,78.57093337647031,2018,,,
Italy,43,94.45115571980874,2018,,,
Italy,44,100.6559994446566,2018,,,
Italy,45,146.9271400072543,2018,,,
Italy,46,177.6926037118478,2018,2,5.12820512,39
Italy,47,213.6029352544991,2018,2,4.76190476,42
Italy,48,238.1823820473347,2018,3,5.88235294,51
Italy,49,275.3543172474097,2018,2,3.57142857,56
Italy,50,331.3277019043477,2018,8,8.1632653,98
Italy,51,370.9207690991813,2018,9,9.67741935,93
Italy,52,426.5721550552263,2018,15,32.60869565,46
Italy,1,572.08782912999,2019,21,24.70588235,85
Italy,2,762.612641231351,2019,65,34.39153439,189
Italy,3,1002.537385573872,2019,179,55.59006211,322
Italy,4,1245.599631494334,2019,193,60.69182389,318
Italy,5,1402.510125562609,2019,173,64.5522388,268
Italy,6,1322.807057233268,2019,173,60.91549295,284
Italy,7,1116.100822056658,2019,118,59.59595959,198
Italy,8,900.0516899750164,2019,78,55.71428571,140
Italy,9,655.2196339952394,2019,66,58.40707964,113
Italy,10,475.2604835360905,2019,39,46.9879518,83
Italy,11,366.2175502373922,2019,34,51.51515151,66
Italy,12,286.7482895483468,2019,16,38.09523809,42
Italy,13,234.7796063988951,2019,4,20.0,20
Italy,14,191.6391375524627,2019,2,18.18181818,11
Italy,15,150.9374201537782,2019,1,20.0,5
Italy,16,118.6181033535799,2019,,,
Italy,17,90.61638941830937,2019,,,
Italy,42,106.9220901578959,2019,,,
Italy,43,116.4692371062061,2019,,,
Italy,44,115.0329558389753,2019,,,
Italy,45,174.7664764055224,2019,,,
Italy,46,215.1689079261104,2019,1,2.04081632,49
Italy,47,237.7337820902337,2019,2,3.22580645,62
Italy,48,239.0968574986719,2019,7,10.14492753,69
Italy,49,300.8472964777046,2019,12,11.65048543,103
Italy,50,349.1130190759362,2019,13,15.85365853,82
Italy,51,420.3240712714652,2019,22,21.3592233,103
Italy,52,392.0570334078877,2019,10,28.57142857,35
Italy,1,493.3737457059592,2020,29,40.27777777,72
Italy,2,659.1113690101737,2020,63,44.05594405,143
Italy,3,846.4402710236636,2020,90,39.47368421,228
Italy,4,1066.169221101499,2020,168,51.21951219,328
Italy,5,1261.666281004485,2020,153,56.04395604,273
Italy,6,1210.519128348192,2020,152,58.01526717,262
Italy,7,1072.299481193073,2020,152,67.85714285,224
Italy,8,914.7381215355172,2020,96,68.08510638,141
Italy,9,719.2773031434127,2020,46,62.16216216,74
Italy,10,535.4275528258493,2020,17,40.47619047,42
Italy,11,405.4715374795396,2020,2,5.88235294,34
Italy,12,278.8885186419341,2020,1,6.66666666,15
Italy,13,170.91104055425,2020,,,
Italy,14,111.5406880582203,2020,,,
Italy,15,73.34135492914564,2020,,,
Italy,16,56.25143692078233,2020,,,
Italy,17,41.62016430686521,2020,,,
