Country,Week,ILI_p1e5,Year,cases,positivity,tests
Luxembourg,40,0.0,2015,,,
Luxembourg,41,626.3048016701462,2015,,,
Luxembourg,42,190.1140684410646,2015,,,
Luxembourg,43,894.4543828264758,2015,,,
Luxembourg,44,0.0,2015,,,
Luxembourg,45,0.0,2015,,,
Luxembourg,46,207.0393374741201,2015,,,
Luxembourg,47,194.1747572815534,2015,,,
Luxembourg,48,0.0,2015,1,33.33333333,3
Luxembourg,49,674.1573033707865,2015,1,12.5,8
Luxembourg,50,927.6437847866418,2015,,,
Luxembourg,51,1244.813278008299,2015,2,14.28571428,14
Luxembourg,52,704.225352112676,2015,1,9.09090909,11
Luxembourg,53,662.2516556291391,2015,,,
Luxembourg,1,439.2386530014641,2016,3,25.0,12
Luxembourg,2,747.6635514018691,2016,2,25.0,8
Luxembourg,3,1039.501039501039,2016,4,22.22222222,18
Luxembourg,4,1548.672566371681,2016,15,51.72413793,29
Luxembourg,5,2823.920265780731,2016,21,50.0,42
Luxembourg,6,2153.846153846154,2016,16,66.66666666,24
Luxembourg,7,3909.465020576131,2016,21,41.17647058,51
Luxembourg,8,5210.420841683366,2016,23,53.48837209,43
Luxembourg,9,4887.218045112782,2016,34,49.27536231,69
Luxembourg,10,5123.674911660777,2016,30,55.55555555,54
Luxembourg,11,3259.005145797599,2016,26,66.66666666,39
Luxembourg,12,2586.206896551724,2016,22,50.0,44
Luxembourg,13,4439.746300211415,2016,19,70.37037037,27
Luxembourg,14,2217.294900221729,2016,8,53.33333333,15
Luxembourg,15,1310.861423220974,2016,5,45.45454545,11
Luxembourg,16,0.0,2016,3,37.5,8
Luxembourg,17,652.1739130434781,2016,2,22.22222222,9
Luxembourg,18,245.7002457002457,2016,,,
Luxembourg,19,293.2551319648094,2016,,,
Luxembourg,20,609.7560975609755,2016,,,
Luxembourg,40,0.0,2016,,,
Luxembourg,41,0.0,2016,,,
Luxembourg,42,0.0,2016,,,
Luxembourg,43,0.0,2016,,,
Luxembourg,44,0.0,2016,,,
Luxembourg,45,197.6284584980237,2016,,,
Luxembourg,46,216.9197396963123,2016,,,
Luxembourg,47,170.6484641638225,2016,3,100.0,3
Luxembourg,48,171.2328767123288,2016,,,
Luxembourg,49,1232.394366197183,2016,8,61.53846153,13
Luxembourg,50,1153.212520593081,2016,,,
Luxembourg,51,2519.685039370078,2016,24,58.53658536,41
Luxembourg,52,3422.053231939163,2016,15,78.94736842,19
Luxembourg,1,5141.388174807198,2017,21,58.33333333,36
Luxembourg,2,3630.862329803328,2017,24,54.54545454,44
Luxembourg,3,1713.395638629283,2017,21,45.65217391,46
Luxembourg,4,3669.724770642202,2017,17,38.63636363,44
Luxembourg,5,3333.333333333333,2017,22,36.66666666,60
Luxembourg,6,2813.299232736573,2017,15,44.11764705,34
Luxembourg,7,1902.748414376321,2017,10,34.48275862,29
Luxembourg,8,671.1409395973154,2017,,,
Luxembourg,9,1598.173515981735,2017,2,20.0,10
Luxembourg,10,539.0835579514825,2017,1,12.5,8
Luxembourg,11,446.4285714285714,2017,,,
Luxembourg,12,1028.80658436214,2017,,,
Luxembourg,13,0.0,2017,,,
Luxembourg,14,0.0,2017,,,
Luxembourg,15,0.0,2017,,,
Luxembourg,16,0.0,2017,,,
Luxembourg,17,0.0,2017,,,
Luxembourg,18,529.100529100529,2017,,,
Luxembourg,19,0.0,2017,,,
Luxembourg,20,0.0,2017,,,
Luxembourg,40,0.0,2017,,,
Luxembourg,41,0.0,2017,,,
Luxembourg,42,398.406374501992,2017,,,
Luxembourg,43,424.6284501061571,2017,,,
Luxembourg,44,1762.114537444934,2017,,,
Luxembourg,45,0.0,2017,,,
Luxembourg,46,0.0,2017,,,
Luxembourg,47,0.0,2017,,,
Luxembourg,48,271.7391304347826,2017,,,
Luxembourg,49,303.030303030303,2017,,,
Luxembourg,50,773.6943907156673,2017,3,16.66666666,18
Luxembourg,51,405.6795131845842,2017,4,28.57142857,14
Luxembourg,52,,2017,7,85.71428571,8
Luxembourg,1,1369.86301369863,2018,11,42.85714285,26
Luxembourg,2,4816.51376146789,2018,29,66.66666666,44
Luxembourg,3,6435.643564356435,2018,66,73.86363636,89
Luxembourg,4,13055.95408895265,2018,97,67.15328467,144
Luxembourg,5,8718.86120996441,2018,93,60.28368794,154
Luxembourg,6,8604.651162790698,2018,87,80.18867924,108
Luxembourg,7,9282.700421940928,2018,61,76.92307692,79
Luxembourg,8,10047.09576138148,2018,67,69.23076923,97
Luxembourg,9,8695.652173913042,2018,85,66.94214876,127
Luxembourg,10,7765.151515151513,2018,75,69.81132075,107
Luxembourg,11,8823.529411764704,2018,28,54.0,52
Luxembourg,12,3942.652329749104,2018,19,48.71794871,39
Luxembourg,13,3854.875283446712,2018,19,47.36842105,40
Luxembourg,14,1449.275362318841,2018,4,30.76923076,13
Luxembourg,15,0.0,2018,2,50.0,4
Luxembourg,16,320.5128205128205,2018,,,
Luxembourg,17,0.0,2018,1,100.0,1
Luxembourg,18,0.0,2018,,,
Luxembourg,19,0.0,2018,,,
Luxembourg,20,0.0,2018,,,
Luxembourg,40,0.0,2018,,,
Luxembourg,41,0.0,2018,,,
Luxembourg,42,248.7562189054726,2018,,,
Luxembourg,43,0.0,2018,,,
Luxembourg,44,0.0,2018,,,
Luxembourg,45,227.7904328018223,2018,,,
Luxembourg,46,500.0,2018,,,
Luxembourg,47,1007.556675062972,2018,2,10.0,20
Luxembourg,48,0.0,2018,2,12.5,16
Luxembourg,49,1754.385964912281,2018,5,30.0,17
Luxembourg,50,1538.461538461538,2018,6,15.78947368,38
Luxembourg,51,2518.89168765743,2018,15,22.58064516,66
Luxembourg,52,0.0,2018,1,50.0,2
Luxembourg,1,813.0081300813007,2019,,,
Luxembourg,2,3571.428571428571,2019,12,52.38095238,23
Luxembourg,3,1600.0,2019,16,41.17647058,39
Luxembourg,4,4318.181818181818,2019,52,57.89473684,90
Luxembourg,5,5605.381165919282,2019,43,45.0,96
Luxembourg,6,7377.049180327868,2019,60,55.4347826,108
Luxembourg,7,9224.318658280921,2019,62,58.94736842,105
Luxembourg,8,8943.089430894308,2019,55,64.28571428,86
Luxembourg,9,2946.954813359529,2019,22,45.83333333,48
Luxembourg,10,2688.172043010753,2019,16,43.24324324,37
Luxembourg,11,2721.088435374149,2019,19,39.53488372,48
Luxembourg,12,2088.167053364269,2019,11,29.03225806,38
Luxembourg,13,1746.724890829694,2019,6,21.42857142,28
Luxembourg,14,458.7155963302752,2019,,,
Luxembourg,15,335.5704697986577,2019,,,
Luxembourg,16,0.0,2019,,,
Luxembourg,17,0.0,2019,,,
Luxembourg,18,0.0,2019,,,
Luxembourg,19,0.0,2019,,,
Luxembourg,20,0.0,2019,,,
Luxembourg,40,294.1176470588235,2019,,,
Luxembourg,41,403.2258064516129,2019,,,
Luxembourg,42,273.972602739726,2019,,,
Luxembourg,43,1183.431952662722,2019,,,
Luxembourg,44,1612.903225806451,2019,,,
Luxembourg,45,815.2173913043478,2019,,,
Luxembourg,46,595.2380952380952,2019,,,
Luxembourg,47,0.0,2019,,,
Luxembourg,48,0.0,2019,,,
Luxembourg,49,507.6142131979695,2019,,,
Luxembourg,50,433.8394793926247,2019,,,
Luxembourg,51,975.6097560975609,2019,8,35.29411764,23
Luxembourg,52,568.1818181818181,2019,3,28.57142857,11
Luxembourg,1,874.6355685131194,2020,2,7.69230769,26
Luxembourg,2,2034.883720930232,2020,13,22.22222222,59
Luxembourg,3,2586.206896551724,2020,15,36.36363636,41
Luxembourg,4,6971.677559912854,2020,42,50.79365079,83
Luxembourg,5,7259.953161592505,2020,60,61.36363636,98
Luxembourg,6,9105.960264900661,2020,73,52.5,139
Luxembourg,7,8834.586466165414,2020,113,79.85074626,142
Luxembourg,8,6705.539358600582,2020,56,60.0,93
Luxembourg,9,7293.354943273906,2020,39,42.16867469,92
Luxembourg,10,3056.768558951965,2020,33,50.0,66
Luxembourg,11,5923.344947735191,2020,46,53.75,86
Luxembourg,12,3584.905660377358,2020,,,
Luxembourg,13,10077.51937984496,2020,,,
Luxembourg,14,5376.344086021505,2020,,,
Luxembourg,15,4225.352112676056,2020,,,
Luxembourg,16,0.0,2020,,,
Luxembourg,17,0.0,2020,,,
Luxembourg,18,0.0,2020,,,
Luxembourg,19,0.0,2020,,,
Luxembourg,20,0.0,2020,,,
