Country,Week,ILI_p1e5,Year,cases,positivity,tests
Netherlands,40,27.49022808298612,2015,,,
Netherlands,41,46.38975989003909,2015,,,
Netherlands,42,45.50147879806093,2015,,,
Netherlands,43,39.97841165770484,2015,,,
Netherlands,44,32.47724456219819,2015,,,
Netherlands,45,42.93001565682924,2015,2,10.0,20
Netherlands,46,28.11753128075355,2015,1,9.09090909,11
Netherlands,47,33.55531464560425,2015,,,
Netherlands,48,31.79240419316033,2015,1,20.0,5
Netherlands,49,36.1958955537972,2015,3,25.0,12
Netherlands,50,52.10013149080805,2015,3,14.28571428,21
Netherlands,51,48.97748754081456,2015,6,38.46153846,16
Netherlands,52,40.04293966295772,2015,10,33.33333333,30
Netherlands,53,46.77749815228882,2015,3,18.18181818,17
Netherlands,1,82.23826589795529,2016,12,30.4347826,39
Netherlands,2,78.538143358291,2016,21,30.76923076,68
Netherlands,3,104.5930342686311,2016,21,42.5,49
Netherlands,4,120.6344860628668,2016,38,52.45901639,72
Netherlands,5,120.1500158769664,2016,34,60.41666666,56
Netherlands,6,118.4188917028982,2016,45,62.68656716,72
Netherlands,7,147.346873952249,2016,38,71.15384615,53
Netherlands,8,118.4188917028982,2016,30,60.86956521,49
Netherlands,9,130.110189871146,2016,33,58.0,57
Netherlands,10,107.5809281941395,2016,39,70.58823529,55
Netherlands,11,69.30066220632774,2016,21,65.625,32
Netherlands,12,45.72601717058603,2016,12,57.14285714,21
Netherlands,13,49.45515507124895,2016,8,53.33333333,15
Netherlands,14,45.96757644161707,2016,6,54.54545454,11
Netherlands,15,39.26417269552722,2016,2,22.22222222,9
Netherlands,16,25.44633695875231,2016,3,37.5,8
Netherlands,17,17.33432716809097,2016,,,
Netherlands,18,11.82355616189177,2016,1,50.0,2
Netherlands,19,15.50210502268203,2016,2,33.33333333,6
Netherlands,20,12.21558056582569,2016,,,
Netherlands,21,13.0299526035474,2016,,,
Netherlands,22,16.57728745845317,2016,1,100.0,1
Netherlands,23,17.15896555950484,2016,,,
Netherlands,24,13.22445201176976,2016,,,
Netherlands,25,21.22421258171321,2016,,,
Netherlands,26,17.92405322590282,2016,,,
Netherlands,27,18.73421845727784,2016,,,
Netherlands,28,12.83954580106729,2016,,,
Netherlands,29,15.18154598743305,2016,,,
Netherlands,30,11.43430114430968,2016,,,
Netherlands,31,10.64186838464624,2016,,,
Netherlands,32,8.316077472577733,2016,,,
Netherlands,33,5.979941567428112,2016,,,
Netherlands,34,8.223751840064473,2016,,,
Netherlands,35,13.38508901084192,2016,,,
Netherlands,36,19.31366944268475,2016,,,
Netherlands,37,20.86263116413482,2016,,,
Netherlands,38,20.60630077273628,2016,,,
Netherlands,39,26.00294158276655,2016,,,
Netherlands,40,33.4301747124607,2016,,,
Netherlands,41,40.65196548418024,2016,,,
Netherlands,42,25.2412644190723,2016,1,14.28571428,7
Netherlands,43,28.22232551962282,2016,,,
Netherlands,44,31.77099467041564,2016,,,
Netherlands,45,36.03548345051254,2016,,,
Netherlands,46,54.43658138268916,2016,5,21.05263157,24
Netherlands,47,43.53308514470997,2016,3,7.69230769,39
