Country,Week,ILI_p1e5,Year,cases,positivity,tests
Norway,40,23.85883312812007,2015,,,
Norway,41,25.45540221036179,2015,,,
Norway,42,26.94772477539827,2015,,,
Norway,43,28.18910563178997,2015,,,
Norway,44,27.69528251426167,2015,,,
Norway,45,28.43790565561416,2015,1,16.66666666,6
Norway,46,30.30078843545997,2015,4,44.44444444,9
Norway,47,32.24264401636491,2015,5,33.33333333,15
Norway,48,34.05200326196125,2015,,,
Norway,49,36.04148626521356,2015,2,33.33333333,6
Norway,50,43.22445066204361,2015,,,
Norway,51,45.92404077815963,2015,3,20.0,15
Norway,52,32.87034013169006,2015,7,63.63636363,11
Norway,53,33.88035735729911,2015,2,25.0,8
Norway,1,67.99165043776307,2016,1,7.69230769,13
Norway,2,71.34107941748098,2016,6,40.0,15
Norway,3,81.63607371640181,2016,2,25.0,8
Norway,4,119.6863493186024,2016,9,40.9090909,22
Norway,5,132.7108445903152,2016,13,61.9047619,21
Norway,6,151.60345670985,2016,13,38.23529411,34
Norway,7,170.5329991798084,2016,16,61.53846153,26
Norway,8,161.6911854330433,2016,6,33.33333333,18
Norway,9,155.54423679972,2016,4,30.76923076,13
Norway,10,132.8090799740644,2016,4,36.36363636,11
Norway,11,117.7011226672824,2016,5,50.0,10
Norway,12,48.43081315314926,2016,,,
Norway,13,68.7049058795946,2016,2,100.0,2
Norway,14,63.11306086418919,2016,2,33.33333333,6
Norway,15,46.63799265127606,2016,,,
Norway,16,40.24998063574814,2016,,,
Norway,17,38.20165366281046,2016,,,
Norway,18,25.56736112532784,2016,,,
Norway,19,26.42947878895542,2016,,,
Norway,20,16.04341274006181,2016,,,
Norway,21,,2016,,,
Norway,22,,2016,,,
Norway,23,,2016,,,
Norway,24,,2016,,,
Norway,25,,2016,,,
Norway,26,,2016,,,
Norway,27,,2016,,,
Norway,28,,2016,,,
Norway,29,,2016,,,
Norway,30,,2016,,,
Norway,31,,2016,,,
Norway,32,,2016,,,
Norway,34,,2016,,,
Norway,36,,2016,,,
Norway,37,,2016,,,
Norway,38,,2016,,,
Norway,39,,2016,,,
Norway,40,25.29594074884687,2016,,,
Norway,41,28.62098365245636,2016,,,
Norway,42,32.87019257017326,2016,,,
Norway,43,33.46046803960091,2016,1,12.5,8
Norway,44,35.04386411487611,2016,6,24.0,25
