Country,Week,ILI_p1e5,Year,cases,positivity,tests
Poland,40,265.1815502461064,2015,,,
Poland,41,324.999786869857,2015,,,
Poland,42,352.1559013597029,2015,1,10.0,10
Poland,43,306.0011433633813,2015,,,
Poland,44,322.0213502734459,2015,,,
Poland,45,355.3103984777042,2015,,,
Poland,46,284.0703986323035,2015,,,
Poland,47,308.2751025368373,2015,,,
Poland,48,303.7028930810551,2015,,,
Poland,49,321.7577696399554,2015,,,
Poland,50,298.6605127933964,2015,,,
Poland,51,330.8027962707401,2015,,,
Poland,52,212.0879793277762,2015,,,
Poland,53,266.2591332213801,2015,,,
Poland,1,253.6842695785209,2016,,,
Poland,2,258.4439722350902,2016,2,8.33333333,24
Poland,3,301.5658262710638,2016,7,24.0,29
Poland,4,406.2458351533004,2016,17,37.77777777,45
Poland,5,514.3817976543949,2016,75,46.20253164,162
Poland,6,538.884118973328,2016,92,33.82899628,272
Poland,7,709.4764325798561,2016,85,36.36363636,234
Poland,8,739.2258166479147,2016,85,39.52380952,215
Poland,9,699.7284608365466,2016,71,47.33333333,150
Poland,10,562.9759729560016,2016,70,40.58823529,172
Poland,11,508.7307653453136,2016,53,54.7368421,97
Poland,12,416.6821609540044,2016,38,35.18518518,108
Poland,13,561.2975183567246,2016,9,32.14285714,28
Poland,14,326.873397328961,2016,12,34.28571428,35
Poland,15,276.4606575583488,2016,4,40.0,10
Poland,16,281.4114067180971,2016,6,42.85714285,14
Poland,17,276.4299042694403,2016,2,50.0,4
Poland,18,188.8702985139566,2016,2,100.0,2
Poland,19,196.0515280230971,2016,,,
Poland,20,176.0622821564402,2016,,,
Poland,21,140.5249222182229,2016,,,
Poland,22,148.039986975717,2016,,,
Poland,23,148.8077744469915,2016,,,
Poland,24,128.6107892866531,2016,,,
Poland,25,138.2631173580476,2016,,,
Poland,27,114.0516188438841,2016,,,
Poland,28,93.71165888557815,2016,,,
Poland,29,83.40425022472256,2016,,,
Poland,30,75.77303361800342,2016,,,
Poland,31,86.8667500887596,2016,,,
Poland,32,94.60542940353233,2016,,,
Poland,33,81.37523124890153,2016,,,
Poland,34,100.7512384216919,2016,,,
Poland,35,96.67850294439084,2016,,,
Poland,36,131.3271433055558,2016,,,
Poland,37,211.8718210478006,2016,,,
Poland,38,273.4010001644215,2016,,,
Poland,39,292.1840759678597,2016,,,
Poland,40,275.4219692477658,2016,,,
Poland,41,304.8348084744268,2016,,,
Poland,42,333.3671477936995,2016,,,
Poland,43,311.140151288153,2016,,,
Poland,44,266.6406683338413,2016,1,16.66666666,6
Poland,45,288.7606528709367,2016,,,
Poland,46,339.1230364923672,2016,,,
Poland,47,311.1426564830247,2016,,,
Poland,48,347.0312597822265,2016,,,
Poland,49,389.1699357063416,2016,2,25.0,8
Poland,50,392.3397514194555,2016,1,50.0,2
Poland,51,382.6094268694254,2016,4,44.44444444,9
Poland,52,339.0360259699912,2016,3,33.33333333,9
Poland,1,492.0318992220589,2017,25,54.34782608,46
Poland,2,576.9010561978694,2017,44,64.70588235,68
Poland,3,677.4705753396449,2017,74,54.47761194,136
Poland,4,772.449630777646,2017,105,53.60824742,196
Poland,5,839.3754809901925,2017,64,42.28187919,151
Poland,6,703.4331512279251,2017,71,52.23880597,136
Poland,7,561.6925343152499,2017,66,43.70860927,151
Poland,8,504.1647810521505,2017,59,51.78571428,114
Poland,9,463.9307389315512,2017,26,34.66666666,75
Poland,10,412.0467148393558,2017,16,24.61538461,65
Poland,11,371.1256933592151,2017,3,7.69230769,39
Poland,12,389.9660043651415,2017,2,11.76470588,17
Poland,13,332.5832240977438,2017,,,
Poland,14,264.5415692752387,2017,,,
Poland,15,217.0242133239358,2017,1,100.0,1
Poland,16,206.6511435760694,2017,,,
Poland,17,214.2596337354876,2017,,,
Poland,18,184.0556121750506,2017,,,
Poland,19,224.2937783392768,2017,,,
Poland,20,221.4057084414478,2017,,,
Poland,21,214.6903202668645,2017,,,
Poland,22,147.9964226985546,2017,,,
Poland,23,156.4341684661154,2017,,,
Poland,24,123.9406748913221,2017,,,
Poland,25,161.4765085380348,2017,,,
Poland,26,142.2389614552448,2017,,,
Poland,27,118.3700196443862,2017,,,
Poland,28,108.1534669465093,2017,,,
Poland,29,120.6232945152675,2017,,,
Poland,30,90.59826059141452,2017,,,
Poland,31,89.43648144512073,2017,,,
Poland,32,84.4624595941855,2017,,,
Poland,33,79.64903355571552,2017,,,
Poland,34,93.99333237823457,2017,,,
Poland,35,126.4557571110581,2017,,,
Poland,36,159.9383969797408,2017,,,
Poland,37,259.0160771000544,2017,,,
Poland,38,331.3026957221384,2017,,,
Poland,39,359.3590775927257,2017,,,
Poland,40,354.7830987309865,2017,,,
Poland,41,341.1728196448528,2017,,,
Poland,42,317.9588093181476,2017,,,
Poland,43,304.8112193107315,2017,,,
Poland,44,251.2993211955329,2017,,,
Poland,45,324.1225491924089,2017,,,
Poland,46,349.8634656427366,2017,,,
Poland,47,341.5920704118613,2017,,,
Poland,48,412.7019989703284,2017,2,10.52631578,19
Poland,49,415.1678288634508,2017,,,
Poland,50,356.8356267052608,2017,3,16.66666666,18
Poland,51,433.5405546250138,2017,3,23.07692307,13
Poland,52,268.7178892410894,2017,2,14.28571428,14
Poland,1,273.5426233698112,2018,4,22.22222222,18
Poland,2,334.749168639415,2018,21,40.81632653,51
Poland,3,513.4097545149777,2018,47,51.11111111,92
Poland,4,606.3677222728862,2018,86,53.50318471,161
Poland,5,796.0029838172804,2018,95,53.07262569,179
Poland,6,766.0480274216158,2018,89,53.01204819,168
Poland,7,815.1385222764549,2018,75,55.46875,135
Poland,8,706.9429907704919,2018,94,47.44897959,198
Poland,9,698.4006319291764,2018,83,47.39884393,175
Poland,10,637.0125308739887,2018,62,65.59139784,95
Poland,11,564.5294365706533,2018,30,47.45762711,63
Poland,12,461.1677829422432,2018,13,39.39393939,33
Poland,13,385.7579008168991,2018,6,46.15384615,13
Poland,14,395.6791984157569,2018,2,22.22222222,9
Poland,15,311.6707531825338,2018,1,50.0,2
Poland,16,265.0984767070295,2018,,,
Poland,17,203.8683836325519,2018,,,
Poland,18,126.0341804697434,2018,,,
Poland,19,219.3183112583399,2018,,,
Poland,20,193.0320504627506,2018,,,
Poland,21,196.9702859956718,2018,,,
Poland,22,118.6187505491609,2018,,,
Poland,23,131.1223632742195,2018,,,
Poland,24,166.7969183836289,2018,,,
Poland,25,104.5278327090967,2018,,,
Poland,26,97.36842361495852,2018,,,
Poland,27,103.7503878849729,2018,,,
Poland,28,105.4105106928422,2018,,,
Poland,29,81.30909495013103,2018,,,
Poland,30,70.8193287796756,2018,,,
Poland,31,57.61781592887326,2018,,,
Poland,32,67.50918387923551,2018,,,
Poland,33,70.98016461681667,2018,,,
Poland,34,78.3031516063605,2018,,,
Poland,35,89.77117604868003,2018,,,
Poland,36,97.35019843359031,2018,,,
Poland,37,203.4614716305608,2018,,,
Poland,38,195.3784921400006,2018,,,
Poland,39,263.4905646008803,2018,,,
Poland,40,306.2641612529312,2018,,,
Poland,41,288.7495420949426,2018,,,
Poland,42,323.8859272395592,2018,,,
Poland,43,345.4236357191796,2018,,,
Poland,44,252.8828746258743,2018,,,
Poland,45,263.1240215168995,2018,,,
Poland,46,281.7831766263649,2018,,,
Poland,47,371.9435702181041,2018,,,
Poland,48,414.632489250808,2018,,,
Poland,49,441.2167224836643,2018,1,12.5,8
Poland,50,469.4195027428291,2018,2,15.38461538,13
Poland,51,395.1606559214291,2018,2,25.0,8
Poland,52,319.0639274816794,2018,,,
Poland,1,312.7029468492883,2019,4,30.76923076,13
Poland,2,334.749168639415,2019,11,45.83333333,24
Poland,3,351.7339498835192,2019,25,26.4367816,95
Poland,4,388.088294687539,2019,51,57.30337078,89
Poland,5,416.3685612848494,2019,86,58.33333333,147
Poland,6,534.2357671796724,2019,54,48.21428571,112
Poland,7,510.180179336063,2019,67,52.5,128
Poland,8,498.4398544440379,2019,21,26.25,80
Poland,9,456.3106980669763,2019,11,22.44897959,49
Poland,10,344.4012973224544,2019,8,34.78260869,23
Poland,11,415.8651504239837,2019,2,15.38461538,13
Poland,12,398.1728113496744,2019,2,16.66666666,12
Poland,13,323.1790648022964,2019,1,11.11111111,9
Poland,14,252.9130579969919,2019,1,25.0,4
Poland,15,299.7608240307142,2019,4,33.33333333,12
Poland,16,176.4842373521269,2019,,,
Poland,17,158.3425263200789,2019,,,
Poland,18,108.4544106851337,2019,,,
Poland,19,133.4204885877489,2019,,,
Poland,20,158.7078527466286,2019,,,
Poland,21,130.7001253831824,2019,,,
Poland,22,210.1171353495898,2019,,,
Poland,23,162.3192819299499,2019,,,
Poland,24,141.8494323061342,2019,,,
Poland,25,114.4202771100819,2019,,,
Poland,26,69.97801097460025,2019,,,
Poland,27,83.8435101452579,2019,,,
Poland,28,83.06993283287238,2019,,,
Poland,29,67.10949936892,2019,,,
Poland,30,89.39992952273374,2019,,,
Poland,31,70.23262705586012,2019,,,
Poland,32,73.37647100933411,2019,,,
Poland,33,52.68729793782309,2019,,,
Poland,34,66.33677739781011,2019,,,
Poland,35,90.13650480294676,2019,,,
Poland,36,82.943994605767,2019,,,
Poland,37,176.7966177705036,2019,,,
Poland,38,271.4634586326155,2019,,,
Poland,39,364.7232342570253,2019,,,
Poland,40,321.8257440929784,2019,,,
Poland,41,347.1515061746681,2019,1,50.0,2
Poland,42,352.5534848963429,2019,,,
Poland,43,321.9150296085945,2019,,,
Poland,44,233.6559603649556,2019,,,
Poland,45,334.4501013602389,2019,,,
Poland,46,269.3521952251116,2019,,,
Poland,47,327.7366547625788,2019,,,
Poland,48,331.7521388521935,2019,,,
Poland,49,409.3203853516951,2019,,,
Poland,50,387.2224311320663,2019,1,9.09090909,11
Poland,51,390.6658727154084,2019,2,20.0,10
Poland,52,182.5800278170642,2019,1,50.0,2
Poland,1,213.616648535624,2020,2,100.0,2
Poland,2,313.5401134690221,2020,1,20.0,5
Poland,3,526.0202408306545,2020,2,66.66666666,3
Poland,4,541.3639649278213,2020,18,46.15384615,39
Poland,5,593.6499200357346,2020,48,67.1641791,71
Poland,6,539.2909957475846,2020,50,46.22641509,108
Poland,7,534.5408287689742,2020,58,45.6,127
Poland,8,589.685275509085,2020,45,46.9879518,96
Poland,9,635.3858011634793,2020,37,43.58974358,85
Poland,10,524.3544815885176,2020,38,45.07042253,84
Poland,11,444.8113282428207,2020,12,24.24242424,50
Poland,12,216.0057343226331,2020,,,
Poland,13,149.3932430170904,2020,,,
Poland,14,91.63213953037474,2020,,,
Poland,15,66.63098808100294,2020,,,
Poland,16,47.63649086611353,2020,,,
Poland,17,48.98996662194634,2020,,,
Poland,18,33.50278589180484,2020,,,
Poland,19,32.994890692174,2020,,,
Poland,20,31.49181943175122,2020,,,
Poland,21,27.03433360367667,2020,,,
Poland,22,38.03342856281303,2020,,,
Poland,23,29.63655605612753,2020,,,
Poland,24,23.62848278025898,2020,,,
Poland,25,23.64251230338588,2020,,,
Poland,26,22.28406697526219,2020,,,
Poland,27,27.84144097614513,2020,,,
Poland,28,27.17372089053031,2020,,,
Poland,29,24.20314438340211,2020,,,
Poland,30,31.93004617344922,2020,,,
Poland,31,41.21354331182408,2020,,,
Poland,32,45.14612739174888,2020,,,
Poland,33,54.47412071220322,2020,,,
Poland,34,54.79222369598998,2020,,,
Poland,35,58.82807951765044,2020,,,
Poland,36,74.17771605562078,2020,,,
Poland,37,149.5341195393344,2020,,,
Poland,38,156.3482847050854,2020,,,
Poland,39,167.16790052498,2020,,,
