Country,Week,ILI_p1e5,Year,cases,positivity,tests
Portugal,40,4.239443784975411,2015,,,
Portugal,41,0.0,2015,,,
Portugal,42,4.236570072869005,2015,,,
Portugal,43,6.363347120585427,2015,,,
Portugal,44,7.156403191755824,2015,,,
Portugal,45,3.636099192785978,2015,,,
Portugal,46,0.0,2015,,,
Portugal,47,19.9773589931411,2015,,,
Portugal,48,9.62556550197324,2015,,,
Portugal,49,13.06620209059233,2015,2,20.0,10
Portugal,50,10.59359440658215,2015,1,5.0,20
Portugal,51,12.87332646755921,2015,8,33.33333333,24
Portugal,52,10.81665765278529,2015,10,56.25,18
Portugal,53,34.98950314905528,2015,12,31.03448275,39
Portugal,1,52.19443561929832,2016,11,36.36363636,30
Portugal,2,36.42544924720738,2016,17,45.94594594,37
Portugal,3,53.4199448706169,2016,25,57.14285714,44
Portugal,4,42.72062956717257,2016,17,59.25925925,29
Portugal,5,34.77387322991326,2016,7,26.92307692,26
Portugal,6,56.86735072320435,2016,11,50.0,22
Portugal,7,60.19844729522148,2016,12,34.375,35
Portugal,8,34.12220624436374,2016,2,15.38461538,13
Portugal,9,22.54057303145662,2016,5,45.45454545,11
Portugal,10,12.27777232099008,2016,3,37.5,8
Portugal,11,20.13439710064682,2016,7,50.0,14
Portugal,12,8.065817067268913,2016,2,50.0,4
Portugal,13,10.40402288885035,2016,1,33.33333333,3
Portugal,14,8.423890152472412,2016,2,66.66666666,3
Portugal,15,3.282886313646957,2016,2,100.0,2
Portugal,16,6.548788474132285,2016,1,33.33333333,3
Portugal,17,0.0,2016,1,50.0,2
Portugal,18,3.686228251253317,2016,,,
Portugal,19,18.86881456672484,2016,1,100.0,1
Portugal,20,0.0,2016,,,
Portugal,21,0.0,2016,,,
Portugal,22,4.156275976724855,2016,2,100.0,2
Portugal,23,5.229851995188536,2016,,,
Portugal,24,0.0,2016,,,
Portugal,25,0.0,2016,,,
Portugal,26,0.0,2016,,,
Portugal,27,0.0,2016,,,
Portugal,28,0.0,2016,,,
Portugal,29,0.0,2016,,,
Portugal,30,0.0,2016,,,
Portugal,31,0.0,2016,,,
Portugal,32,0.0,2016,,,
Portugal,33,0.0,2016,,,
Portugal,34,4.893325504012527,2016,,,
Portugal,35,0.0,2016,,,
Portugal,36,0.0,2016,,,
Portugal,37,0.0,2016,,,
Portugal,38,8.688097306689833,2016,,,
Portugal,39,11.74582044555812,2016,,,
Portugal,40,0.0,2016,,,
Portugal,41,4.124902033576703,2016,,,
Portugal,42,5.603810591202016,2016,1,12.5,8
Portugal,43,9.70026190707149,2016,2,28.57142857,7
Portugal,44,24.28110583093412,2016,4,25.0,16
Portugal,45,13.83269357125566,2016,7,43.75,16
Portugal,46,24.28110583093412,2016,21,47.72727272,44
Portugal,47,22.58917075154171,2016,29,64.44444444,45
Portugal,48,29.98664231387836,2016,36,65.45454545,55
Portugal,49,47.75712092785263,2016,74,70.19230769,105
Portugal,50,68.3526999316473,2016,75,68.18181818,110
Portugal,51,106.1453749364233,2016,76,69.09090909,110
Portugal,52,66.08881319742761,2016,54,49.52380952,109
Portugal,1,85.95707058303452,2017,62,54.0,115
Portugal,2,50.08537279453614,2017,24,33.84615384,71
Portugal,3,35.45330996041047,2017,14,28.26086956,50
Portugal,4,20.85554062195856,2017,4,16.66666666,24
Portugal,5,11.75203212222113,2017,4,18.75,21
Portugal,6,24.51731535396874,2017,4,12.5,32
Portugal,7,8.029226384037896,2017,,,
Portugal,8,0.0,2017,,,
Portugal,9,3.087753967763848,2017,,,
Portugal,10,3.36870473303015,2017,,,
Portugal,11,2.44307632170429,2017,,,
Portugal,12,0.0,2017,,,
Portugal,13,3.021421881137263,2017,,,
Portugal,14,0.0,2017,,,
Portugal,15,0.0,2017,,,
Portugal,16,0.0,2017,,,
Portugal,17,0.0,2017,,,
Portugal,18,0.0,2017,,,
Portugal,19,0.0,2017,,,
Portugal,20,0.0,2017,,,
Portugal,21,0.0,2017,,,
Portugal,22,0.0,2017,,,
Portugal,23,3.580379520229144,2017,,,
Portugal,24,0.0,2017,,,
Portugal,25,0.0,2017,,,
Portugal,26,0.0,2017,,,
Portugal,27,0.0,2017,,,
Portugal,28,0.0,2017,,,
Portugal,29,0.0,2017,,,
Portugal,30,0.0,2017,,,
Portugal,31,0.0,2017,,,
Portugal,32,0.0,2017,,,
Portugal,33,0.0,2017,,,
Portugal,34,0.0,2017,,,
Portugal,35,2.347197446249178,2017,,,
Portugal,36,0.0,2017,,,
Portugal,37,3.178942683663414,2017,,,
Portugal,38,5.799286687737408,2017,,,
Portugal,39,11.36966573182748,2017,,,
Portugal,40,4.561835682678709,2017,,,
Portugal,41,0.0,2017,,,
Portugal,42,7.707723138584861,2017,,,
Portugal,43,6.226068549014724,2017,,,
Portugal,44,7.32627568775413,2017,,,
Portugal,45,6.4231576242881,2017,,,
Portugal,46,9.84510370175899,2017,2,11.76470588,17
Portugal,47,11.70932765040631,2017,2,10.0,20
Portugal,48,14.59683540608396,2017,8,26.66666666,30
Portugal,49,3.572576899717766,2017,16,40.0,40
Portugal,50,19.00314909327831,2017,28,55.10204081,51
Portugal,51,9.70873786407767,2017,34,57.14285714,60
Portugal,52,55.65410970816376,2017,41,52.77777777,78
Portugal,1,48.721071863581,2018,47,42.3076923,111
Portugal,2,33.47450843412071,2018,50,51.06382978,98
Portugal,3,58.69331902334316,2018,58,53.7735849,108
Portugal,4,39.52072143280579,2018,44,56.16438356,78
Portugal,5,35.00787677227376,2018,28,45.90163934,61
Portugal,6,25.29169757874148,2018,30,60.0,50
Portugal,7,30.40091202736082,2018,25,52.08333333,48
Portugal,8,23.74732842555212,2018,11,50.0,22
Portugal,9,16.07946830558136,2018,14,48.27586206,29
Portugal,10,15.75244162845241,2018,16,51.61290322,31
Portugal,11,26.22606871230003,2018,12,60.0,20
Portugal,12,4.487423994256097,2018,1,20.0,5
Portugal,13,0.0,2018,1,20.0,5
Portugal,14,14.69453730575658,2018,1,50.0,2
Portugal,15,0.0,2018,,,
Portugal,16,6.16408802317697,2018,,,
Portugal,17,0.0,2018,,,
Portugal,18,0.0,2018,,,
Portugal,19,0.0,2018,,,
Portugal,20,0.0,2018,,,
Portugal,21,0.0,2018,,,
Portugal,22,0.0,2018,,,
Portugal,23,7.300868803387603,2018,,,
Portugal,24,0.0,2018,,,
Portugal,25,0.0,2018,,,
Portugal,26,3.647771211789597,2018,,,
Portugal,27,0.0,2018,,,
Portugal,28,3.024528929619211,2018,,,
Portugal,29,0.0,2018,,,
Portugal,31,0.0,2018,,,
Portugal,32,0.0,2018,,,
Portugal,33,0.0,2018,,,
Portugal,34,0.0,2018,,,
Portugal,35,0.0,2018,,,
Portugal,36,0.0,2018,,,
Portugal,37,0.0,2018,,,
Portugal,38,0.0,2018,,,
Portugal,39,0.0,2018,,,
Portugal,40,4.155412424683149,2018,,,
Portugal,41,0.0,2018,,,
Portugal,42,6.18773590743147,2018,,,
Portugal,43,10.92537965694308,2018,1,10.0,10
Portugal,44,6.074780548552684,2018,,,
Portugal,45,14.63743083813929,2018,1,5.55555555,18
Portugal,46,8.06321561038542,2018,2,14.28571428,14
Portugal,47,0.0,2018,1,12.5,8
Portugal,48,7.913583666363313,2018,1,4.0,25
Portugal,49,22.73834659736885,2018,6,20.0,30
Portugal,50,6.607056336167026,2018,10,23.52941176,43
Portugal,51,16.29354449767002,2018,15,42.85714285,35
Portugal,52,22.42655303879793,2018,22,47.82608695,46
Portugal,1,81.61414645205168,2019,27,39.13043478,69
Portugal,2,40.73319755600814,2019,40,44.18604651,91
Portugal,3,82.39494644328481,2019,55,55.10204081,100
Portugal,4,84.83328415461787,2019,72,59.66386554,121
Portugal,5,60.25057149439137,2019,61,55.04587155,111
Portugal,6,37.72813733041988,2019,55,61.62790697,89
Portugal,7,26.98618307426597,2019,31,56.36363636,55
Portugal,8,46.55875989373648,2019,16,39.47368421,41
Portugal,9,22.8171585031944,2019,19,61.29032258,31
Portugal,10,42.64543871495078,2019,9,37.5,24
Portugal,11,3.545093590470788,2019,2,12.5,16
Portugal,12,8.508465923593976,2019,1,11.11111111,9
Portugal,13,0.0,2019,,,
Portugal,14,0.0,2019,2,66.66666666,3
Portugal,15,6.524008350730689,2019,,,
Portugal,16,0.0,2019,,,
Portugal,17,0.0,2019,,,
Portugal,18,0.0,2019,,,
Portugal,19,0.0,2019,1,100.0,1
Portugal,20,0.0,2019,,,
Portugal,21,2.713777850145187,2019,,,
Portugal,22,0.0,2019,,,
Portugal,23,0.0,2019,,,
Portugal,24,0.0,2019,,,
Portugal,25,0.0,2019,,,
Portugal,26,0.0,2019,,,
Portugal,27,0.0,2019,,,
Portugal,28,0.0,2019,,,
Portugal,29,0.0,2019,,,
Portugal,30,0.0,2019,,,
Portugal,31,0.0,2019,,,
Portugal,32,0.0,2019,,,
Portugal,33,0.0,2019,,,
Portugal,34,0.0,2019,,,
Portugal,35,0.0,2019,,,
Portugal,36,3.59492396735809,2019,,,
Portugal,37,0.0,2019,,,
Portugal,38,0.0,2019,,,
Portugal,39,0.0,2019,,,
Portugal,40,0.0,2019,,,
Portugal,41,3.310381355932204,2019,,,
Portugal,42,0.0,2019,,,
Portugal,43,9.703085581214825,2019,2,16.66666666,12
Portugal,44,13.41381623071764,2019,5,25.0,20
Portugal,45,19.57932423360931,2019,4,26.66666666,15
Portugal,46,20.24818489485407,2019,10,47.61904761,21
Portugal,47,11.43412514649973,2019,14,53.84615384,26
Portugal,48,5.404821100421575,2019,24,52.17391304,46
Portugal,49,15.08324063425027,2019,26,56.81818181,46
Portugal,50,32.4517280545189,2019,42,54.66666666,77
Portugal,51,38.34600881958202,2019,28,51.92307692,54
Portugal,52,40.34088043971559,2019,25,54.76190476,46
Portugal,1,17.72656769333038,2020,33,48.38709677,68
Portugal,2,43.26360258563648,2020,24,29.72972972,81
Portugal,3,53.30916651118159,2020,21,32.3076923,65
Portugal,4,28.60616462847743,2020,24,42.3076923,57
Portugal,5,10.74413907213615,2020,25,48.97959183,51
Portugal,6,24.52440177977087,2020,23,45.09803921,51
Portugal,7,4.90075961774075,2020,9,31.03448275,29
Portugal,8,10.0458761678331,2020,11,44.0,25
Portugal,9,23.56915583140197,2020,10,38.46153846,26
Portugal,10,9.891849116328144,2020,3,27.27272727,11
Portugal,11,4.486719310839914,2020,,,
Portugal,12,0.0,2020,,,
Portugal,13,0.0,2020,,,
Portugal,14,0.0,2020,,,
Portugal,15,0.0,2020,,,
Portugal,16,0.0,2020,,,
Portugal,17,0.0,2020,,,
Portugal,18,0.0,2020,,,
Portugal,19,0.0,2020,,,
Portugal,20,0.0,2020,,,
Portugal,21,0.0,2020,,,
Portugal,22,0.0,2020,,,
Portugal,23,0.0,2020,,,
Portugal,24,0.0,2020,,,
Portugal,25,0.0,2020,,,
Portugal,26,0.0,2020,,,
Portugal,27,0.0,2020,,,
Portugal,28,0.0,2020,,,
Portugal,29,0.0,2020,,,
Portugal,30,0.0,2020,,,
Portugal,31,0.0,2020,,,
Portugal,32,0.0,2020,,,
Portugal,33,0.0,2020,,,
Portugal,34,0.0,2020,,,
Portugal,35,0.0,2020,,,
Portugal,36,0.0,2020,,,
Portugal,37,0.0,2020,,,
Portugal,38,0.0,2020,,,
Portugal,39,0.0,2020,,,
