Country,Week,ILI_p1e5,Year,cases,positivity,tests
Slovenia,40,0.0,2015,,,
Slovenia,41,0.0,2015,,,
Slovenia,42,0.0,2015,,,
Slovenia,43,0.0,2015,,,
Slovenia,44,0.0,2015,,,
Slovenia,45,0.0,2015,,,
Slovenia,46,0.0,2015,,,
Slovenia,47,0.0,2015,1,20.0,5
Slovenia,48,0.0,2015,,,
Slovenia,49,0.0,2015,1,33.33333333,3
Slovenia,50,0.0,2015,,,
Slovenia,51,0.0,2015,1,10.0,10
Slovenia,52,0.0,2015,,,
Slovenia,53,0.0,2015,2,33.33333333,6
Slovenia,1,3.782195942964485,2016,12,32.25806451,37
Slovenia,2,11.4093023845442,2016,22,43.24324324,51
Slovenia,3,16.16248686797942,2016,22,63.33333333,35
Slovenia,4,28.63415099742292,2016,38,58.62068965,65
Slovenia,5,64.84056425699917,2016,40,62.26415094,64
Slovenia,6,42.12676326035616,2016,35,73.1707317,48
Slovenia,7,51.4064271215037,2016,25,62.85714285,40
Slovenia,8,38.86878434526202,2016,18,39.39393939,46
Slovenia,9,8.443704615087693,2016,9,33.33333333,27
Slovenia,10,12.64719934796661,2016,5,50.0,10
Slovenia,11,9.101428924341121,2016,11,58.82352941,19
Slovenia,12,9.83380863408398,2016,8,57.14285714,14
Slovenia,13,3.644934755667873,2016,6,100.0,6
Slovenia,14,3.87662010415186,2016,3,22.22222222,14
Slovenia,15,3.790894271958754,2016,7,63.63636363,11
Slovenia,16,1.519341213649761,2016,2,50.0,4
Slovenia,17,0.0,2016,2,100.0,2
Slovenia,18,4.2488705085898,2016,,,
Slovenia,19,0.0,2016,,,
Slovenia,20,1.409125496716737,2016,,,
Slovenia,21,0.0,2016,,,
Slovenia,22,1.453467246115609,2016,2,33.33333333,6
Slovenia,23,0.0,2016,1,16.66666666,6
Slovenia,24,0.0,2016,,,
Slovenia,25,0.0,2016,,,
Slovenia,26,0.0,2016,,,
Slovenia,27,0.0,2016,,,
Slovenia,28,0.0,2016,,,
Slovenia,29,0.0,2016,,,
Slovenia,30,0.0,2016,,,
Slovenia,31,0.0,2016,,,
Slovenia,32,0.0,2016,,,
Slovenia,33,0.0,2016,,,
Slovenia,34,0.0,2016,,,
Slovenia,35,0.0,2016,,,
Slovenia,36,0.0,2016,,,
Slovenia,37,0.0,2016,,,
Slovenia,38,0.0,2016,,,
Slovenia,39,0.0,2016,,,
Slovenia,40,0.0,2016,,,
Slovenia,41,0.0,2016,,,
Slovenia,42,0.0,2016,,,
Slovenia,43,0.0,2016,,,
Slovenia,44,2.857796067672611,2016,,,
Slovenia,45,0.0,2016,,,
Slovenia,46,0.0,2016,,,
Slovenia,47,0.0,2016,,,
Slovenia,48,0.0,2016,,,
Slovenia,49,0.0,2016,1,11.11111111,9
Slovenia,50,2.571884162337328,2016,1,12.5,8
Slovenia,51,3.211871075495029,2016,9,23.52941176,38
Slovenia,52,9.15532931719554,2016,16,58.33333333,27
Slovenia,1,19.83418620334007,2017,26,55.81395348,47
Slovenia,2,36.89310836735697,2017,45,60.29411764,75
Slovenia,3,119.3965049386736,2017,47,58.33333333,81
Slovenia,4,120.6140350877193,2017,38,57.89473684,66
Slovenia,5,142.8477819277898,2017,41,69.64285714,59
Slovenia,6,68.7293811856443,2017,18,59.25925925,30
Slovenia,7,38.36332466162349,2017,12,34.375,35
Slovenia,8,31.68487490811386,2017,15,52.0,29
Slovenia,9,12.97409505686978,2017,4,37.5,11
Slovenia,10,8.347046338031527,2017,4,57.14285714,7
Slovenia,11,6.35089992251902,2017,1,14.28571428,7
Slovenia,12,3.525222970352875,2017,8,40.0,20
Slovenia,13,3.70663240090936,2017,1,25.0,4
Slovenia,14,3.671656039262241,2017,,,
Slovenia,15,0.0,2017,1,50.0,2
Slovenia,16,1.300119611004212,2017,,,
Slovenia,17,0.0,2017,,,
Slovenia,18,0.0,2017,,,
Slovenia,19,0.0,2017,,,
Slovenia,20,0.0,2017,,,
Slovenia,21,0.0,2017,,,
Slovenia,22,0.0,2017,,,
Slovenia,23,0.0,2017,,,
Slovenia,24,0.0,2017,,,
Slovenia,25,0.0,2017,,,
Slovenia,26,0.0,2017,,,
Slovenia,27,0.0,2017,,,
Slovenia,28,0.0,2017,,,
Slovenia,29,0.0,2017,,,
Slovenia,30,0.0,2017,,,
Slovenia,31,0.0,2017,,,
Slovenia,32,0.0,2017,,,
Slovenia,33,0.0,2017,,,
Slovenia,34,0.0,2017,,,
Slovenia,35,0.0,2017,,,
Slovenia,36,0.0,2017,,,
Slovenia,37,0.0,2017,,,
Slovenia,38,0.0,2017,,,
Slovenia,39,0.0,2017,,,
Slovenia,40,0.0,2017,,,
Slovenia,41,0.0,2017,,,
Slovenia,42,0.0,2017,,,
Slovenia,43,1.334988719345322,2017,,,
Slovenia,44,0.0,2017,,,
Slovenia,45,0.0,2017,,,
Slovenia,46,0.0,2017,,,
Slovenia,47,0.0,2017,,,
Slovenia,48,0.0,2017,,,
Slovenia,49,0.0,2017,,,
Slovenia,50,2.489327010442727,2017,5,19.04761904,26
Slovenia,51,1.747091093329606,2017,10,20.83333333,48
Slovenia,52,0.0,2017,12,68.75,17
Slovenia,1,15.47051460557219,2018,12,47.61904761,25
Slovenia,2,19.38084655537754,2018,33,45.28301886,73
Slovenia,3,37.09606506924599,2018,40,45.76271186,87
Slovenia,4,63.12318037770849,2018,28,53.65853658,52
Slovenia,5,81.53123422758861,2018,35,53.84615384,65
Slovenia,6,63.12052074429614,2018,23,68.96551724,33
Slovenia,7,53.23941354738307,2018,30,67.56756756,44
Slovenia,8,59.69774091180443,2018,17,60.0,28
Slovenia,9,32.87601947271922,2018,18,53.57142857,34
Slovenia,10,51.19265039570535,2018,30,68.18181818,44
Slovenia,11,41.03574213139644,2018,15,60.0,25
Slovenia,12,18.47185021968307,2018,16,65.2173913,25
Slovenia,13,20.54261859693915,2018,8,57.14285714,14
Slovenia,14,5.218866201317764,2018,6,40.0,15
Slovenia,15,6.484327380720798,2018,6,66.66666666,9
Slovenia,16,1.325679742287858,2018,,,
Slovenia,17,0.0,2018,,,
Slovenia,18,0.0,2018,,,
Slovenia,19,0.0,2018,,,
Slovenia,20,0.0,2018,,,
Slovenia,21,0.0,2018,,,
Slovenia,22,0.0,2018,,,
Slovenia,23,0.0,2018,,,
Slovenia,24,0.0,2018,,,
Slovenia,25,0.0,2018,,,
Slovenia,26,0.0,2018,,,
Slovenia,27,0.0,2018,,,
Slovenia,28,0.0,2018,,,
Slovenia,29,0.0,2018,,,
Slovenia,30,0.0,2018,,,
Slovenia,31,0.0,2018,,,
Slovenia,32,0.0,2018,,,
Slovenia,33,0.0,2018,,,
Slovenia,34,0.0,2018,,,
Slovenia,35,0.0,2018,,,
Slovenia,36,0.0,2018,,,
Slovenia,37,0.0,2018,,,
Slovenia,38,0.0,2018,,,
Slovenia,39,0.0,2018,,,
Slovenia,40,1.269003324788711,2018,,,
Slovenia,41,0.0,2018,,,
Slovenia,42,0.0,2018,1,20.0,5
Slovenia,43,0.0,2018,,,
Slovenia,44,0.0,2018,,,
Slovenia,45,0.0,2018,,,
Slovenia,46,1.267138042018297,2018,,,
Slovenia,47,0.0,2018,,,
Slovenia,48,0.0,2018,,,
Slovenia,49,0.0,2018,,,
Slovenia,50,1.264350376776412,2018,2,18.18181818,11
Slovenia,51,6.158014656074881,2018,4,26.66666666,15
Slovenia,52,0.0,2018,1,50.0,2
Slovenia,1,3.438434824467902,2019,8,66.66666666,12
Slovenia,2,16.9345620298895,2019,37,63.63636363,58
Slovenia,3,34.62603878116343,2019,50,45.88235294,109
Slovenia,4,65.43194169286973,2019,54,55.84415584,97
Slovenia,5,84.79691856621345,2019,45,52.77777777,85
Slovenia,6,70.40112641802268,2019,54,61.11111111,88
Slovenia,7,98.19163734555273,2019,30,64.1025641,47
