REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Arkansas,2010,40,15.000000,0.000000,0.000000,0.696056,18.000000,15.000000,2586.000000
Arkansas,2010,41,20.000000,0.000000,1.000000,0.674157,18.000000,14.000000,2670.000000
Arkansas,2010,42,14.000000,0.000000,0.000000,0.514217,17.000000,16.000000,3306.000000
Arkansas,2010,43,15.000000,1.000000,0.000000,0.413650,12.000000,14.000000,2901.000000
Arkansas,2010,44,17.000000,1.000000,0.000000,1.090280,57.000000,19.000000,5228.000000
Arkansas,2010,45,19.000000,2.000000,0.000000,1.197360,58.000000,17.000000,4844.000000
Arkansas,2010,46,25.000000,1.000000,0.000000,1.554620,74.000000,18.000000,4760.000000
Arkansas,2010,47,36.000000,2.000000,0.000000,2.025990,53.000000,17.000000,2616.000000
Arkansas,2010,48,27.000000,2.000000,0.000000,1.392950,62.000000,18.000000,4451.000000
Arkansas,2010,49,20.000000,0.000000,1.000000,1.020640,44.000000,17.000000,4311.000000
Arkansas,2010,50,30.000000,0.000000,4.000000,2.105510,89.000000,18.000000,4227.000000
Arkansas,2010,51,45.000000,0.000000,7.000000,3.611630,77.000000,15.000000,2132.000000
Arkansas,2010,52,34.000000,1.000000,7.000000,2.577100,61.000000,16.000000,2367.000000
Arkansas,2011,1,51.000000,4.000000,3.000000,3.367380,122.000000,15.000000,3623.000000
Arkansas,2011,2,71.000000,11.000000,10.000000,4.846720,166.000000,14.000000,3425.000000
Arkansas,2011,3,85.000000,9.000000,19.000000,6.776690,271.000000,16.000000,3999.000000
Arkansas,2011,4,151.000000,44.000000,22.000000,7.296890,335.000000,16.000000,4591.000000
Arkansas,2011,5,186.000000,43.000000,43.000000,6.488380,296.000000,18.000000,4562.000000
Arkansas,2011,6,210.000000,46.000000,31.000000,8.080520,285.000000,16.000000,3527.000000
Arkansas,2011,7,199.000000,28.000000,28.000000,8.188540,410.000000,17.000000,5007.000000
Arkansas,2011,8,109.000000,16.000000,15.000000,6.034290,271.000000,15.000000,4491.000000
Arkansas,2011,9,117.000000,18.000000,8.000000,6.935370,308.000000,15.000000,4441.000000
Arkansas,2011,10,94.000000,14.000000,11.000000,2.610150,109.000000,15.000000,4176.000000
Arkansas,2011,11,64.000000,7.000000,2.000000,3.269130,129.000000,16.000000,3946.000000
Arkansas,2011,12,53.000000,2.000000,1.000000,2.313620,63.000000,14.000000,2723.000000
Arkansas,2011,13,31.000000,2.000000,0.000000,1.663250,65.000000,14.000000,3908.000000
Arkansas,2011,14,42.000000,0.000000,0.000000,0.850906,23.000000,14.000000,2703.000000
Arkansas,2011,15,40.000000,0.000000,1.000000,0.438757,12.000000,13.000000,2735.000000
Arkansas,2011,16,36.000000,1.000000,2.000000,0.675676,18.000000,14.000000,2664.000000
Arkansas,2011,17,28.000000,0.000000,0.000000,0.455754,12.000000,13.000000,2633.000000
Arkansas,2011,18,125.000000,1.000000,0.000000,0.630347,14.000000,13.000000,2221.000000
Arkansas,2011,19,54.000000,0.000000,0.000000,0.711744,10.000000,10.000000,1405.000000
Arkansas,2011,20,36.000000,0.000000,0.000000,0.520382,6.000000,8.000000,1153.000000
Arkansas,2011,21,16.000000,0.000000,0.000000,1.036270,12.000000,8.000000,1158.000000
Arkansas,2011,22,10.000000,0.000000,0.000000,0.939306,13.000000,9.000000,1384.000000
Arkansas,2011,23,11.000000,0.000000,0.000000,0.686642,11.000000,6.000000,1602.000000
Arkansas,2011,24,20.000000,0.000000,0.000000,0.926999,8.000000,5.000000,863.000000
Arkansas,2011,25,10.000000,0.000000,0.000000,0.393185,3.000000,3.000000,763.000000
Arkansas,2011,26,17.000000,0.000000,0.000000,0.432900,3.000000,3.000000,693.000000
Arkansas,2011,27,14.000000,0.000000,0.000000,0.260417,2.000000,4.000000,768.000000
Arkansas,2011,28,,0.000000,,0.260417,2.000000,3.000000,768.000000
Arkansas,2011,29,13.000000,0.000000,0.000000,0.000000,0.000000,3.000000,811.000000
Arkansas,2011,30,,0.000000,,0.127065,1.000000,3.000000,787.000000
Arkansas,2011,31,10.000000,0.000000,0.000000,0.000000,0.000000,2.000000,458.000000
Arkansas,2011,32,,0.000000,,0.753012,5.000000,3.000000,664.000000
Arkansas,2011,33,12.000000,0.000000,0.000000,0.380228,2.000000,2.000000,526.000000
Arkansas,2011,34,16.000000,1.000000,0.000000,0.576369,6.000000,3.000000,1041.000000
Arkansas,2011,35,24.000000,0.000000,0.000000,0.663507,7.000000,3.000000,1055.000000
Arkansas,2011,36,13.000000,0.000000,0.000000,0.914286,8.000000,3.000000,875.000000
Arkansas,2011,37,13.000000,0.000000,0.000000,1.096710,11.000000,3.000000,1003.000000
Arkansas,2011,38,,0.000000,,0.827206,9.000000,3.000000,1088.000000
Arkansas,2011,39,14.000000,0.000000,0.000000,0.498008,5.000000,3.000000,1004.000000
Arkansas,2011,40,21.000000,1.000000,0.000000,0.753348,27.000000,18.000000,3584.000000
Arkansas,2011,41,13.000000,0.000000,0.000000,0.866406,31.000000,18.000000,3578.000000
Arkansas,2011,42,23.000000,0.000000,0.000000,1.303320,55.000000,20.000000,4220.000000
Arkansas,2011,43,12.000000,0.000000,0.000000,1.000680,44.000000,20.000000,4397.000000
Arkansas,2011,44,22.000000,0.000000,0.000000,1.271360,61.000000,21.000000,4798.000000
Arkansas,2011,45,25.000000,0.000000,1.000000,1.376620,67.000000,21.000000,4867.000000
Arkansas,2011,46,28.000000,0.000000,0.000000,1.302360,74.000000,22.000000,5682.000000
Arkansas,2011,47,32.000000,1.000000,0.000000,1.606840,47.000000,21.000000,2925.000000
Arkansas,2011,48,28.000000,0.000000,0.000000,1.875900,104.000000,23.000000,5544.000000
Arkansas,2011,49,37.000000,1.000000,0.000000,1.566840,79.000000,22.000000,5042.000000
Arkansas,2011,50,28.000000,0.000000,0.000000,1.435310,70.000000,22.000000,4877.000000
Arkansas,2011,51,33.000000,0.000000,0.000000,1.942520,73.000000,21.000000,3758.000000
Arkansas,2011,52,43.000000,0.000000,0.000000,1.813710,59.000000,22.000000,3253.000000
Arkansas,2012,1,36.000000,0.000000,0.000000,1.756850,75.000000,22.000000,4269.000000
Arkansas,2012,2,42.000000,2.000000,0.000000,1.831870,90.000000,21.000000,4913.000000
Arkansas,2012,3,33.000000,1.000000,0.000000,1.842310,93.000000,21.000000,5048.000000
Arkansas,2012,4,37.000000,1.000000,0.000000,2.126890,118.000000,21.000000,5548.000000
Arkansas,2012,5,32.000000,2.000000,0.000000,1.378820,78.000000,21.000000,5657.000000
Arkansas,2012,6,34.000000,4.000000,0.000000,2.498630,137.000000,21.000000,5483.000000
Arkansas,2012,7,35.000000,2.000000,0.000000,2.218910,119.000000,21.000000,5363.000000
Arkansas,2012,8,43.000000,6.000000,0.000000,2.595870,132.000000,20.000000,5085.000000
Arkansas,2012,9,46.000000,10.000000,0.000000,3.323880,164.000000,19.000000,4934.000000
Arkansas,2012,10,39.000000,8.000000,1.000000,4.702830,254.000000,20.000000,5401.000000
Arkansas,2012,11,45.000000,9.000000,4.000000,6.044360,327.000000,20.000000,5410.000000
Arkansas,2012,12,32.000000,2.000000,3.000000,3.768760,118.000000,18.000000,3131.000000
Arkansas,2012,13,45.000000,2.000000,2.000000,1.875870,81.000000,18.000000,4318.000000
Arkansas,2012,14,32.000000,1.000000,1.000000,1.445780,66.000000,18.000000,4565.000000
Arkansas,2012,15,23.000000,3.000000,0.000000,1.104350,49.000000,18.000000,4437.000000
Arkansas,2012,16,26.000000,0.000000,0.000000,0.755996,29.000000,16.000000,3836.000000
Arkansas,2012,17,28.000000,1.000000,0.000000,0.808369,34.000000,16.000000,4206.000000
Arkansas,2012,18,21.000000,0.000000,0.000000,0.744879,28.000000,15.000000,3759.000000
Arkansas,2012,19,13.000000,0.000000,1.000000,1.149430,37.000000,14.000000,3219.000000
Arkansas,2012,20,12.000000,0.000000,0.000000,1.056220,31.000000,13.000000,2935.000000
Arkansas,2012,21,16.000000,0.000000,0.000000,0.505689,16.000000,13.000000,3164.000000
Arkansas,2012,22,16.000000,0.000000,0.000000,0.590967,14.000000,11.000000,2369.000000
Arkansas,2012,23,,0.000000,,0.073314,1.000000,6.000000,1364.000000
Arkansas,2012,24,,0.000000,,0.000000,0.000000,6.000000,1398.000000
Arkansas,2012,25,,0.000000,,0.160686,3.000000,7.000000,1867.000000
Arkansas,2012,26,18.000000,0.000000,0.000000,0.199734,3.000000,6.000000,1502.000000
Arkansas,2012,27,,0.000000,,0.000000,0.000000,3.000000,780.000000
Arkansas,2012,28,,0.000000,,0.000000,0.000000,4.000000,1172.000000
Arkansas,2012,29,34.000000,0.000000,0.000000,0.000000,0.000000,4.000000,1203.000000
Arkansas,2012,30,11.000000,0.000000,0.000000,0.212917,3.000000,5.000000,1409.000000
