REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Connecticut,2010,40,54.000000,0.000000,0.000000,0.078309,3.000000,12.000000,3831.000000
Connecticut,2010,41,57.000000,1.000000,0.000000,0.238095,9.000000,15.000000,3780.000000
Connecticut,2010,42,71.000000,1.000000,0.000000,0.374158,15.000000,16.000000,4009.000000
Connecticut,2010,43,77.000000,1.000000,1.000000,0.333542,16.000000,22.000000,4797.000000
Connecticut,2010,44,68.000000,0.000000,0.000000,0.396743,19.000000,20.000000,4789.000000
Connecticut,2010,45,64.000000,1.000000,0.000000,0.319562,14.000000,19.000000,4381.000000
Connecticut,2010,46,84.000000,3.000000,0.000000,0.618847,22.000000,19.000000,3555.000000
Connecticut,2010,47,79.000000,2.000000,0.000000,0.716612,11.000000,16.000000,1535.000000
Connecticut,2010,48,97.000000,3.000000,0.000000,0.442994,19.000000,19.000000,4289.000000
Connecticut,2010,49,112.000000,23.000000,0.000000,0.654897,23.000000,11.000000,3512.000000
Connecticut,2010,50,110.000000,21.000000,0.000000,0.659413,20.000000,18.000000,3033.000000
Connecticut,2010,51,143.000000,42.000000,3.000000,0.873563,19.000000,19.000000,2175.000000
Connecticut,2010,52,208.000000,99.000000,3.000000,0.853578,13.000000,19.000000,1523.000000
Connecticut,2011,1,273.000000,117.000000,6.000000,0.923191,25.000000,19.000000,2708.000000
Connecticut,2011,2,265.000000,98.000000,4.000000,1.046480,34.000000,22.000000,3249.000000
Connecticut,2011,3,276.000000,132.000000,9.000000,1.183590,43.000000,21.000000,3633.000000
Connecticut,2011,4,239.000000,91.000000,9.000000,1.071630,38.000000,13.000000,3546.000000
Connecticut,2011,5,287.000000,126.000000,6.000000,1.646190,71.000000,21.000000,4313.000000
Connecticut,2011,6,291.000000,118.000000,7.000000,1.763730,96.000000,23.000000,5443.000000
Connecticut,2011,7,404.000000,169.000000,26.000000,1.983260,109.000000,22.000000,5496.000000
Connecticut,2011,8,363.000000,163.000000,17.000000,1.980910,110.000000,22.000000,5553.000000
