REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
District of Columbia,2010,40,14.000000,0.000000,0.000000,2.808770,73.000000,4.000000,2599.000000
District of Columbia,2010,41,,0.000000,,2.890790,81.000000,4.000000,2802.000000
District of Columbia,2010,42,24.000000,0.000000,0.000000,2.410420,74.000000,4.000000,3070.000000
District of Columbia,2010,43,15.000000,0.000000,0.000000,3.116320,101.000000,4.000000,3241.000000
District of Columbia,2010,44,,0.000000,,2.991180,95.000000,4.000000,3176.000000
District of Columbia,2010,45,,0.000000,,2.329510,69.000000,4.000000,2962.000000
District of Columbia,2010,46,17.000000,1.000000,0.000000,1.584400,52.000000,4.000000,3282.000000
District of Columbia,2010,47,,0.000000,,3.335190,60.000000,4.000000,1799.000000
District of Columbia,2010,48,13.000000,0.000000,0.000000,4.158960,135.000000,4.000000,3246.000000
District of Columbia,2010,49,13.000000,0.000000,0.000000,3.260520,100.000000,4.000000,3067.000000
District of Columbia,2010,50,12.000000,1.000000,1.000000,4.331250,125.000000,4.000000,2886.000000
District of Columbia,2010,51,16.000000,2.000000,0.000000,5.768220,110.000000,4.000000,1907.000000
District of Columbia,2010,52,28.000000,4.000000,2.000000,6.847460,101.000000,4.000000,1475.000000
District of Columbia,2011,1,23.000000,3.000000,1.000000,4.758740,143.000000,4.000000,3005.000000
District of Columbia,2011,2,37.000000,8.000000,1.000000,4.861800,146.000000,4.000000,3003.000000
District of Columbia,2011,3,32.000000,12.000000,0.000000,3.894660,105.000000,4.000000,2696.000000
District of Columbia,2011,4,42.000000,16.000000,0.000000,3.924470,106.000000,4.000000,2701.000000
District of Columbia,2011,5,32.000000,14.000000,1.000000,3.357620,106.000000,4.000000,3157.000000
District of Columbia,2011,6,29.000000,11.000000,3.000000,3.478260,108.000000,4.000000,3105.000000
District of Columbia,2011,7,37.000000,12.000000,2.000000,2.795700,78.000000,3.000000,2790.000000
District of Columbia,2011,8,33.000000,10.000000,3.000000,1.643960,35.000000,3.000000,2129.000000
District of Columbia,2011,9,15.000000,2.000000,5.000000,2.029520,55.000000,3.000000,2710.000000
District of Columbia,2011,10,11.000000,1.000000,6.000000,2.309380,63.000000,3.000000,2728.000000
District of Columbia,2011,11,15.000000,2.000000,4.000000,2.991660,61.000000,2.000000,2039.000000
District of Columbia,2011,12,10.000000,0.000000,4.000000,2.892990,83.000000,3.000000,2869.000000
District of Columbia,2011,13,19.000000,1.000000,2.000000,2.372520,67.000000,3.000000,2824.000000
District of Columbia,2011,14,,0.000000,,0.195185,3.000000,2.000000,1537.000000
District of Columbia,2011,15,10.000000,1.000000,1.000000,0.068306,1.000000,2.000000,1464.000000
District of Columbia,2011,16,10.000000,0.000000,0.000000,0.075415,1.000000,2.000000,1326.000000
District of Columbia,2011,17,,0.000000,,0.000000,0.000000,2.000000,1381.000000
District of Columbia,2011,18,,0.000000,,0.000000,0.000000,2.000000,1312.000000
District of Columbia,2011,19,,0.000000,,0.000000,0.000000,1.000000,756.000000
District of Columbia,2011,20,,0.000000,,2.132200,40.000000,2.000000,1876.000000
District of Columbia,2011,21,,0.000000,,2.084510,37.000000,2.000000,1775.000000
District of Columbia,2011,22,,0.000000,,2.376710,40.000000,2.000000,1683.000000
District of Columbia,2011,23,,0.000000,,2.396740,47.000000,2.000000,1961.000000
District of Columbia,2011,24,,0.000000,,2.723060,47.000000,2.000000,1726.000000
District of Columbia,2011,25,12.000000,0.000000,0.000000,1.945290,32.000000,2.000000,1645.000000
District of Columbia,2011,26,,0.000000,,2.404160,37.000000,2.000000,1539.000000
District of Columbia,2011,27,,0.000000,,1.821860,27.000000,2.000000,1482.000000
District of Columbia,2011,28,,0.000000,,3.409090,42.000000,1.000000,1232.000000
District of Columbia,2011,29,,0.000000,,1.976690,39.000000,2.000000,1973.000000
