REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Delaware,2010,40,75.000000,3.000000,0.000000,0.100125,4.000000,13.000000,3995.000000
Delaware,2010,41,73.000000,1.000000,0.000000,0.368550,15.000000,13.000000,4070.000000
Delaware,2010,42,87.000000,1.000000,0.000000,0.337025,14.000000,14.000000,4154.000000
Delaware,2010,43,95.000000,0.000000,0.000000,0.460494,19.000000,14.000000,4126.000000
Delaware,2010,44,96.000000,0.000000,0.000000,0.222332,9.000000,14.000000,4048.000000
Delaware,2010,45,105.000000,1.000000,0.000000,0.794660,25.000000,12.000000,3146.000000
Delaware,2010,46,81.000000,1.000000,0.000000,0.390879,12.000000,11.000000,3070.000000
Delaware,2010,47,69.000000,0.000000,0.000000,0.503356,12.000000,12.000000,2384.000000
Delaware,2010,48,90.000000,5.000000,0.000000,0.270005,11.000000,13.000000,4074.000000
Delaware,2010,49,92.000000,2.000000,0.000000,0.361156,9.000000,10.000000,2492.000000
Delaware,2010,50,98.000000,4.000000,1.000000,0.293902,12.000000,13.000000,4083.000000
Delaware,2010,51,114.000000,11.000000,2.000000,0.504267,13.000000,11.000000,2578.000000
Delaware,2010,52,115.000000,7.000000,3.000000,0.508974,19.000000,14.000000,3733.000000
Delaware,2011,1,195.000000,34.000000,3.000000,0.783904,30.000000,12.000000,3827.000000
Delaware,2011,2,133.000000,33.000000,4.000000,2.530410,104.000000,14.000000,4110.000000
Delaware,2011,3,160.000000,57.000000,16.000000,1.986270,81.000000,14.000000,4078.000000
Delaware,2011,4,303.000000,130.000000,11.000000,1.993360,84.000000,15.000000,4214.000000
Delaware,2011,5,372.000000,223.000000,32.000000,1.998680,91.000000,15.000000,4553.000000
Delaware,2011,6,387.000000,210.000000,14.000000,2.103700,99.000000,14.000000,4706.000000
Delaware,2011,7,412.000000,187.000000,26.000000,2.692800,125.000000,14.000000,4642.000000
Delaware,2011,8,400.000000,169.000000,32.000000,2.329870,101.000000,13.000000,4335.000000
Delaware,2011,9,303.000000,94.000000,5.000000,2.146130,89.000000,12.000000,4147.000000
Delaware,2011,10,272.000000,78.000000,6.000000,1.685520,73.000000,13.000000,4331.000000
Delaware,2011,11,256.000000,47.000000,21.000000,0.947763,43.000000,13.000000,4537.000000
Delaware,2011,12,179.000000,28.000000,16.000000,0.526316,22.000000,12.000000,4180.000000
Delaware,2011,13,163.000000,8.000000,18.000000,0.968580,41.000000,12.000000,4233.000000
Delaware,2011,14,191.000000,22.000000,8.000000,0.475119,19.000000,11.000000,3999.000000
Delaware,2011,15,170.000000,1.000000,11.000000,0.115340,4.000000,10.000000,3468.000000
Delaware,2011,16,126.000000,3.000000,0.000000,0.082012,3.000000,11.000000,3658.000000
Delaware,2011,17,148.000000,3.000000,0.000000,0.045725,1.000000,7.000000,2187.000000
Delaware,2011,18,60.000000,0.000000,0.000000,0.086331,3.000000,10.000000,3475.000000
Delaware,2011,19,98.000000,0.000000,0.000000,0.045600,1.000000,7.000000,2193.000000
Delaware,2011,20,41.000000,0.000000,0.000000,0.107643,2.000000,6.000000,1858.000000
Delaware,2011,21,47.000000,0.000000,0.000000,0.000000,0.000000,1.000000,329.000000
Delaware,2011,22,40.000000,0.000000,0.000000,0.000000,0.000000,1.000000,252.000000
Delaware,2011,23,26.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Delaware,2011,24,33.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Delaware,2011,25,24.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Delaware,2011,26,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Delaware,2011,27,25.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
