REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Idaho,2010,40,,0.000000,,0.414938,19.000000,12.000000,4579.000000
Idaho,2010,41,,0.000000,,1.457980,68.000000,12.000000,4664.000000
Idaho,2010,42,,0.000000,,1.408140,64.000000,11.000000,4545.000000
Idaho,2010,43,,0.000000,,1.280070,58.000000,12.000000,4531.000000
Idaho,2010,44,,0.000000,,1.827240,88.000000,13.000000,4816.000000
Idaho,2010,45,,0.000000,,1.494340,62.000000,13.000000,4149.000000
Idaho,2010,46,,0.000000,,1.958820,98.000000,13.000000,5003.000000
Idaho,2010,47,,0.000000,,3.068820,99.000000,13.000000,3226.000000
Idaho,2010,48,,0.000000,,1.801420,86.000000,13.000000,4774.000000
Idaho,2010,49,,0.000000,,1.722670,81.000000,13.000000,4702.000000
Idaho,2010,50,,0.000000,,1.365020,54.000000,12.000000,3956.000000
Idaho,2010,51,,0.000000,,3.205530,102.000000,12.000000,3182.000000
Idaho,2010,52,,0.000000,,2.598150,90.000000,12.000000,3464.000000
Idaho,2011,1,17.000000,15.000000,0.000000,2.039060,95.000000,11.000000,4659.000000
Idaho,2011,2,26.000000,22.000000,0.000000,2.256230,115.000000,13.000000,5097.000000
Idaho,2011,3,27.000000,22.000000,2.000000,3.580900,162.000000,13.000000,4524.000000
Idaho,2011,4,18.000000,11.000000,4.000000,3.428800,170.000000,13.000000,4958.000000
Idaho,2011,5,18.000000,13.000000,2.000000,3.942440,200.000000,13.000000,5073.000000
Idaho,2011,6,40.000000,27.000000,4.000000,4.560260,224.000000,11.000000,4912.000000
Idaho,2011,7,16.000000,12.000000,3.000000,6.010380,301.000000,12.000000,5008.000000
Idaho,2011,8,14.000000,12.000000,1.000000,6.260910,287.000000,12.000000,4584.000000
Idaho,2011,9,10.000000,5.000000,5.000000,5.598460,290.000000,11.000000,5180.000000
Idaho,2011,10,15.000000,10.000000,3.000000,6.487310,299.000000,10.000000,4609.000000
Idaho,2011,11,16.000000,11.000000,2.000000,4.387490,202.000000,9.000000,4604.000000
Idaho,2011,12,,0.000000,,4.387700,177.000000,10.000000,4034.000000
Idaho,2011,13,,0.000000,,2.834910,102.000000,7.000000,3598.000000
Idaho,2011,14,,0.000000,,2.860960,107.000000,8.000000,3740.000000
Idaho,2011,15,,0.000000,,2.933920,107.000000,8.000000,3647.000000
Idaho,2011,16,,0.000000,,1.486450,51.000000,6.000000,3431.000000
Idaho,2011,17,,0.000000,,1.860470,68.000000,7.000000,3655.000000
Idaho,2011,18,,0.000000,,1.585130,58.000000,7.000000,3659.000000
Idaho,2011,19,,0.000000,,1.451380,50.000000,7.000000,3445.000000
Idaho,2011,20,,0.000000,,1.834600,65.000000,7.000000,3543.000000
Idaho,2011,21,,0.000000,,1.554240,50.000000,7.000000,3217.000000
Idaho,2011,22,,0.000000,,2.352940,66.000000,6.000000,2805.000000
Idaho,2011,23,,0.000000,,1.706040,52.000000,6.000000,3048.000000
Idaho,2011,24,,0.000000,,1.491020,44.000000,6.000000,2951.000000
Idaho,2011,25,,0.000000,,1.604460,46.000000,6.000000,2867.000000
Idaho,2011,26,,0.000000,,1.257050,49.000000,7.000000,3898.000000
Idaho,2011,27,,0.000000,,0.899594,31.000000,7.000000,3446.000000
Idaho,2011,28,,0.000000,,0.645161,22.000000,6.000000,3410.000000
Idaho,2011,29,,0.000000,,0.925658,32.000000,7.000000,3457.000000
Idaho,2011,30,,0.000000,,0.657462,20.000000,7.000000,3042.000000
Idaho,2011,31,,0.000000,,0.387366,13.000000,7.000000,3356.000000
Idaho,2011,32,,0.000000,,0.697604,23.000000,7.000000,3297.000000
Idaho,2011,33,,0.000000,,0.719640,24.000000,7.000000,3335.000000
Idaho,2011,34,,0.000000,,0.418911,14.000000,6.000000,3342.000000
Idaho,2011,35,,0.000000,,1.234230,45.000000,7.000000,3646.000000
Idaho,2011,36,,0.000000,,1.291680,43.000000,7.000000,3329.000000
Idaho,2011,37,,0.000000,,0.657895,26.000000,6.000000,3952.000000
Idaho,2011,38,,0.000000,,0.857679,32.000000,6.000000,3731.000000
Idaho,2011,39,,0.000000,,0.841884,32.000000,7.000000,3801.000000
Idaho,2011,40,,0.000000,,0.914077,35.000000,8.000000,3829.000000
Idaho,2011,41,,0.000000,,1.258850,48.000000,9.000000,3813.000000
Idaho,2011,42,,0.000000,,1.189250,46.000000,8.000000,3868.000000
Idaho,2011,43,,0.000000,,1.526010,66.000000,11.000000,4325.000000
Idaho,2011,44,,0.000000,,1.878550,86.000000,11.000000,4578.000000
Idaho,2011,45,,0.000000,,1.538790,73.000000,12.000000,4744.000000
Idaho,2011,46,,0.000000,,2.026750,100.000000,12.000000,4934.000000
Idaho,2011,47,,0.000000,,1.447690,53.000000,11.000000,3661.000000
