REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Louisiana,2010,40,121.000000,4.000000,0.000000,2.281080,391.000000,41.000000,17141.000000
Louisiana,2010,41,130.000000,2.000000,0.000000,2.047760,325.000000,39.000000,15871.000000
Louisiana,2010,42,96.000000,0.000000,2.000000,2.429740,402.000000,47.000000,16545.000000
Louisiana,2010,43,102.000000,5.000000,0.000000,1.928540,326.000000,39.000000,16904.000000
Louisiana,2010,44,114.000000,4.000000,2.000000,2.809340,492.000000,39.000000,17513.000000
Louisiana,2010,45,181.000000,4.000000,2.000000,2.085770,463.000000,44.000000,22198.000000
Louisiana,2010,46,162.000000,7.000000,2.000000,2.815060,539.000000,37.000000,19147.000000
Louisiana,2010,47,136.000000,4.000000,5.000000,2.927060,433.000000,41.000000,14793.000000
Louisiana,2010,48,178.000000,6.000000,2.000000,2.664820,443.000000,40.000000,16624.000000
Louisiana,2010,49,217.000000,2.000000,11.000000,2.804860,492.000000,40.000000,17541.000000
Louisiana,2010,50,303.000000,12.000000,59.000000,3.379390,450.000000,34.000000,13316.000000
Louisiana,2010,51,413.000000,20.000000,81.000000,3.826380,588.000000,25.000000,15367.000000
Louisiana,2010,52,380.000000,19.000000,76.000000,5.630710,1307.000000,46.000000,23212.000000
Louisiana,2011,1,364.000000,18.000000,72.000000,4.388390,922.000000,40.000000,21010.000000
Louisiana,2011,2,352.000000,13.000000,66.000000,5.720400,989.000000,32.000000,17289.000000
Louisiana,2011,3,369.000000,40.000000,74.000000,7.828920,1684.000000,44.000000,21510.000000
Louisiana,2011,4,405.000000,39.000000,73.000000,6.634190,1035.000000,35.000000,15601.000000
Louisiana,2011,5,376.000000,48.000000,68.000000,10.046000,2251.000000,44.000000,22407.000000
Louisiana,2011,6,376.000000,59.000000,42.000000,7.284680,1596.000000,42.000000,21909.000000
Louisiana,2011,7,371.000000,74.000000,50.000000,7.370810,1656.000000,43.000000,22467.000000
Louisiana,2011,8,389.000000,83.000000,35.000000,5.052960,1102.000000,39.000000,21809.000000
Louisiana,2011,9,282.000000,45.000000,12.000000,4.112860,602.000000,25.000000,14637.000000
Louisiana,2011,10,208.000000,28.000000,3.000000,3.540240,596.000000,35.000000,16835.000000
Louisiana,2011,11,232.000000,26.000000,2.000000,3.352630,695.000000,40.000000,20730.000000
Louisiana,2011,12,167.000000,11.000000,1.000000,2.916830,585.000000,38.000000,20056.000000
Louisiana,2011,13,136.000000,5.000000,0.000000,1.826570,392.000000,41.000000,21461.000000
Louisiana,2011,14,113.000000,2.000000,0.000000,2.484970,467.000000,40.000000,18793.000000
Louisiana,2011,15,96.000000,4.000000,0.000000,1.485670,242.000000,29.000000,16289.000000
Louisiana,2011,16,96.000000,4.000000,1.000000,1.537600,219.000000,35.000000,14243.000000
Louisiana,2011,17,95.000000,3.000000,0.000000,1.900880,308.000000,34.000000,16203.000000
Louisiana,2011,18,67.000000,1.000000,0.000000,1.506960,184.000000,30.000000,12210.000000
Louisiana,2011,19,60.000000,0.000000,0.000000,0.747833,107.000000,29.000000,14308.000000
Louisiana,2011,20,56.000000,0.000000,0.000000,1.080100,178.000000,30.000000,16480.000000
