REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Maryland,2010,40,13.000000,0.000000,0.000000,1.319200,117.000000,17.000000,8869.000000
Maryland,2010,41,13.000000,0.000000,0.000000,2.098790,99.000000,17.000000,4717.000000
Maryland,2010,42,21.000000,0.000000,1.000000,1.454390,173.000000,20.000000,11895.000000
Maryland,2010,43,34.000000,1.000000,0.000000,1.267690,146.000000,20.000000,11517.000000
Maryland,2010,44,32.000000,1.000000,0.000000,1.453860,147.000000,20.000000,10111.000000
Maryland,2010,45,30.000000,0.000000,0.000000,1.421590,128.000000,21.000000,9004.000000
Maryland,2010,46,42.000000,6.000000,0.000000,1.500140,156.000000,20.000000,10399.000000
Maryland,2010,47,26.000000,1.000000,0.000000,2.012580,128.000000,19.000000,6360.000000
Maryland,2010,48,25.000000,3.000000,1.000000,1.863420,167.000000,20.000000,8962.000000
Maryland,2010,49,41.000000,8.000000,0.000000,1.551090,153.000000,20.000000,9864.000000
Maryland,2010,50,54.000000,16.000000,1.000000,2.008490,175.000000,18.000000,8713.000000
Maryland,2010,51,72.000000,25.000000,2.000000,2.738000,174.000000,17.000000,6355.000000
Maryland,2010,52,111.000000,43.000000,2.000000,3.684500,199.000000,16.000000,5401.000000
Maryland,2011,1,116.000000,46.000000,0.000000,2.270610,219.000000,18.000000,9645.000000
Maryland,2011,2,145.000000,94.000000,5.000000,2.362710,219.000000,19.000000,9269.000000
Maryland,2011,3,197.000000,143.000000,2.000000,4.124210,344.000000,19.000000,8341.000000
Maryland,2011,4,209.000000,157.000000,2.000000,3.800760,322.000000,18.000000,8472.000000
Maryland,2011,5,220.000000,164.000000,4.000000,4.010100,381.000000,18.000000,9501.000000
Maryland,2011,6,227.000000,158.000000,3.000000,3.652620,339.000000,16.000000,9281.000000
Maryland,2011,7,278.000000,203.000000,13.000000,3.056470,269.000000,15.000000,8801.000000
Maryland,2011,8,223.000000,139.000000,15.000000,2.625420,213.000000,16.000000,8113.000000
Maryland,2011,9,180.000000,100.000000,15.000000,2.140940,199.000000,16.000000,9295.000000
Maryland,2011,10,138.000000,81.000000,14.000000,1.992120,177.000000,16.000000,8885.000000
Maryland,2011,11,91.000000,36.000000,14.000000,1.660980,146.000000,16.000000,8790.000000
Maryland,2011,12,42.000000,16.000000,5.000000,1.778780,142.000000,13.000000,7983.000000
Maryland,2011,13,44.000000,14.000000,4.000000,1.225690,104.000000,15.000000,8485.000000
Maryland,2011,14,41.000000,7.000000,15.000000,1.572880,116.000000,12.000000,7375.000000
Maryland,2011,15,41.000000,2.000000,13.000000,1.940790,118.000000,10.000000,6080.000000
Maryland,2011,16,14.000000,0.000000,2.000000,1.956060,130.000000,11.000000,6646.000000
Maryland,2011,17,22.000000,3.000000,1.000000,1.051990,69.000000,11.000000,6559.000000
Maryland,2011,18,,0.000000,,1.132640,83.000000,11.000000,7328.000000
Maryland,2011,19,,0.000000,,1.014510,72.000000,11.000000,7097.000000
Maryland,2011,20,10.000000,0.000000,0.000000,0.850209,55.000000,9.000000,6469.000000
Maryland,2011,21,,0.000000,,1.249800,77.000000,9.000000,6161.000000
