REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Maine,2010,40,,0.000000,,0.357724,22.000000,30.000000,6150.000000
Maine,2010,41,,0.000000,,0.434855,26.000000,29.000000,5979.000000
Maine,2010,42,,0.000000,,0.421743,27.000000,30.000000,6402.000000
Maine,2010,43,,0.000000,,0.338409,22.000000,30.000000,6501.000000
Maine,2010,44,11.000000,0.000000,0.000000,0.176471,9.000000,29.000000,5100.000000
Maine,2010,45,,0.000000,,0.356622,22.000000,31.000000,6169.000000
Maine,2010,46,,0.000000,,0.520341,33.000000,31.000000,6342.000000
Maine,2010,47,,0.000000,,0.617566,27.000000,31.000000,4372.000000
Maine,2010,48,,0.000000,,0.347958,23.000000,31.000000,6610.000000
Maine,2010,49,,0.000000,,0.435219,26.000000,31.000000,5974.000000
Maine,2010,50,13.000000,1.000000,1.000000,0.341472,20.000000,29.000000,5857.000000
Maine,2010,51,17.000000,3.000000,0.000000,0.599520,25.000000,30.000000,4170.000000
Maine,2010,52,10.000000,4.000000,0.000000,0.644828,25.000000,31.000000,3877.000000
Maine,2011,1,24.000000,11.000000,1.000000,0.509198,31.000000,30.000000,6088.000000
Maine,2011,2,35.000000,11.000000,2.000000,0.471204,27.000000,31.000000,5730.000000
Maine,2011,3,36.000000,12.000000,7.000000,0.752750,39.000000,30.000000,5181.000000
Maine,2011,4,35.000000,11.000000,7.000000,1.034090,64.000000,30.000000,6189.000000
Maine,2011,5,62.000000,25.000000,10.000000,1.470040,79.000000,30.000000,5374.000000
Maine,2011,6,72.000000,36.000000,16.000000,1.577540,100.000000,29.000000,6339.000000
Maine,2011,7,102.000000,44.000000,19.000000,2.279290,150.000000,29.000000,6581.000000
Maine,2011,8,76.000000,30.000000,9.000000,1.927110,101.000000,29.000000,5241.000000
Maine,2011,9,73.000000,25.000000,14.000000,1.903140,123.000000,31.000000,6463.000000
Maine,2011,10,86.000000,29.000000,14.000000,1.200460,73.000000,29.000000,6081.000000
Maine,2011,11,46.000000,16.000000,7.000000,1.070700,68.000000,28.000000,6351.000000
Maine,2011,12,39.000000,12.000000,7.000000,0.860451,55.000000,28.000000,6392.000000
Maine,2011,13,19.000000,0.000000,3.000000,0.793257,48.000000,28.000000,6051.000000
Maine,2011,14,32.000000,11.000000,3.000000,0.723634,47.000000,28.000000,6495.000000
Maine,2011,15,26.000000,8.000000,2.000000,0.644531,33.000000,26.000000,5120.000000
Maine,2011,16,,0.000000,,0.563317,25.000000,26.000000,4438.000000
Maine,2011,17,,0.000000,,0.464740,23.000000,25.000000,4949.000000
Maine,2011,18,,0.000000,,0.496820,25.000000,25.000000,5032.000000
Maine,2011,19,,0.000000,,0.508233,25.000000,24.000000,4919.000000
Maine,2011,20,,0.000000,,0.370028,16.000000,22.000000,4324.000000
Maine,2011,21,,0.000000,,0.519802,21.000000,21.000000,4040.000000
Maine,2011,22,,0.000000,,0.643537,23.000000,21.000000,3574.000000
Maine,2011,23,,0.000000,,0.442369,18.000000,21.000000,4069.000000
Maine,2011,24,,0.000000,,0.403035,17.000000,21.000000,4218.000000
Maine,2011,25,,0.000000,,0.365764,15.000000,21.000000,4101.000000
Maine,2011,26,,0.000000,,0.466029,19.000000,21.000000,4077.000000
Maine,2011,27,,0.000000,,0.873485,31.000000,20.000000,3549.000000
Maine,2011,28,,0.000000,,0.596570,24.000000,20.000000,4023.000000
Maine,2011,29,,0.000000,,0.604011,25.000000,20.000000,4139.000000
Maine,2011,30,,0.000000,,0.450024,19.000000,20.000000,4222.000000
Maine,2011,31,,0.000000,,0.360360,14.000000,20.000000,3885.000000
Maine,2011,32,,0.000000,,0.417478,15.000000,19.000000,3593.000000
