REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Missouri,2010,40,160.000000,0.000000,0.000000,1.101760,106.000000,33.000000,9621.000000
Missouri,2010,41,168.000000,0.000000,0.000000,0.930521,90.000000,32.000000,9672.000000
Missouri,2010,42,175.000000,1.000000,0.000000,0.989890,94.000000,32.000000,9496.000000
Missouri,2010,43,186.000000,0.000000,0.000000,0.959713,91.000000,31.000000,9482.000000
Missouri,2010,44,178.000000,1.000000,0.000000,1.167680,100.000000,31.000000,8564.000000
Missouri,2010,45,190.000000,0.000000,0.000000,1.223740,106.000000,31.000000,8662.000000
Missouri,2010,46,191.000000,0.000000,0.000000,1.203670,101.000000,31.000000,8391.000000
Missouri,2010,47,184.000000,1.000000,0.000000,1.414070,78.000000,30.000000,5516.000000
Missouri,2010,48,181.000000,3.000000,0.000000,1.567320,132.000000,30.000000,8422.000000
Missouri,2010,49,226.000000,10.000000,0.000000,1.370360,113.000000,31.000000,8246.000000
Missouri,2010,50,222.000000,19.000000,0.000000,1.410030,126.000000,32.000000,8936.000000
Missouri,2010,51,231.000000,21.000000,1.000000,2.342920,154.000000,32.000000,6573.000000
Missouri,2010,52,293.000000,34.000000,1.000000,2.680290,181.000000,32.000000,6753.000000
Missouri,2011,1,284.000000,25.000000,1.000000,2.126870,173.000000,31.000000,8134.000000
Missouri,2011,2,315.000000,44.000000,5.000000,2.354080,194.000000,32.000000,8241.000000
Missouri,2011,3,267.000000,33.000000,5.000000,2.255100,189.000000,31.000000,8381.000000
Missouri,2011,4,353.000000,26.000000,10.000000,3.669520,322.000000,31.000000,8775.000000
Missouri,2011,5,266.000000,28.000000,11.000000,5.058060,318.000000,31.000000,6287.000000
Missouri,2011,6,326.000000,25.000000,12.000000,4.897710,395.000000,30.000000,8065.000000
Missouri,2011,7,290.000000,15.000000,14.000000,6.106160,528.000000,29.000000,8647.000000
Missouri,2011,8,294.000000,16.000000,21.000000,5.434400,466.000000,31.000000,8575.000000
Missouri,2011,9,339.000000,14.000000,19.000000,3.897130,344.000000,31.000000,8827.000000
Missouri,2011,10,307.000000,10.000000,17.000000,4.213690,336.000000,30.000000,7974.000000
Missouri,2011,11,330.000000,8.000000,17.000000,2.540970,200.000000,30.000000,7871.000000
Missouri,2011,12,268.000000,2.000000,8.000000,2.444530,184.000000,28.000000,7527.000000
Missouri,2011,13,249.000000,1.000000,5.000000,1.996340,131.000000,27.000000,6562.000000
Missouri,2011,14,263.000000,6.000000,3.000000,1.611950,109.000000,26.000000,6762.000000
Missouri,2011,15,232.000000,4.000000,0.000000,1.336980,93.000000,26.000000,6956.000000
