REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
New Jersey,2010,40,,0.000000,,2.315340,163.000000,23.000000,7040.000000
New Jersey,2010,41,,0.000000,,2.478360,189.000000,24.000000,7626.000000
New Jersey,2010,42,,0.000000,,2.248120,191.000000,25.000000,8496.000000
New Jersey,2010,43,,0.000000,,2.792860,216.000000,23.000000,7734.000000
New Jersey,2010,44,,0.000000,,1.828770,113.000000,25.000000,6179.000000
New Jersey,2010,45,,0.000000,,2.203100,169.000000,25.000000,7671.000000
New Jersey,2010,46,,0.000000,,2.137160,158.000000,24.000000,7393.000000
New Jersey,2010,47,,0.000000,,2.417580,143.000000,25.000000,5915.000000
New Jersey,2010,48,,0.000000,,2.601160,144.000000,24.000000,5536.000000
New Jersey,2010,49,,0.000000,,2.653710,183.000000,24.000000,6896.000000
New Jersey,2010,50,,0.000000,,3.200730,210.000000,25.000000,6561.000000
New Jersey,2010,51,,0.000000,,4.643800,264.000000,25.000000,5685.000000
New Jersey,2010,52,,0.000000,,4.913580,199.000000,25.000000,4050.000000
New Jersey,2011,1,,0.000000,,3.952710,224.000000,25.000000,5667.000000
New Jersey,2011,2,,0.000000,,4.972680,273.000000,25.000000,5490.000000
New Jersey,2011,3,,0.000000,,5.124350,307.000000,25.000000,5991.000000
New Jersey,2011,4,,0.000000,,5.902910,321.000000,25.000000,5438.000000
New Jersey,2011,5,,0.000000,,5.599300,384.000000,25.000000,6858.000000
New Jersey,2011,6,,0.000000,,5.863930,412.000000,25.000000,7026.000000
New Jersey,2011,7,,0.000000,,6.113920,351.000000,24.000000,5741.000000
New Jersey,2011,8,,0.000000,,6.698490,421.000000,24.000000,6285.000000
New Jersey,2011,9,,0.000000,,5.741130,440.000000,24.000000,7664.000000
New Jersey,2011,10,,0.000000,,5.055260,247.000000,22.000000,4886.000000
New Jersey,2011,11,,0.000000,,4.688590,201.000000,21.000000,4287.000000
New Jersey,2011,12,,0.000000,,3.410360,183.000000,22.000000,5366.000000
New Jersey,2011,13,,0.000000,,4.606780,239.000000,22.000000,5188.000000
New Jersey,2011,14,,0.000000,,3.395740,185.000000,22.000000,5448.000000
New Jersey,2011,15,,0.000000,,2.746710,140.000000,21.000000,5097.000000
New Jersey,2011,16,,0.000000,,2.793180,136.000000,19.000000,4869.000000
New Jersey,2011,17,,0.000000,,2.768420,189.000000,20.000000,6827.000000
New Jersey,2011,18,,0.000000,,2.010810,93.000000,19.000000,4625.000000
New Jersey,2011,19,,0.000000,,2.222220,102.000000,18.000000,4590.000000
New Jersey,2011,20,,0.000000,,2.691030,162.000000,21.000000,6020.000000
New Jersey,2011,21,,0.000000,,2.949750,162.000000,20.000000,5492.000000
New Jersey,2011,22,,0.000000,,2.528390,118.000000,20.000000,4667.000000
New Jersey,2011,23,,0.000000,,2.779820,151.000000,19.000000,5432.000000
New Jersey,2011,24,,0.000000,,3.078710,106.000000,18.000000,3443.000000
New Jersey,2011,25,,0.000000,,2.934540,117.000000,18.000000,3987.000000
New Jersey,2011,26,,0.000000,,0.885138,43.000000,19.000000,4858.000000
New Jersey,2011,27,,0.000000,,0.278035,9.000000,19.000000,3237.000000
New Jersey,2011,28,,0.000000,,0.226693,8.000000,19.000000,3529.000000
New Jersey,2011,29,,0.000000,,0.107411,4.000000,18.000000,3724.000000
New Jersey,2011,30,,0.000000,,0.282486,11.000000,17.000000,3894.000000
New Jersey,2011,31,,0.000000,,0.376921,13.000000,16.000000,3449.000000
New Jersey,2011,32,,0.000000,,0.725295,16.000000,15.000000,2206.000000
New Jersey,2011,33,,0.000000,,0.374208,13.000000,17.000000,3474.000000
New Jersey,2011,34,,0.000000,,0.288517,10.000000,17.000000,3466.000000
New Jersey,2011,35,,0.000000,,0.262536,10.000000,16.000000,3809.000000
New Jersey,2011,36,,0.000000,,0.300300,12.000000,16.000000,3996.000000
New Jersey,2011,37,,0.000000,,0.318979,16.000000,16.000000,5016.000000
New Jersey,2011,38,,0.000000,,0.458891,24.000000,17.000000,5230.000000
New Jersey,2011,39,,0.000000,,0.577327,33.000000,16.000000,5716.000000
New Jersey,2011,40,,0.000000,,0.892694,49.000000,18.000000,5489.000000
New Jersey,2011,41,,0.000000,,0.786838,44.000000,19.000000,5592.000000
New Jersey,2011,42,,0.000000,,0.849558,48.000000,19.000000,5650.000000
New Jersey,2011,43,,0.000000,,0.800712,45.000000,19.000000,5620.000000
New Jersey,2011,44,,0.000000,,1.100310,60.000000,19.000000,5453.000000
New Jersey,2011,45,,0.000000,,1.004020,55.000000,19.000000,5478.000000
New Jersey,2011,46,,0.000000,,1.212340,66.000000,19.000000,5444.000000
New Jersey,2011,47,,0.000000,,1.409550,54.000000,18.000000,3831.000000
New Jersey,2011,48,,0.000000,,1.108610,59.000000,19.000000,5322.000000
New Jersey,2011,49,,0.000000,,1.107770,59.000000,19.000000,5326.000000
New Jersey,2011,50,,0.000000,,1.109170,57.000000,19.000000,5139.000000
