REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Nevada,2010,40,,0.000000,,1.666830,175.000000,30.000000,10499.000000
Nevada,2010,41,,0.000000,,1.636330,187.000000,33.000000,11428.000000
Nevada,2010,42,,0.000000,,1.508600,171.000000,34.000000,11335.000000
Nevada,2010,43,,0.000000,,2.144510,241.000000,34.000000,11238.000000
Nevada,2010,44,,0.000000,,1.767610,204.000000,35.000000,11541.000000
Nevada,2010,45,,0.000000,,0.805239,75.000000,33.000000,9314.000000
Nevada,2010,46,18.000000,3.000000,0.000000,2.632760,294.000000,34.000000,11167.000000
Nevada,2010,47,,0.000000,,3.101980,299.000000,34.000000,9639.000000
Nevada,2010,48,,0.000000,,2.890430,325.000000,34.000000,11244.000000
Nevada,2010,49,19.000000,7.000000,0.000000,3.282790,394.000000,35.000000,12002.000000
Nevada,2010,50,12.000000,6.000000,0.000000,4.287250,440.000000,33.000000,10263.000000
Nevada,2010,51,15.000000,8.000000,0.000000,3.467840,495.000000,37.000000,14274.000000
Nevada,2010,52,17.000000,8.000000,1.000000,3.886640,624.000000,38.000000,16055.000000
Nevada,2011,1,24.000000,6.000000,4.000000,3.082410,588.000000,39.000000,19076.000000
Nevada,2011,2,35.000000,8.000000,5.000000,3.314210,618.000000,38.000000,18647.000000
Nevada,2011,3,47.000000,17.000000,0.000000,3.784550,664.000000,37.000000,17545.000000
Nevada,2011,4,25.000000,8.000000,0.000000,3.835450,772.000000,38.000000,20128.000000
Nevada,2011,5,50.000000,20.000000,5.000000,4.031840,775.000000,38.000000,19222.000000
Nevada,2011,6,55.000000,19.000000,3.000000,3.713710,756.000000,39.000000,20357.000000
Nevada,2011,7,55.000000,18.000000,4.000000,4.063650,784.000000,37.000000,19293.000000
Nevada,2011,8,40.000000,20.000000,5.000000,4.067690,762.000000,37.000000,18733.000000
Nevada,2011,9,33.000000,17.000000,4.000000,4.789190,535.000000,32.000000,11171.000000
Nevada,2011,10,39.000000,15.000000,8.000000,3.273750,619.000000,37.000000,18908.000000
Nevada,2011,11,31.000000,17.000000,4.000000,3.080450,564.000000,37.000000,18309.000000
Nevada,2011,12,28.000000,9.000000,8.000000,4.297490,490.000000,34.000000,11402.000000
Nevada,2011,13,33.000000,7.000000,2.000000,2.279380,436.000000,37.000000,19128.000000
Nevada,2011,14,12.000000,1.000000,4.000000,2.212220,408.000000,36.000000,18443.000000
Nevada,2011,15,14.000000,3.000000,1.000000,2.113390,290.000000,31.000000,13722.000000
Nevada,2011,16,10.000000,0.000000,1.000000,3.126050,372.000000,34.000000,11900.000000
Nevada,2011,17,11.000000,2.000000,1.000000,1.552880,275.000000,37.000000,17709.000000
Nevada,2011,18,,0.000000,,2.512420,273.000000,32.000000,10866.000000
