REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
New York,2010,40,300.000000,3.000000,0.000000,0.262990,37.000000,91.000000,14069.000000
New York,2010,41,262.000000,1.000000,1.000000,0.369729,47.000000,89.000000,12712.000000
New York,2010,42,327.000000,2.000000,0.000000,0.362121,53.000000,95.000000,14636.000000
New York,2010,43,294.000000,4.000000,0.000000,0.358981,53.000000,98.000000,14764.000000
New York,2010,44,360.000000,8.000000,1.000000,0.527357,80.000000,104.000000,15170.000000
New York,2010,45,407.000000,14.000000,0.000000,0.504756,78.000000,105.000000,15453.000000
New York,2010,46,421.000000,26.000000,0.000000,0.503441,79.000000,107.000000,15692.000000
New York,2010,47,534.000000,27.000000,1.000000,0.549190,58.000000,104.000000,10561.000000
New York,2010,48,654.000000,36.000000,0.000000,1.625910,244.000000,105.000000,15007.000000
New York,2010,49,538.000000,63.000000,1.000000,2.162900,303.000000,103.000000,14009.000000
New York,2010,50,697.000000,72.000000,2.000000,2.680990,357.000000,102.000000,13316.000000
New York,2010,51,776.000000,131.000000,7.000000,3.848440,388.000000,103.000000,10082.000000
New York,2010,52,883.000000,214.000000,2.000000,4.199250,349.000000,100.000000,8311.000000
New York,2011,1,1164.000000,243.000000,9.000000,2.876990,352.000000,101.000000,12235.000000
New York,2011,2,989.000000,221.000000,10.000000,3.451070,383.000000,101.000000,11098.000000
New York,2011,3,996.000000,222.000000,6.000000,3.078520,356.000000,103.000000,11564.000000
New York,2011,4,1040.000000,234.000000,32.000000,3.355090,437.000000,104.000000,13025.000000
New York,2011,5,996.000000,207.000000,52.000000,4.044120,528.000000,100.000000,13056.000000
New York,2011,6,1013.000000,224.000000,50.000000,3.898050,572.000000,96.000000,14674.000000
New York,2011,7,1136.000000,273.000000,72.000000,4.036680,537.000000,88.000000,13303.000000
New York,2011,8,1139.000000,240.000000,71.000000,3.743320,420.000000,88.000000,11220.000000
New York,2011,9,983.000000,194.000000,56.000000,2.724930,328.000000,85.000000,12037.000000
New York,2011,10,893.000000,129.000000,55.000000,2.721500,313.000000,85.000000,11501.000000
New York,2011,11,858.000000,87.000000,56.000000,3.021930,339.000000,83.000000,11218.000000
New York,2011,12,732.000000,83.000000,53.000000,2.311400,254.000000,85.000000,10989.000000
New York,2011,13,615.000000,68.000000,32.000000,2.021050,242.000000,82.000000,11974.000000
New York,2011,14,632.000000,30.000000,49.000000,2.228540,251.000000,80.000000,11263.000000
New York,2011,15,561.000000,28.000000,28.000000,2.365200,236.000000,78.000000,9978.000000
New York,2011,16,432.000000,10.000000,16.000000,2.234070,197.000000,77.000000,8818.000000
New York,2011,17,294.000000,12.000000,4.000000,1.356420,123.000000,72.000000,9068.000000
New York,2011,18,323.000000,0.000000,4.000000,1.665760,153.000000,78.000000,9185.000000
New York,2011,19,239.000000,0.000000,2.000000,1.721060,164.000000,74.000000,9529.000000
New York,2011,20,307.000000,0.000000,1.000000,0.703443,57.000000,73.000000,8103.000000
New York,2011,21,221.000000,1.000000,1.000000,1.563490,99.000000,61.000000,6332.000000
New York,2011,22,207.000000,0.000000,0.000000,1.778140,88.000000,62.000000,4949.000000
New York,2011,23,188.000000,0.000000,0.000000,0.147520,8.000000,60.000000,5423.000000
New York,2011,24,153.000000,0.000000,0.000000,0.090909,5.000000,60.000000,5500.000000
New York,2011,25,170.000000,0.000000,1.000000,0.134901,7.000000,60.000000,5189.000000
New York,2011,26,127.000000,0.000000,0.000000,0.136160,7.000000,60.000000,5141.000000
New York,2011,27,128.000000,0.000000,0.000000,0.053836,2.000000,59.000000,3715.000000
New York,2011,28,126.000000,1.000000,0.000000,0.058061,3.000000,60.000000,5167.000000
New York,2011,29,122.000000,2.000000,0.000000,0.145591,7.000000,60.000000,4808.000000
New York,2011,30,90.000000,1.000000,0.000000,0.137255,7.000000,60.000000,5100.000000
New York,2011,31,123.000000,0.000000,0.000000,0.171050,8.000000,59.000000,4677.000000
New York,2011,32,129.000000,0.000000,1.000000,0.125418,6.000000,59.000000,4784.000000
New York,2011,33,49.000000,0.000000,0.000000,0.131926,7.000000,59.000000,5306.000000
New York,2011,34,121.000000,0.000000,0.000000,0.088810,6.000000,59.000000,6756.000000
New York,2011,35,119.000000,0.000000,0.000000,0.157159,10.000000,51.000000,6363.000000
New York,2011,36,56.000000,0.000000,0.000000,0.152759,8.000000,51.000000,5237.000000
New York,2011,37,157.000000,0.000000,0.000000,0.127805,9.000000,51.000000,7042.000000
New York,2011,38,158.000000,1.000000,0.000000,0.282595,22.000000,52.000000,7785.000000
New York,2011,39,253.000000,0.000000,0.000000,0.323494,24.000000,54.000000,7419.000000
New York,2011,40,223.000000,0.000000,0.000000,0.532345,79.000000,108.000000,14840.000000
New York,2011,41,301.000000,0.000000,0.000000,0.553468,81.000000,107.000000,14635.000000
New York,2011,42,328.000000,1.000000,0.000000,0.440685,62.000000,101.000000,14069.000000
New York,2011,43,314.000000,1.000000,0.000000,0.411350,59.000000,98.000000,14343.000000
New York,2011,44,334.000000,0.000000,0.000000,0.527118,83.000000,109.000000,15746.000000
New York,2011,45,373.000000,1.000000,0.000000,0.399433,62.000000,109.000000,15522.000000
New York,2011,46,405.000000,2.000000,1.000000,0.443537,63.000000,99.000000,14204.000000
New York,2011,47,379.000000,1.000000,0.000000,0.367160,36.000000,99.000000,9805.000000
New York,2011,48,416.000000,0.000000,0.000000,0.616540,87.000000,97.000000,14111.000000
New York,2011,49,227.000000,1.000000,0.000000,0.696024,101.000000,100.000000,14511.000000
New York,2011,50,205.000000,2.000000,0.000000,0.580860,82.000000,101.000000,14117.000000
New York,2011,51,259.000000,3.000000,0.000000,0.491337,57.000000,102.000000,11601.000000
New York,2011,52,277.000000,0.000000,0.000000,0.455005,36.000000,96.000000,7912.000000
New York,2012,1,263.000000,2.000000,0.000000,0.657054,72.000000,103.000000,10958.000000
New York,2012,2,290.000000,3.000000,1.000000,0.719363,84.000000,100.000000,11677.000000
New York,2012,3,262.000000,8.000000,1.000000,0.669400,80.000000,102.000000,11951.000000
New York,2012,4,260.000000,3.000000,1.000000,0.509789,69.000000,100.000000,13535.000000
New York,2012,5,296.000000,10.000000,6.000000,0.593152,88.000000,106.000000,14836.000000
New York,2012,6,295.000000,6.000000,2.000000,0.508223,72.000000,105.000000,14167.000000
