REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Ohio,2010,40,61.000000,0.000000,0.000000,0.228257,29.000000,36.000000,12705.000000
Ohio,2010,41,63.000000,0.000000,0.000000,0.361628,55.000000,44.000000,15209.000000
Ohio,2010,42,58.000000,0.000000,0.000000,0.523560,84.000000,47.000000,16044.000000
Ohio,2010,43,65.000000,1.000000,0.000000,0.329518,57.000000,49.000000,17298.000000
Ohio,2010,44,54.000000,1.000000,0.000000,0.831798,149.000000,48.000000,17913.000000
Ohio,2010,45,68.000000,3.000000,0.000000,0.518010,86.000000,44.000000,16602.000000
Ohio,2010,46,58.000000,6.000000,0.000000,0.533199,95.000000,45.000000,17817.000000
Ohio,2010,47,64.000000,2.000000,0.000000,0.454502,48.000000,42.000000,10561.000000
Ohio,2010,48,38.000000,2.000000,1.000000,0.349567,59.000000,50.000000,16878.000000
Ohio,2010,49,28.000000,0.000000,0.000000,0.342466,55.000000,50.000000,16060.000000
Ohio,2010,50,31.000000,0.000000,0.000000,0.446457,69.000000,52.000000,15455.000000
Ohio,2010,51,71.000000,2.000000,0.000000,0.598156,72.000000,47.000000,12037.000000
Ohio,2010,52,72.000000,5.000000,1.000000,0.721306,80.000000,47.000000,11091.000000
Ohio,2011,1,79.000000,3.000000,2.000000,0.914853,153.000000,48.000000,16724.000000
Ohio,2011,2,141.000000,23.000000,3.000000,1.171440,189.000000,47.000000,16134.000000
Ohio,2011,3,145.000000,26.000000,4.000000,1.639640,273.000000,48.000000,16650.000000
Ohio,2011,4,164.000000,28.000000,13.000000,2.403870,437.000000,49.000000,18179.000000
Ohio,2011,5,202.000000,36.000000,13.000000,3.493200,555.000000,54.000000,15888.000000
Ohio,2011,6,125.000000,28.000000,12.000000,2.267060,418.000000,54.000000,18438.000000
Ohio,2011,7,243.000000,31.000000,23.000000,2.237170,409.000000,49.000000,18282.000000
Ohio,2011,8,226.000000,43.000000,20.000000,1.906490,316.000000,49.000000,16575.000000
Ohio,2011,9,199.000000,43.000000,11.000000,1.681970,273.000000,51.000000,16231.000000
Ohio,2011,10,143.000000,13.000000,6.000000,1.484460,236.000000,48.000000,15898.000000
Ohio,2011,11,127.000000,19.000000,6.000000,1.282310,190.000000,44.000000,14817.000000
Ohio,2011,12,106.000000,7.000000,4.000000,0.648695,90.000000,42.000000,13874.000000
Ohio,2011,13,80.000000,5.000000,1.000000,0.873090,112.000000,39.000000,12828.000000
Ohio,2011,14,73.000000,0.000000,2.000000,0.615465,71.000000,38.000000,11536.000000
Ohio,2011,15,84.000000,2.000000,3.000000,0.452128,51.000000,36.000000,11280.000000
Ohio,2011,16,77.000000,3.000000,0.000000,0.355802,36.000000,37.000000,10118.000000
Ohio,2011,17,60.000000,0.000000,1.000000,0.375144,39.000000,37.000000,10396.000000
Ohio,2011,18,59.000000,0.000000,0.000000,0.661800,68.000000,37.000000,10275.000000
Ohio,2011,19,63.000000,0.000000,2.000000,0.387558,39.000000,36.000000,10063.000000
Ohio,2011,20,65.000000,0.000000,0.000000,0.485879,48.000000,35.000000,9879.000000
Ohio,2011,21,27.000000,0.000000,0.000000,0.285442,27.000000,36.000000,9459.000000
Ohio,2011,22,51.000000,0.000000,0.000000,0.486244,38.000000,35.000000,7815.000000
Ohio,2011,23,40.000000,0.000000,0.000000,0.210239,20.000000,34.000000,9513.000000
Ohio,2011,24,40.000000,0.000000,0.000000,0.058377,5.000000,34.000000,8565.000000
Ohio,2011,25,56.000000,0.000000,0.000000,0.074120,6.000000,30.000000,8095.000000
Ohio,2011,26,38.000000,0.000000,0.000000,0.277497,22.000000,31.000000,7928.000000
Ohio,2011,27,40.000000,0.000000,0.000000,0.294551,20.000000,30.000000,6790.000000
Ohio,2011,28,40.000000,0.000000,0.000000,0.070538,6.000000,31.000000,8506.000000
Ohio,2011,29,29.000000,0.000000,0.000000,0.096502,8.000000,31.000000,8290.000000
Ohio,2011,30,38.000000,0.000000,0.000000,0.035361,3.000000,30.000000,8484.000000
Ohio,2011,31,32.000000,0.000000,0.000000,0.162115,13.000000,31.000000,8019.000000
