REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Oregon,2010,40,18.000000,0.000000,0.000000,0.551334,37.000000,20.000000,6711.000000
Oregon,2010,41,20.000000,0.000000,0.000000,0.624076,38.000000,19.000000,6089.000000
Oregon,2010,42,14.000000,0.000000,0.000000,0.484848,36.000000,19.000000,7425.000000
Oregon,2010,43,16.000000,0.000000,0.000000,0.751771,52.000000,22.000000,6917.000000
Oregon,2010,44,17.000000,0.000000,0.000000,0.764895,57.000000,22.000000,7452.000000
Oregon,2010,45,32.000000,0.000000,0.000000,0.775305,54.000000,20.000000,6965.000000
Oregon,2010,46,16.000000,0.000000,0.000000,0.657895,44.000000,19.000000,6688.000000
Oregon,2010,47,11.000000,0.000000,0.000000,1.063830,25.000000,18.000000,2350.000000
Oregon,2010,48,10.000000,1.000000,0.000000,0.718276,27.000000,20.000000,3759.000000
Oregon,2010,49,16.000000,0.000000,0.000000,0.980101,33.000000,19.000000,3367.000000
Oregon,2010,50,18.000000,1.000000,0.000000,1.394980,35.000000,19.000000,2509.000000
Oregon,2010,51,13.000000,2.000000,0.000000,2.060370,43.000000,20.000000,2087.000000
Oregon,2010,52,12.000000,3.000000,0.000000,2.297090,45.000000,21.000000,1959.000000
Oregon,2011,1,24.000000,2.000000,2.000000,1.222620,48.000000,19.000000,3926.000000
Oregon,2011,2,15.000000,6.000000,2.000000,1.645060,66.000000,20.000000,4012.000000
Oregon,2011,3,32.000000,9.000000,3.000000,1.903590,62.000000,18.000000,3257.000000
Oregon,2011,4,33.000000,14.000000,0.000000,2.114580,86.000000,21.000000,4067.000000
Oregon,2011,5,39.000000,15.000000,1.000000,1.622900,55.000000,17.000000,3389.000000
Oregon,2011,6,55.000000,22.000000,3.000000,2.250320,89.000000,21.000000,3955.000000
Oregon,2011,7,68.000000,31.000000,2.000000,2.563400,94.000000,19.000000,3667.000000
Oregon,2011,8,43.000000,27.000000,2.000000,1.810370,59.000000,17.000000,3259.000000
Oregon,2011,9,69.000000,33.000000,1.000000,1.911720,68.000000,16.000000,3557.000000
Oregon,2011,10,48.000000,46.000000,0.000000,2.091940,76.000000,19.000000,3633.000000
Oregon,2011,11,59.000000,39.000000,2.000000,1.625000,52.000000,15.000000,3200.000000
Oregon,2011,12,61.000000,35.000000,1.000000,1.644740,35.000000,18.000000,2128.000000
Oregon,2011,13,40.000000,23.000000,1.000000,1.289790,47.000000,17.000000,3644.000000
Oregon,2011,14,23.000000,13.000000,1.000000,1.008220,38.000000,18.000000,3769.000000
Oregon,2011,15,17.000000,7.000000,0.000000,0.965873,30.000000,15.000000,3106.000000
Oregon,2011,16,33.000000,6.000000,2.000000,1.072460,37.000000,15.000000,3450.000000
Oregon,2011,17,22.000000,1.000000,1.000000,0.959752,31.000000,14.000000,3230.000000
Oregon,2011,18,14.000000,3.000000,0.000000,0.924745,29.000000,14.000000,3136.000000
Oregon,2011,19,13.000000,2.000000,0.000000,0.929924,28.000000,13.000000,3011.000000
Oregon,2011,20,15.000000,2.000000,0.000000,1.079010,31.000000,12.000000,2873.000000
Oregon,2011,21,18.000000,1.000000,0.000000,0.645819,19.000000,12.000000,2942.000000
Oregon,2011,22,,0.000000,,0.814053,19.000000,11.000000,2334.000000
Oregon,2011,23,17.000000,0.000000,0.000000,0.575595,15.000000,11.000000,2606.000000
Oregon,2011,24,,0.000000,,1.078490,18.000000,9.000000,1669.000000
Oregon,2011,25,16.000000,0.000000,0.000000,1.295770,23.000000,10.000000,1775.000000
Oregon,2011,26,,0.000000,,0.780814,14.000000,10.000000,1793.000000
Oregon,2011,27,10.000000,0.000000,0.000000,0.648088,10.000000,11.000000,1543.000000
Oregon,2011,28,10.000000,0.000000,0.000000,0.557414,10.000000,11.000000,1794.000000
Oregon,2011,29,,0.000000,,0.312663,6.000000,11.000000,1919.000000
Oregon,2011,30,12.000000,0.000000,0.000000,0.542005,10.000000,11.000000,1845.000000
Oregon,2011,31,,0.000000,,0.448934,8.000000,11.000000,1782.000000
Oregon,2011,32,,0.000000,,0.484131,9.000000,10.000000,1859.000000
Oregon,2011,33,,0.000000,,0.383693,8.000000,11.000000,2085.000000
Oregon,2011,34,,0.000000,,0.359343,7.000000,11.000000,1948.000000
Oregon,2011,35,,0.000000,,0.484914,9.000000,11.000000,1856.000000
Oregon,2011,36,,0.000000,,0.561167,10.000000,11.000000,1782.000000
Oregon,2011,37,10.000000,0.000000,0.000000,1.053320,16.000000,9.000000,1519.000000
Oregon,2011,38,18.000000,0.000000,0.000000,1.141440,23.000000,9.000000,2015.000000
Oregon,2011,39,14.000000,0.000000,0.000000,0.750268,21.000000,11.000000,2799.000000
Oregon,2011,40,14.000000,2.000000,0.000000,0.264473,9.000000,15.000000,3403.000000
Oregon,2011,41,,0.000000,,0.678610,25.000000,18.000000,3684.000000
Oregon,2011,42,10.000000,0.000000,0.000000,0.582686,21.000000,17.000000,3604.000000
Oregon,2011,43,,0.000000,,0.581751,19.000000,17.000000,3266.000000
Oregon,2011,44,14.000000,3.000000,0.000000,0.680828,25.000000,17.000000,3672.000000
Oregon,2011,45,11.000000,0.000000,0.000000,0.466418,15.000000,16.000000,3216.000000
Oregon,2011,46,21.000000,1.000000,0.000000,0.921502,27.000000,14.000000,2930.000000
Oregon,2011,47,17.000000,0.000000,0.000000,1.464770,37.000000,17.000000,2526.000000
Oregon,2011,48,22.000000,1.000000,0.000000,0.846785,32.000000,17.000000,3779.000000
