REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
South Carolina,2010,40,66.000000,1.000000,0.000000,0.446127,33.000000,25.000000,7397.000000
South Carolina,2010,41,85.000000,0.000000,1.000000,0.765523,54.000000,25.000000,7054.000000
South Carolina,2010,42,100.000000,0.000000,0.000000,0.389430,28.000000,22.000000,7190.000000
South Carolina,2010,43,109.000000,0.000000,0.000000,0.418354,31.000000,22.000000,7410.000000
South Carolina,2010,44,73.000000,0.000000,0.000000,0.445310,32.000000,22.000000,7186.000000
South Carolina,2010,45,117.000000,2.000000,2.000000,0.511100,32.000000,21.000000,6261.000000
South Carolina,2010,46,118.000000,1.000000,1.000000,0.455927,33.000000,21.000000,7238.000000
South Carolina,2010,47,61.000000,2.000000,0.000000,0.513049,23.000000,23.000000,4483.000000
South Carolina,2010,48,109.000000,2.000000,2.000000,0.509782,37.000000,22.000000,7258.000000
South Carolina,2010,49,132.000000,2.000000,3.000000,0.484707,29.000000,20.000000,5983.000000
South Carolina,2010,50,118.000000,5.000000,2.000000,0.804237,41.000000,17.000000,5098.000000
South Carolina,2010,51,95.000000,7.000000,7.000000,0.799381,31.000000,17.000000,3878.000000
South Carolina,2010,52,260.000000,24.000000,11.000000,1.174290,57.000000,19.000000,4854.000000
South Carolina,2011,1,314.000000,19.000000,13.000000,1.459630,94.000000,20.000000,6440.000000
South Carolina,2011,2,262.000000,20.000000,11.000000,2.466090,140.000000,22.000000,5677.000000
South Carolina,2011,3,314.000000,36.000000,12.000000,2.487630,171.000000,21.000000,6874.000000
South Carolina,2011,4,507.000000,60.000000,15.000000,4.845510,414.000000,23.000000,8544.000000
South Carolina,2011,5,722.000000,108.000000,34.000000,7.126730,726.000000,24.000000,10187.000000
South Carolina,2011,6,725.000000,92.000000,48.000000,6.042180,616.000000,25.000000,10195.000000
South Carolina,2011,7,858.000000,115.000000,19.000000,4.847450,456.000000,22.000000,9407.000000
South Carolina,2011,8,716.000000,106.000000,27.000000,3.850220,364.000000,24.000000,9454.000000
South Carolina,2011,9,499.000000,41.000000,12.000000,2.886570,241.000000,23.000000,8349.000000
South Carolina,2011,10,409.000000,40.000000,11.000000,2.191140,141.000000,20.000000,6435.000000
South Carolina,2011,11,310.000000,26.000000,9.000000,1.433280,113.000000,21.000000,7884.000000
South Carolina,2011,12,221.000000,6.000000,3.000000,0.769995,62.000000,22.000000,8052.000000
South Carolina,2011,13,173.000000,5.000000,2.000000,0.792051,55.000000,18.000000,6944.000000
South Carolina,2011,14,135.000000,1.000000,1.000000,0.641026,51.000000,20.000000,7956.000000
South Carolina,2011,15,178.000000,0.000000,0.000000,0.500128,39.000000,20.000000,7798.000000
South Carolina,2011,16,69.000000,0.000000,0.000000,0.509698,36.000000,20.000000,7063.000000
South Carolina,2011,17,26.000000,0.000000,0.000000,0.248098,15.000000,18.000000,6046.000000
South Carolina,2011,18,24.000000,0.000000,0.000000,0.230061,12.000000,15.000000,5216.000000
South Carolina,2011,19,24.000000,0.000000,0.000000,0.058662,3.000000,15.000000,5114.000000
South Carolina,2011,20,36.000000,0.000000,0.000000,0.130208,7.000000,15.000000,5376.000000
South Carolina,2011,21,19.000000,0.000000,0.000000,0.260465,14.000000,15.000000,5375.000000
South Carolina,2011,22,18.000000,0.000000,0.000000,0.132567,6.000000,15.000000,4526.000000
South Carolina,2011,23,,0.000000,,0.213220,9.000000,13.000000,4221.000000
South Carolina,2011,24,15.000000,0.000000,0.000000,0.167584,7.000000,14.000000,4177.000000
South Carolina,2011,25,,0.000000,,0.119104,5.000000,13.000000,4198.000000
South Carolina,2011,26,13.000000,0.000000,0.000000,0.221511,9.000000,12.000000,4063.000000
South Carolina,2011,27,,0.000000,,0.265565,9.000000,12.000000,3389.000000
South Carolina,2011,28,,0.000000,,0.113604,4.000000,12.000000,3521.000000
South Carolina,2011,29,,0.000000,,0.102643,4.000000,13.000000,3897.000000
South Carolina,2011,30,,0.000000,,0.376344,14.000000,13.000000,3720.000000
South Carolina,2011,31,,0.000000,,0.178518,6.000000,11.000000,3361.000000
South Carolina,2011,32,,0.000000,,0.140174,5.000000,11.000000,3567.000000
South Carolina,2011,33,,0.000000,,0.089606,4.000000,13.000000,4464.000000
South Carolina,2011,34,,0.000000,,0.056991,3.000000,13.000000,5264.000000
South Carolina,2011,35,10.000000,0.000000,0.000000,0.073570,4.000000,13.000000,5437.000000
