REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
South Dakota,2010,40,21.000000,0.000000,0.000000,1.102750,63.000000,18.000000,5713.000000
South Dakota,2010,41,31.000000,0.000000,0.000000,0.793794,44.000000,18.000000,5543.000000
South Dakota,2010,42,34.000000,0.000000,0.000000,0.791023,43.000000,18.000000,5436.000000
South Dakota,2010,43,28.000000,0.000000,0.000000,0.801311,44.000000,19.000000,5491.000000
South Dakota,2010,44,21.000000,0.000000,0.000000,0.779833,43.000000,19.000000,5514.000000
South Dakota,2010,45,19.000000,0.000000,0.000000,0.743424,39.000000,18.000000,5246.000000
South Dakota,2010,46,32.000000,0.000000,0.000000,1.001360,59.000000,19.000000,5892.000000
South Dakota,2010,47,23.000000,0.000000,1.000000,0.891996,37.000000,18.000000,4148.000000
South Dakota,2010,48,24.000000,0.000000,3.000000,1.107140,62.000000,19.000000,5600.000000
South Dakota,2010,49,31.000000,3.000000,2.000000,1.163210,64.000000,19.000000,5502.000000
South Dakota,2010,50,24.000000,6.000000,0.000000,0.945846,51.000000,19.000000,5392.000000
South Dakota,2010,51,35.000000,9.000000,2.000000,1.518490,69.000000,19.000000,4544.000000
South Dakota,2010,52,34.000000,14.000000,3.000000,1.524460,67.000000,19.000000,4395.000000
South Dakota,2011,1,34.000000,13.000000,8.000000,1.406170,78.000000,19.000000,5547.000000
South Dakota,2011,2,47.000000,16.000000,11.000000,1.755400,91.000000,19.000000,5184.000000
South Dakota,2011,3,67.000000,29.000000,15.000000,2.367770,124.000000,19.000000,5237.000000
South Dakota,2011,4,90.000000,44.000000,21.000000,2.675700,150.000000,19.000000,5606.000000
South Dakota,2011,5,100.000000,37.000000,37.000000,2.873030,155.000000,19.000000,5395.000000
South Dakota,2011,6,123.000000,34.000000,44.000000,3.202910,185.000000,19.000000,5776.000000
South Dakota,2011,7,138.000000,44.000000,46.000000,4.347830,275.000000,19.000000,6325.000000
South Dakota,2011,8,93.000000,28.000000,35.000000,4.167380,244.000000,19.000000,5855.000000
South Dakota,2011,9,109.000000,29.000000,45.000000,3.888800,242.000000,19.000000,6223.000000
South Dakota,2011,10,82.000000,25.000000,29.000000,3.503910,215.000000,19.000000,6136.000000
South Dakota,2011,11,81.000000,25.000000,32.000000,2.764520,168.000000,19.000000,6077.000000
South Dakota,2011,12,61.000000,13.000000,21.000000,2.530600,153.000000,18.000000,6046.000000
South Dakota,2011,13,46.000000,17.000000,8.000000,2.242770,131.000000,18.000000,5841.000000
South Dakota,2011,14,46.000000,13.000000,1.000000,1.353740,69.000000,17.000000,5097.000000
South Dakota,2011,15,24.000000,1.000000,1.000000,0.913621,44.000000,16.000000,4816.000000
South Dakota,2011,16,24.000000,3.000000,0.000000,1.008230,49.000000,17.000000,4860.000000
South Dakota,2011,17,,0.000000,,0.880395,41.000000,17.000000,4657.000000
South Dakota,2011,18,11.000000,2.000000,0.000000,0.602007,27.000000,16.000000,4485.000000
South Dakota,2011,19,,0.000000,,0.627521,28.000000,16.000000,4462.000000
South Dakota,2011,20,,0.000000,,0.522938,22.000000,16.000000,4207.000000
South Dakota,2011,21,,0.000000,,0.518623,22.000000,16.000000,4242.000000
South Dakota,2011,22,,0.000000,,0.507343,19.000000,16.000000,3745.000000
South Dakota,2011,23,,0.000000,,0.418994,18.000000,16.000000,4296.000000
South Dakota,2011,24,,0.000000,,0.541942,23.000000,16.000000,4244.000000
South Dakota,2011,25,,0.000000,,0.393604,16.000000,16.000000,4065.000000
South Dakota,2011,26,,0.000000,,0.310188,13.000000,16.000000,4191.000000
South Dakota,2011,27,,0.000000,,0.551420,20.000000,16.000000,3627.000000
South Dakota,2011,28,,0.000000,,0.501672,21.000000,16.000000,4186.000000
South Dakota,2011,29,,0.000000,,0.459418,18.000000,15.000000,3918.000000
South Dakota,2011,30,,0.000000,,0.571837,24.000000,16.000000,4197.000000
