REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Tennessee,2010,40,52.000000,0.000000,1.000000,0.274655,32.000000,52.000000,11651.000000
Tennessee,2010,41,66.000000,0.000000,0.000000,0.499492,59.000000,50.000000,11812.000000
Tennessee,2010,42,73.000000,1.000000,0.000000,0.499550,61.000000,50.000000,12211.000000
Tennessee,2010,43,59.000000,1.000000,0.000000,0.401638,51.000000,52.000000,12698.000000
Tennessee,2010,44,70.000000,0.000000,0.000000,0.528096,64.000000,51.000000,12119.000000
Tennessee,2010,45,86.000000,0.000000,0.000000,0.593704,76.000000,53.000000,12801.000000
Tennessee,2010,46,91.000000,0.000000,0.000000,0.676526,86.000000,51.000000,12712.000000
Tennessee,2010,47,29.000000,0.000000,0.000000,0.821849,65.000000,53.000000,7909.000000
Tennessee,2010,48,37.000000,0.000000,2.000000,0.805777,106.000000,54.000000,13155.000000
Tennessee,2010,49,60.000000,2.000000,4.000000,1.105770,122.000000,50.000000,11033.000000
Tennessee,2010,50,86.000000,2.000000,10.000000,1.378450,121.000000,51.000000,8778.000000
Tennessee,2010,51,67.000000,0.000000,15.000000,2.360790,145.000000,49.000000,6142.000000
Tennessee,2010,52,94.000000,5.000000,20.000000,2.743320,188.000000,50.000000,6853.000000
Tennessee,2011,1,125.000000,8.000000,25.000000,1.699930,178.000000,52.000000,10471.000000
Tennessee,2011,2,116.000000,11.000000,20.000000,2.726020,237.000000,50.000000,8694.000000
Tennessee,2011,3,137.000000,19.000000,23.000000,3.645200,390.000000,53.000000,10699.000000
Tennessee,2011,4,184.000000,32.000000,35.000000,5.150490,652.000000,52.000000,12659.000000
Tennessee,2011,5,185.000000,39.000000,29.000000,6.398360,841.000000,52.000000,13144.000000
Tennessee,2011,6,309.000000,80.000000,53.000000,6.274790,791.000000,55.000000,12606.000000
Tennessee,2011,7,277.000000,62.000000,48.000000,5.970490,781.000000,51.000000,13081.000000
Tennessee,2011,8,226.000000,43.000000,24.000000,3.570570,446.000000,51.000000,12491.000000
Tennessee,2011,9,270.000000,64.000000,15.000000,3.151960,369.000000,50.000000,11707.000000
Tennessee,2011,10,197.000000,26.000000,12.000000,2.147120,223.000000,51.000000,10386.000000
Tennessee,2011,11,123.000000,17.000000,4.000000,1.583160,176.000000,50.000000,11117.000000
Tennessee,2011,12,123.000000,7.000000,1.000000,0.632749,74.000000,51.000000,11695.000000
Tennessee,2011,13,75.000000,4.000000,1.000000,0.765750,88.000000,51.000000,11492.000000
Tennessee,2011,14,79.000000,1.000000,0.000000,0.703437,88.000000,50.000000,12510.000000
Tennessee,2011,15,41.000000,1.000000,3.000000,0.552130,60.000000,50.000000,10867.000000
Tennessee,2011,16,22.000000,2.000000,0.000000,0.575935,65.000000,53.000000,11286.000000
Tennessee,2011,17,21.000000,2.000000,0.000000,0.385999,44.000000,53.000000,11399.000000
Tennessee,2011,18,,0.000000,,0.108425,10.000000,49.000000,9223.000000
Tennessee,2011,19,10.000000,0.000000,0.000000,0.080747,7.000000,50.000000,8669.000000
Tennessee,2011,20,,0.000000,,0.055188,5.000000,49.000000,9060.000000
Tennessee,2011,21,,0.000000,,0.024820,2.000000,47.000000,8058.000000
Tennessee,2011,22,,0.000000,,0.028301,2.000000,51.000000,7067.000000
Tennessee,2011,23,,0.000000,,0.073117,6.000000,48.000000,8206.000000
Tennessee,2011,24,,0.000000,,0.027617,2.000000,48.000000,7242.000000
Tennessee,2011,25,,0.000000,,0.037514,3.000000,50.000000,7997.000000
Tennessee,2011,26,,0.000000,,0.013122,1.000000,47.000000,7621.000000
Tennessee,2011,27,,0.000000,,0.017615,1.000000,45.000000,5677.000000
Tennessee,2011,28,,0.000000,,0.012315,1.000000,49.000000,8120.000000
Tennessee,2011,29,,0.000000,,0.013141,1.000000,49.000000,7610.000000
Tennessee,2011,30,,0.000000,,0.000000,0.000000,45.000000,7445.000000
Tennessee,2011,31,,0.000000,,0.024483,2.000000,50.000000,8169.000000
Tennessee,2011,32,,0.000000,,0.023202,2.000000,51.000000,8620.000000
Tennessee,2011,33,,0.000000,,0.062338,6.000000,50.000000,9625.000000
Tennessee,2011,34,,0.000000,,0.069993,7.000000,51.000000,10001.000000
Tennessee,2011,35,,0.000000,,0.141898,15.000000,50.000000,10571.000000
Tennessee,2011,36,,0.000000,,0.179662,15.000000,49.000000,8349.000000
Tennessee,2011,37,,0.000000,,0.281570,33.000000,52.000000,11720.000000
Tennessee,2011,38,,0.000000,,0.360600,38.000000,51.000000,10538.000000
Tennessee,2011,39,15.000000,0.000000,0.000000,0.426770,44.000000,49.000000,10310.000000
Tennessee,2011,40,,0.000000,,0.432601,50.000000,49.000000,11558.000000
Tennessee,2011,41,27.000000,0.000000,0.000000,0.399626,47.000000,49.000000,11761.000000
Tennessee,2011,42,,0.000000,,0.383643,44.000000,51.000000,11469.000000
Tennessee,2011,43,13.000000,0.000000,0.000000,0.546111,62.000000,49.000000,11353.000000
Tennessee,2011,44,25.000000,0.000000,0.000000,0.481309,60.000000,53.000000,12466.000000
Tennessee,2011,45,14.000000,0.000000,0.000000,0.792317,99.000000,54.000000,12495.000000
Tennessee,2011,46,52.000000,0.000000,0.000000,0.540284,57.000000,48.000000,10550.000000
Tennessee,2011,47,11.000000,0.000000,0.000000,0.886824,63.000000,54.000000,7104.000000
Tennessee,2011,48,38.000000,0.000000,0.000000,0.557509,65.000000,55.000000,11659.000000
Tennessee,2011,49,32.000000,0.000000,0.000000,0.968213,106.000000,53.000000,10948.000000
Tennessee,2011,50,18.000000,2.000000,0.000000,0.557461,52.000000,49.000000,9328.000000
Tennessee,2011,51,16.000000,0.000000,0.000000,0.499792,36.000000,50.000000,7203.000000
Tennessee,2011,52,32.000000,2.000000,0.000000,0.871586,45.000000,47.000000,5163.000000
Tennessee,2012,1,18.000000,0.000000,0.000000,0.733628,68.000000,55.000000,9269.000000
Tennessee,2012,2,25.000000,2.000000,0.000000,0.732759,85.000000,51.000000,11600.000000
Tennessee,2012,3,13.000000,0.000000,0.000000,1.127040,125.000000,53.000000,11091.000000
Tennessee,2012,4,24.000000,1.000000,0.000000,1.195280,154.000000,53.000000,12884.000000
Tennessee,2012,5,27.000000,0.000000,0.000000,0.837799,111.000000,53.000000,13249.000000
Tennessee,2012,6,30.000000,2.000000,1.000000,1.217360,145.000000,52.000000,11911.000000
Tennessee,2012,7,43.000000,1.000000,0.000000,1.530650,196.000000,55.000000,12805.000000
