REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Virginia,2010,40,24.000000,0.000000,1.000000,1.143430,660.000000,81.000000,57721.000000
Virginia,2010,41,32.000000,0.000000,0.000000,1.236530,754.000000,83.000000,60977.000000
Virginia,2010,42,35.000000,1.000000,2.000000,1.225450,758.000000,84.000000,61855.000000
Virginia,2010,43,39.000000,0.000000,0.000000,1.269020,763.000000,83.000000,60125.000000
Virginia,2010,44,56.000000,0.000000,0.000000,1.265470,729.000000,84.000000,57607.000000
Virginia,2010,45,60.000000,0.000000,0.000000,1.411650,888.000000,88.000000,62905.000000
Virginia,2010,46,63.000000,1.000000,0.000000,1.532420,898.000000,84.000000,58600.000000
Virginia,2010,47,31.000000,1.000000,0.000000,1.627260,987.000000,87.000000,60654.000000
Virginia,2010,48,42.000000,0.000000,0.000000,1.571460,970.000000,88.000000,61726.000000
Virginia,2010,49,60.000000,3.000000,3.000000,1.699370,982.000000,86.000000,57786.000000
Virginia,2010,50,57.000000,2.000000,1.000000,1.753440,945.000000,83.000000,53894.000000
Virginia,2010,51,76.000000,3.000000,3.000000,2.195850,1260.000000,89.000000,57381.000000
Virginia,2010,52,94.000000,13.000000,1.000000,2.396400,1466.000000,86.000000,61175.000000
Virginia,2011,1,126.000000,15.000000,4.000000,2.489120,1596.000000,87.000000,64119.000000
Virginia,2011,2,163.000000,23.000000,6.000000,2.811050,1835.000000,91.000000,65278.000000
Virginia,2011,3,168.000000,39.000000,17.000000,3.972360,2719.000000,91.000000,68448.000000
Virginia,2011,4,193.000000,56.000000,9.000000,4.742300,3294.000000,90.000000,69460.000000
Virginia,2011,5,235.000000,69.000000,16.000000,5.348510,3859.000000,91.000000,72151.000000
Virginia,2011,6,260.000000,64.000000,17.000000,5.129230,3731.000000,91.000000,72740.000000
Virginia,2011,7,287.000000,71.000000,22.000000,5.143040,3743.000000,91.000000,72778.000000
Virginia,2011,8,334.000000,58.000000,26.000000,4.359080,3184.000000,92.000000,73043.000000
Virginia,2011,9,262.000000,45.000000,20.000000,3.473310,2411.000000,92.000000,69415.000000
Virginia,2011,10,232.000000,24.000000,15.000000,2.835700,1825.000000,91.000000,64358.000000
Virginia,2011,11,160.000000,19.000000,5.000000,2.268760,1561.000000,92.000000,68804.000000
Virginia,2011,12,127.000000,13.000000,10.000000,1.852960,1210.000000,91.000000,65301.000000
Virginia,2011,13,118.000000,5.000000,6.000000,1.812930,1173.000000,92.000000,64702.000000
Virginia,2011,14,93.000000,3.000000,2.000000,1.511760,1028.000000,93.000000,68000.000000
Virginia,2011,15,48.000000,1.000000,0.000000,1.486540,722.000000,80.000000,48569.000000
Virginia,2011,16,48.000000,1.000000,1.000000,1.318100,774.000000,82.000000,58721.000000
Virginia,2011,17,32.000000,0.000000,1.000000,1.057210,635.000000,80.000000,60064.000000
Virginia,2011,18,20.000000,0.000000,0.000000,1.072730,672.000000,88.000000,62644.000000
Virginia,2011,19,22.000000,0.000000,1.000000,1.064230,705.000000,90.000000,66245.000000
Virginia,2011,20,26.000000,0.000000,1.000000,1.139500,709.000000,86.000000,62220.000000
Virginia,2011,21,19.000000,0.000000,0.000000,0.999368,617.000000,85.000000,61739.000000
Virginia,2011,22,16.000000,0.000000,0.000000,1.011370,629.000000,83.000000,62193.000000
Virginia,2011,23,13.000000,0.000000,0.000000,0.964833,580.000000,82.000000,60114.000000
Virginia,2011,24,,0.000000,,0.911056,548.000000,83.000000,60150.000000
Virginia,2011,25,13.000000,0.000000,0.000000,0.828360,458.000000,74.000000,55290.000000
Virginia,2011,26,24.000000,0.000000,0.000000,0.817877,452.000000,79.000000,55265.000000
Virginia,2011,27,10.000000,0.000000,0.000000,0.723917,444.000000,83.000000,61333.000000
Virginia,2011,28,15.000000,0.000000,0.000000,0.629352,357.000000,79.000000,56725.000000
Virginia,2011,29,,0.000000,,0.625742,353.000000,79.000000,56413.000000
Virginia,2011,30,,0.000000,,0.673763,369.000000,76.000000,54767.000000
Virginia,2011,31,,0.000000,,0.560293,320.000000,73.000000,57113.000000
Virginia,2011,32,24.000000,0.000000,0.000000,0.588899,355.000000,83.000000,60282.000000
Virginia,2011,33,25.000000,0.000000,0.000000,0.677421,409.000000,83.000000,60376.000000
Virginia,2011,34,10.000000,0.000000,0.000000,0.774693,396.000000,77.000000,51117.000000
Virginia,2011,35,21.000000,0.000000,0.000000,0.723238,427.000000,83.000000,59040.000000
Virginia,2011,36,17.000000,0.000000,0.000000,0.800381,488.000000,87.000000,60971.000000
Virginia,2011,37,33.000000,1.000000,0.000000,0.916186,601.000000,88.000000,65598.000000
Virginia,2011,38,13.000000,0.000000,0.000000,1.080840,714.000000,86.000000,66060.000000
Virginia,2011,39,11.000000,0.000000,1.000000,1.213260,833.000000,92.000000,68658.000000
Virginia,2011,40,23.000000,0.000000,0.000000,1.249030,840.000000,93.000000,67252.000000
Virginia,2011,41,39.000000,0.000000,0.000000,1.354330,927.000000,92.000000,68447.000000
Virginia,2011,42,28.000000,0.000000,0.000000,1.282560,897.000000,92.000000,69938.000000
Virginia,2011,43,31.000000,0.000000,0.000000,1.388420,909.000000,90.000000,65470.000000
Virginia,2011,44,47.000000,0.000000,0.000000,1.452240,938.000000,92.000000,64590.000000
Virginia,2011,45,49.000000,0.000000,0.000000,1.533780,1023.000000,91.000000,66698.000000
Virginia,2011,46,47.000000,0.000000,0.000000,1.507620,1050.000000,94.000000,69646.000000
Virginia,2011,47,25.000000,0.000000,0.000000,1.600140,1009.000000,92.000000,63057.000000
Virginia,2011,48,39.000000,0.000000,0.000000,1.679320,1144.000000,92.000000,68123.000000
Virginia,2011,49,47.000000,0.000000,0.000000,1.522930,1014.000000,94.000000,66582.000000
Virginia,2011,50,84.000000,0.000000,0.000000,1.702130,1116.000000,87.000000,65565.000000
Virginia,2011,51,77.000000,0.000000,0.000000,1.751680,1145.000000,92.000000,65366.000000
Virginia,2011,52,84.000000,0.000000,0.000000,1.975060,1359.000000,93.000000,68808.000000
Virginia,2012,1,92.000000,0.000000,0.000000,1.799880,1264.000000,94.000000,70227.000000
Virginia,2012,2,74.000000,1.000000,0.000000,1.397570,946.000000,92.000000,67689.000000
Virginia,2012,3,106.000000,1.000000,0.000000,1.667610,1117.000000,94.000000,66982.000000
Virginia,2012,4,143.000000,6.000000,0.000000,1.476280,1034.000000,94.000000,70041.000000
Virginia,2012,5,112.000000,3.000000,0.000000,1.681420,1128.000000,91.000000,67086.000000
Virginia,2012,6,109.000000,0.000000,1.000000,1.479350,1020.000000,93.000000,68949.000000
Virginia,2012,7,110.000000,7.000000,0.000000,1.692300,1164.000000,91.000000,68782.000000
Virginia,2012,8,99.000000,8.000000,0.000000,1.633590,1163.000000,91.000000,71193.000000
Virginia,2012,9,66.000000,5.000000,1.000000,1.553020,1091.000000,93.000000,70250.000000
Virginia,2012,10,105.000000,9.000000,0.000000,1.571070,1077.000000,93.000000,68552.000000
Virginia,2012,11,73.000000,8.000000,1.000000,1.504330,1078.000000,93.000000,71660.000000
Virginia,2012,12,63.000000,4.000000,0.000000,1.353540,977.000000,92.000000,72181.000000
Virginia,2012,13,61.000000,3.000000,1.000000,1.306490,898.000000,89.000000,68734.000000
Virginia,2012,14,55.000000,3.000000,2.000000,1.286390,860.000000,91.000000,66854.000000
Virginia,2012,15,55.000000,4.000000,0.000000,1.152250,769.000000,86.000000,66739.000000
Virginia,2012,16,37.000000,4.000000,2.000000,1.099800,780.000000,91.000000,70922.000000
Virginia,2012,17,36.000000,1.000000,2.000000,1.061600,710.000000,89.000000,66880.000000
Virginia,2012,18,26.000000,1.000000,2.000000,1.159840,740.000000,86.000000,63802.000000
Virginia,2012,19,41.000000,8.000000,2.000000,0.960439,647.000000,88.000000,67365.000000
Virginia,2012,20,21.000000,2.000000,2.000000,0.968512,645.000000,86.000000,66597.000000
Virginia,2012,21,28.000000,0.000000,0.000000,1.005610,660.000000,83.000000,65632.000000
Virginia,2012,22,12.000000,0.000000,1.000000,1.067860,733.000000,87.000000,68642.000000
Virginia,2012,23,14.000000,0.000000,0.000000,0.967892,624.000000,82.000000,64470.000000
Virginia,2012,24,25.000000,0.000000,0.000000,1.024160,661.000000,83.000000,64541.000000
Virginia,2012,25,30.000000,0.000000,0.000000,0.955853,603.000000,83.000000,63085.000000
Virginia,2012,26,16.000000,0.000000,1.000000,0.937844,545.000000,80.000000,58112.000000
Virginia,2012,27,20.000000,0.000000,0.000000,0.871453,554.000000,85.000000,63572.000000
Virginia,2012,28,15.000000,0.000000,0.000000,0.720540,460.000000,81.000000,63841.000000
Virginia,2012,29,22.000000,0.000000,0.000000,0.787560,510.000000,86.000000,64757.000000
Virginia,2012,30,19.000000,0.000000,0.000000,0.734682,494.000000,91.000000,67240.000000
Virginia,2012,31,11.000000,0.000000,0.000000,0.748640,490.000000,88.000000,65452.000000
Virginia,2012,32,11.000000,0.000000,0.000000,0.739357,471.000000,87.000000,63704.000000
Virginia,2012,33,15.000000,0.000000,0.000000,0.785321,520.000000,89.000000,66215.000000
