REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Alaska,2010,40,40.000000,0.000000,0.000000,0.875146,15.000000,7.000000,1714.000000
Alaska,2010,41,38.000000,0.000000,0.000000,1.128270,19.000000,7.000000,1684.000000
Alaska,2010,42,21.000000,0.000000,0.000000,0.586042,11.000000,7.000000,1877.000000
Alaska,2010,43,37.000000,0.000000,0.000000,0.967742,18.000000,8.000000,1860.000000
Alaska,2010,44,32.000000,0.000000,0.000000,0.683851,13.000000,8.000000,1901.000000
Alaska,2010,45,45.000000,1.000000,1.000000,0.951904,19.000000,8.000000,1996.000000
Alaska,2010,46,32.000000,0.000000,0.000000,0.962567,18.000000,7.000000,1870.000000
Alaska,2010,47,29.000000,0.000000,0.000000,0.652316,10.000000,6.000000,1533.000000
Alaska,2010,48,36.000000,0.000000,0.000000,0.459770,8.000000,8.000000,1740.000000
Alaska,2010,49,37.000000,1.000000,1.000000,0.797721,14.000000,8.000000,1755.000000
Alaska,2010,50,30.000000,1.000000,0.000000,1.055810,21.000000,9.000000,1989.000000
Alaska,2010,51,30.000000,3.000000,0.000000,0.852273,15.000000,8.000000,1760.000000
Alaska,2010,52,53.000000,6.000000,0.000000,1.130860,21.000000,8.000000,1857.000000
Alaska,2011,1,52.000000,8.000000,3.000000,0.592593,12.000000,8.000000,2025.000000
Alaska,2011,2,67.000000,26.000000,0.000000,1.482270,28.000000,8.000000,1889.000000
Alaska,2011,3,136.000000,53.000000,5.000000,1.668210,36.000000,9.000000,2158.000000
Alaska,2011,4,206.000000,83.000000,4.000000,1.401270,33.000000,9.000000,2355.000000
Alaska,2011,5,135.000000,61.000000,0.000000,3.678680,49.000000,7.000000,1332.000000
Alaska,2011,6,157.000000,58.000000,1.000000,1.958910,41.000000,8.000000,2093.000000
Alaska,2011,7,236.000000,105.000000,2.000000,4.431600,69.000000,7.000000,1557.000000
Alaska,2011,8,226.000000,97.000000,3.000000,2.934540,65.000000,8.000000,2215.000000
Alaska,2011,9,205.000000,101.000000,4.000000,4.880100,116.000000,8.000000,2377.000000
Alaska,2011,10,249.000000,111.000000,5.000000,3.533710,87.000000,8.000000,2462.000000
Alaska,2011,11,159.000000,58.000000,2.000000,2.687470,62.000000,8.000000,2307.000000
Alaska,2011,12,146.000000,53.000000,2.000000,3.024570,48.000000,6.000000,1587.000000
Alaska,2011,13,114.000000,25.000000,0.000000,2.143760,51.000000,8.000000,2379.000000
Alaska,2011,14,105.000000,15.000000,3.000000,2.208200,49.000000,8.000000,2219.000000
Alaska,2011,15,74.000000,8.000000,1.000000,1.365040,31.000000,8.000000,2271.000000
Alaska,2011,16,68.000000,6.000000,1.000000,1.412300,31.000000,7.000000,2195.000000
Alaska,2011,17,47.000000,0.000000,0.000000,0.854271,17.000000,6.000000,1990.000000
Alaska,2011,18,46.000000,5.000000,1.000000,0.798122,17.000000,7.000000,2130.000000
Alaska,2011,19,47.000000,0.000000,0.000000,0.359712,7.000000,7.000000,1946.000000
Alaska,2011,20,42.000000,0.000000,0.000000,0.306279,6.000000,6.000000,1959.000000
Alaska,2011,21,21.000000,0.000000,0.000000,0.716846,14.000000,6.000000,1953.000000
Alaska,2011,22,16.000000,0.000000,0.000000,0.366492,7.000000,6.000000,1910.000000
Alaska,2011,23,18.000000,0.000000,0.000000,0.601751,11.000000,6.000000,1828.000000
Alaska,2011,24,17.000000,0.000000,0.000000,0.552486,10.000000,6.000000,1810.000000
Alaska,2011,25,12.000000,0.000000,0.000000,0.764192,14.000000,6.000000,1832.000000
Alaska,2011,26,12.000000,0.000000,0.000000,0.559284,10.000000,6.000000,1788.000000
Alaska,2011,27,10.000000,0.000000,0.000000,0.500835,9.000000,6.000000,1797.000000
Alaska,2011,28,10.000000,0.000000,0.000000,0.668896,12.000000,6.000000,1794.000000
Alaska,2011,29,10.000000,0.000000,0.000000,0.317460,6.000000,6.000000,1890.000000
Alaska,2011,30,20.000000,0.000000,0.000000,0.410678,8.000000,6.000000,1948.000000
Alaska,2011,31,,0.000000,,0.369393,7.000000,7.000000,1895.000000
Alaska,2011,32,,0.000000,,0.488865,9.000000,7.000000,1841.000000
Alaska,2011,33,11.000000,0.000000,0.000000,0.322754,6.000000,7.000000,1859.000000
Alaska,2011,34,13.000000,0.000000,0.000000,0.165107,3.000000,6.000000,1817.000000
Alaska,2011,35,15.000000,0.000000,0.000000,0.913978,17.000000,5.000000,1860.000000
Alaska,2011,36,29.000000,0.000000,0.000000,0.864865,16.000000,5.000000,1850.000000
Alaska,2011,37,27.000000,2.000000,0.000000,0.982420,19.000000,6.000000,1934.000000
Alaska,2011,38,46.000000,0.000000,0.000000,1.226990,24.000000,6.000000,1956.000000
Alaska,2011,39,57.000000,1.000000,0.000000,1.216440,29.000000,7.000000,2384.000000
Alaska,2011,40,54.000000,0.000000,0.000000,1.649130,58.000000,8.000000,3517.000000
Alaska,2011,41,37.000000,1.000000,0.000000,1.503760,38.000000,7.000000,2527.000000
Alaska,2011,42,59.000000,0.000000,1.000000,0.997817,32.000000,8.000000,3207.000000
Alaska,2011,43,40.000000,1.000000,0.000000,0.870070,30.000000,8.000000,3448.000000
Alaska,2011,44,60.000000,1.000000,0.000000,0.741740,11.000000,6.000000,1483.000000
Alaska,2011,45,47.000000,1.000000,0.000000,1.174260,25.000000,7.000000,2129.000000
Alaska,2011,46,47.000000,0.000000,0.000000,0.510204,9.000000,6.000000,1764.000000
Alaska,2011,47,37.000000,0.000000,1.000000,0.578704,10.000000,6.000000,1728.000000
Alaska,2011,48,48.000000,1.000000,0.000000,0.958313,20.000000,7.000000,2087.000000
Alaska,2011,49,50.000000,0.000000,0.000000,0.703235,15.000000,7.000000,2133.000000
Alaska,2011,50,47.000000,0.000000,0.000000,0.564682,11.000000,6.000000,1948.000000
Alaska,2011,51,63.000000,0.000000,0.000000,0.516529,10.000000,6.000000,1936.000000
Alaska,2011,52,72.000000,1.000000,0.000000,0.662252,12.000000,6.000000,1812.000000
Alaska,2012,1,95.000000,0.000000,1.000000,0.696304,13.000000,6.000000,1867.000000
Alaska,2012,2,94.000000,2.000000,0.000000,0.507042,9.000000,6.000000,1775.000000
Alaska,2012,3,88.000000,0.000000,0.000000,0.763775,14.000000,7.000000,1833.000000
Alaska,2012,4,94.000000,0.000000,1.000000,1.496530,28.000000,7.000000,1871.000000
Alaska,2012,5,96.000000,3.000000,1.000000,0.838415,11.000000,6.000000,1312.000000
Alaska,2012,6,75.000000,0.000000,0.000000,0.615822,13.000000,7.000000,2111.000000
Alaska,2012,7,97.000000,3.000000,1.000000,0.360685,8.000000,7.000000,2218.000000
Alaska,2012,8,116.000000,5.000000,0.000000,0.465983,10.000000,7.000000,2146.000000
Alaska,2012,9,115.000000,10.000000,3.000000,0.844820,19.000000,7.000000,2249.000000
Alaska,2012,10,112.000000,8.000000,2.000000,0.636943,13.000000,6.000000,2041.000000
Alaska,2012,11,101.000000,17.000000,2.000000,1.331200,25.000000,6.000000,1878.000000
Alaska,2012,12,123.000000,30.000000,4.000000,1.135800,23.000000,6.000000,2025.000000
Alaska,2012,13,123.000000,27.000000,5.000000,0.920716,18.000000,6.000000,1955.000000
Alaska,2012,14,138.000000,40.000000,12.000000,1.678770,37.000000,7.000000,2204.000000
Alaska,2012,15,142.000000,38.000000,16.000000,2.320580,54.000000,7.000000,2327.000000
Alaska,2012,16,148.000000,30.000000,23.000000,2.190720,51.000000,7.000000,2328.000000
Alaska,2012,17,129.000000,29.000000,25.000000,1.830760,45.000000,7.000000,2458.000000
Alaska,2012,18,115.000000,16.000000,25.000000,1.861100,41.000000,7.000000,2203.000000
Alaska,2012,19,113.000000,10.000000,29.000000,1.476790,35.000000,7.000000,2370.000000
Alaska,2012,20,119.000000,20.000000,29.000000,1.042160,22.000000,6.000000,2111.000000
Alaska,2012,21,86.000000,9.000000,17.000000,0.753546,17.000000,6.000000,2256.000000
Alaska,2012,22,62.000000,2.000000,9.000000,0.522814,11.000000,6.000000,2104.000000
Alaska,2012,23,49.000000,4.000000,6.000000,0.277316,5.000000,5.000000,1803.000000
Alaska,2012,24,52.000000,5.000000,7.000000,0.339559,6.000000,5.000000,1767.000000
Alaska,2012,25,39.000000,11.000000,3.000000,0.268097,5.000000,5.000000,1865.000000
Alaska,2012,26,43.000000,4.000000,1.000000,0.428036,8.000000,5.000000,1869.000000
Alaska,2012,27,28.000000,1.000000,0.000000,0.380435,7.000000,5.000000,1840.000000
Alaska,2012,28,37.000000,7.000000,0.000000,0.326797,6.000000,5.000000,1836.000000
Alaska,2012,29,53.000000,0.000000,9.000000,0.304260,6.000000,5.000000,1972.000000
Alaska,2012,30,40.000000,0.000000,5.000000,0.292398,6.000000,6.000000,2052.000000
Alaska,2012,31,34.000000,1.000000,3.000000,0.262881,5.000000,5.000000,1902.000000
Alaska,2012,32,40.000000,0.000000,0.000000,0.272035,5.000000,5.000000,1838.000000
Alaska,2012,33,43.000000,4.000000,0.000000,0.098039,2.000000,5.000000,2040.000000
Alaska,2012,34,46.000000,8.000000,0.000000,0.149775,3.000000,5.000000,2003.000000
Alaska,2012,35,39.000000,3.000000,0.000000,0.150527,3.000000,6.000000,1993.000000
Alaska,2012,36,51.000000,2.000000,0.000000,0.611621,12.000000,6.000000,1962.000000
Alaska,2012,37,56.000000,2.000000,0.000000,0.628627,13.000000,6.000000,2068.000000
Alaska,2012,38,52.000000,8.000000,0.000000,0.229226,4.000000,5.000000,1745.000000
Alaska,2012,39,56.000000,8.000000,0.000000,0.568182,7.000000,5.000000,1232.000000
Alaska,2012,40,72.000000,8.000000,2.000000,1.198930,27.000000,8.000000,2252.000000
Alaska,2012,41,58.000000,3.000000,0.000000,0.847035,17.000000,7.000000,2007.000000
Alaska,2012,42,78.000000,9.000000,2.000000,0.986278,23.000000,9.000000,2332.000000
Alaska,2012,43,105.000000,28.000000,1.000000,1.174930,27.000000,9.000000,2298.000000
Alaska,2012,44,122.000000,24.000000,4.000000,1.375330,31.000000,9.000000,2254.000000
Alaska,2012,45,124.000000,28.000000,1.000000,1.329790,25.000000,8.000000,1880.000000
Alaska,2012,46,118.000000,31.000000,5.000000,1.037040,21.000000,8.000000,2025.000000
Alaska,2012,47,130.000000,42.000000,7.000000,1.666670,38.000000,9.000000,2280.000000
Alaska,2012,48,204.000000,78.000000,19.000000,1.524390,35.000000,9.000000,2296.000000
