REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Arizona,2010,40,40.000000,1.000000,0.000000,0.674721,172.000000,49.000000,25492.000000
Arizona,2010,41,47.000000,1.000000,2.000000,0.749939,183.000000,49.000000,24402.000000
Arizona,2010,42,56.000000,1.000000,0.000000,0.953365,240.000000,52.000000,25174.000000
Arizona,2010,43,44.000000,1.000000,1.000000,0.888804,233.000000,52.000000,26215.000000
Arizona,2010,44,67.000000,1.000000,0.000000,1.185730,312.000000,55.000000,26313.000000
Arizona,2010,45,82.000000,2.000000,1.000000,0.945337,239.000000,54.000000,25282.000000
Arizona,2010,46,69.000000,1.000000,0.000000,1.096650,284.000000,55.000000,25897.000000
Arizona,2010,47,69.000000,8.000000,1.000000,1.133800,251.000000,54.000000,22138.000000
Arizona,2010,48,104.000000,12.000000,2.000000,1.422270,371.000000,56.000000,26085.000000
Arizona,2010,49,140.000000,44.000000,11.000000,2.148350,517.000000,53.000000,24065.000000
Arizona,2010,50,175.000000,72.000000,17.000000,2.018360,488.000000,55.000000,24178.000000
Arizona,2010,51,215.000000,94.000000,20.000000,2.302700,454.000000,53.000000,19716.000000
Arizona,2010,52,212.000000,102.000000,29.000000,1.516490,344.000000,69.000000,22684.000000
Arizona,2011,1,207.000000,118.000000,14.000000,1.596670,411.000000,70.000000,25741.000000
Arizona,2011,2,280.000000,165.000000,25.000000,1.711460,447.000000,67.000000,26118.000000
Arizona,2011,3,313.000000,168.000000,26.000000,2.387730,604.000000,68.000000,25296.000000
Arizona,2011,4,328.000000,166.000000,39.000000,2.335060,756.000000,68.000000,32376.000000
Arizona,2011,5,336.000000,162.000000,29.000000,2.437980,682.000000,71.000000,27974.000000
Arizona,2011,6,334.000000,157.000000,45.000000,2.776270,769.000000,71.000000,27699.000000
Arizona,2011,7,347.000000,176.000000,43.000000,2.633560,770.000000,70.000000,29238.000000
Arizona,2011,8,277.000000,123.000000,30.000000,2.286080,681.000000,68.000000,29789.000000
Arizona,2011,9,219.000000,69.000000,18.000000,1.712110,454.000000,66.000000,26517.000000
Arizona,2011,10,188.000000,55.000000,15.000000,1.700640,443.000000,66.000000,26049.000000
Arizona,2011,11,140.000000,25.000000,9.000000,1.328190,310.000000,64.000000,23340.000000
Arizona,2011,12,121.000000,3.000000,4.000000,0.996642,276.000000,65.000000,27693.000000
Arizona,2011,13,110.000000,20.000000,5.000000,1.113160,272.000000,64.000000,24435.000000
Arizona,2011,14,87.000000,5.000000,5.000000,0.997526,246.000000,65.000000,24661.000000
Arizona,2011,15,79.000000,3.000000,2.000000,0.895053,222.000000,66.000000,24803.000000
Arizona,2011,16,67.000000,0.000000,0.000000,1.090280,257.000000,57.000000,23572.000000
