REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
California,2010,40,183.000000,5.000000,1.000000,1.954120,632.000000,112.000000,32342.000000
California,2010,41,163.000000,0.000000,2.000000,2.152660,742.000000,122.000000,34469.000000
California,2010,42,174.000000,2.000000,3.000000,2.241730,766.000000,126.000000,34170.000000
California,2010,43,168.000000,3.000000,0.000000,1.917480,666.000000,130.000000,34733.000000
California,2010,44,229.000000,3.000000,4.000000,2.523260,887.000000,131.000000,35153.000000
California,2010,45,213.000000,2.000000,5.000000,2.745620,906.000000,126.000000,32998.000000
California,2010,46,275.000000,2.000000,11.000000,2.819630,1020.000000,131.000000,36175.000000
California,2010,47,223.000000,1.000000,5.000000,3.161320,729.000000,134.000000,23060.000000
California,2010,48,327.000000,3.000000,13.000000,2.606310,939.000000,135.000000,36028.000000
California,2010,49,324.000000,7.000000,11.000000,3.056130,1072.000000,135.000000,35077.000000
California,2010,50,321.000000,7.000000,10.000000,3.659800,1170.000000,128.000000,31969.000000
California,2010,51,307.000000,13.000000,21.000000,4.620770,1057.000000,127.000000,22875.000000
California,2010,52,343.000000,19.000000,16.000000,4.689500,916.000000,125.000000,19533.000000
California,2011,1,324.000000,22.000000,13.000000,3.562130,1190.000000,129.000000,33407.000000
California,2011,2,330.000000,49.000000,20.000000,3.793250,1354.000000,132.000000,35695.000000
California,2011,3,309.000000,32.000000,16.000000,4.026890,1324.000000,130.000000,32879.000000
California,2011,4,378.000000,66.000000,32.000000,4.605010,1768.000000,132.000000,38393.000000
California,2011,5,403.000000,67.000000,42.000000,4.339830,1747.000000,133.000000,40255.000000
California,2011,6,441.000000,73.000000,31.000000,4.887110,1987.000000,138.000000,40658.000000
California,2011,7,510.000000,106.000000,39.000000,5.071620,2036.000000,136.000000,40145.000000
California,2011,8,412.000000,73.000000,25.000000,5.174020,1775.000000,134.000000,34306.000000
California,2011,9,437.000000,72.000000,20.000000,5.000870,2007.000000,138.000000,40133.000000
California,2011,10,394.000000,68.000000,15.000000,4.694470,1853.000000,136.000000,39472.000000
California,2011,11,344.000000,45.000000,12.000000,4.437900,1598.000000,134.000000,36008.000000
California,2011,12,245.000000,26.000000,6.000000,3.297030,1111.000000,127.000000,33697.000000
California,2011,13,278.000000,14.000000,4.000000,3.200000,1160.000000,131.000000,36250.000000
California,2011,14,256.000000,9.000000,1.000000,2.646830,927.000000,121.000000,35023.000000
California,2011,15,244.000000,7.000000,1.000000,2.571930,918.000000,120.000000,35693.000000
California,2011,16,204.000000,2.000000,2.000000,2.241990,736.000000,119.000000,32828.000000
California,2011,17,164.000000,2.000000,2.000000,2.344360,784.000000,112.000000,33442.000000
California,2011,18,145.000000,0.000000,0.000000,2.146320,734.000000,111.000000,34198.000000
California,2011,19,136.000000,0.000000,1.000000,2.052790,672.000000,110.000000,32736.000000
California,2011,20,148.000000,2.000000,0.000000,2.132850,700.000000,113.000000,32820.000000
California,2011,21,130.000000,0.000000,0.000000,2.106670,583.000000,94.000000,27674.000000
California,2011,22,106.000000,0.000000,1.000000,2.576500,581.000000,91.000000,22550.000000
California,2011,23,120.000000,0.000000,0.000000,2.264240,588.000000,87.000000,25969.000000
California,2011,24,102.000000,0.000000,0.000000,1.847620,461.000000,88.000000,24951.000000
California,2011,25,115.000000,0.000000,0.000000,1.732980,436.000000,88.000000,25159.000000
California,2011,26,79.000000,0.000000,0.000000,1.676840,426.000000,80.000000,25405.000000
California,2011,27,81.000000,0.000000,0.000000,1.687740,343.000000,82.000000,20323.000000
California,2011,28,57.000000,0.000000,0.000000,1.604320,383.000000,84.000000,23873.000000
California,2011,29,102.000000,0.000000,0.000000,1.454370,327.000000,78.000000,22484.000000
California,2011,30,50.000000,0.000000,0.000000,1.351410,303.000000,79.000000,22421.000000
California,2011,31,85.000000,2.000000,0.000000,0.553292,91.000000,74.000000,16447.000000
California,2011,32,60.000000,1.000000,0.000000,1.356880,295.000000,80.000000,21741.000000
California,2011,33,80.000000,1.000000,0.000000,1.163700,284.000000,82.000000,24405.000000
California,2011,34,63.000000,0.000000,0.000000,1.348330,350.000000,83.000000,25958.000000
California,2011,35,77.000000,0.000000,0.000000,1.478570,376.000000,79.000000,25430.000000
California,2011,36,73.000000,0.000000,0.000000,1.602150,322.000000,77.000000,20098.000000
California,2011,37,67.000000,0.000000,0.000000,1.748910,420.000000,76.000000,24015.000000
California,2011,38,100.000000,0.000000,0.000000,1.759940,445.000000,74.000000,25285.000000
California,2011,39,109.000000,0.000000,0.000000,1.847450,474.000000,73.000000,25657.000000
California,2011,40,183.000000,4.000000,0.000000,1.802950,568.000000,116.000000,31504.000000
California,2011,41,127.000000,5.000000,0.000000,2.065340,703.000000,122.000000,34038.000000
California,2011,42,130.000000,1.000000,1.000000,2.382940,801.000000,116.000000,33614.000000
California,2011,43,166.000000,2.000000,2.000000,2.291280,797.000000,118.000000,34784.000000
California,2011,44,181.000000,0.000000,2.000000,2.483580,866.000000,125.000000,34869.000000
California,2011,45,190.000000,2.000000,0.000000,2.174400,784.000000,127.000000,36056.000000
California,2011,46,221.000000,2.000000,1.000000,2.627400,992.000000,123.000000,37756.000000
California,2011,47,174.000000,3.000000,0.000000,2.512160,594.000000,125.000000,23645.000000
California,2011,48,211.000000,5.000000,1.000000,1.685800,511.000000,125.000000,30312.000000
California,2011,49,239.000000,10.000000,0.000000,2.703700,883.000000,128.000000,32659.000000
California,2011,50,246.000000,9.000000,0.000000,3.021350,951.000000,127.000000,31476.000000
California,2011,51,278.000000,23.000000,3.000000,3.607810,843.000000,121.000000,23366.000000
California,2011,52,265.000000,9.000000,0.000000,4.353100,718.000000,117.000000,16494.000000
California,2012,1,289.000000,17.000000,2.000000,3.505890,854.000000,122.000000,24359.000000
California,2012,2,253.000000,20.000000,0.000000,2.942980,958.000000,124.000000,32552.000000
California,2012,3,287.000000,46.000000,0.000000,2.737050,855.000000,125.000000,31238.000000
California,2012,4,312.000000,44.000000,1.000000,3.532470,1224.000000,126.000000,34650.000000
California,2012,5,296.000000,43.000000,0.000000,3.853570,1359.000000,129.000000,35266.000000
California,2012,6,343.000000,88.000000,2.000000,3.297880,1265.000000,130.000000,38358.000000
California,2012,7,416.000000,91.000000,3.000000,3.573430,1278.000000,130.000000,35764.000000
California,2012,8,361.000000,73.000000,1.000000,4.205620,1300.000000,125.000000,30911.000000
California,2012,9,449.000000,129.000000,4.000000,3.540250,1253.000000,127.000000,35393.000000
California,2012,10,384.000000,79.000000,1.000000,2.692660,812.000000,128.000000,30156.000000
California,2012,11,425.000000,94.000000,14.000000,3.124470,920.000000,128.000000,29445.000000
California,2012,12,426.000000,109.000000,10.000000,2.832050,819.000000,124.000000,28919.000000
California,2012,13,390.000000,75.000000,14.000000,3.898860,1229.000000,127.000000,31522.000000
California,2012,14,358.000000,84.000000,14.000000,2.991640,952.000000,120.000000,31822.000000
California,2012,15,300.000000,46.000000,12.000000,2.871930,927.000000,118.000000,32278.000000
California,2012,16,263.000000,43.000000,18.000000,2.151020,717.000000,116.000000,33333.000000
