REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Colorado,2010,40,126.000000,1.000000,0.000000,0.660684,134.000000,14.000000,20282.000000
Colorado,2010,41,157.000000,2.000000,0.000000,0.628621,115.000000,12.000000,18294.000000
Colorado,2010,42,153.000000,1.000000,0.000000,0.804020,152.000000,12.000000,18905.000000
Colorado,2010,43,162.000000,3.000000,0.000000,0.909658,175.000000,11.000000,19238.000000
Colorado,2010,44,163.000000,2.000000,0.000000,0.971705,193.000000,12.000000,19862.000000
Colorado,2010,45,212.000000,5.000000,0.000000,0.719015,139.000000,12.000000,19332.000000
Colorado,2010,46,154.000000,3.000000,0.000000,0.696032,137.000000,9.000000,19683.000000
Colorado,2010,47,205.000000,11.000000,0.000000,0.754401,108.000000,11.000000,14316.000000
Colorado,2010,48,196.000000,9.000000,0.000000,0.849729,168.000000,11.000000,19771.000000
Colorado,2010,49,245.000000,13.000000,0.000000,0.809504,154.000000,12.000000,19024.000000
Colorado,2010,50,259.000000,21.000000,2.000000,0.901601,174.000000,13.000000,19299.000000
Colorado,2010,51,261.000000,34.000000,3.000000,0.833503,123.000000,12.000000,14757.000000
Colorado,2010,52,295.000000,55.000000,4.000000,1.060090,160.000000,10.000000,15093.000000
Colorado,2011,1,338.000000,49.000000,4.000000,0.919508,199.000000,12.000000,21642.000000
Colorado,2011,2,333.000000,41.000000,5.000000,1.014110,202.000000,12.000000,19919.000000
Colorado,2011,3,321.000000,42.000000,5.000000,1.140980,236.000000,12.000000,20684.000000
Colorado,2011,4,438.000000,63.000000,14.000000,1.888110,406.000000,12.000000,21503.000000
Colorado,2011,5,481.000000,81.000000,27.000000,2.520490,486.000000,11.000000,19282.000000
Colorado,2011,6,499.000000,56.000000,46.000000,2.637790,548.000000,12.000000,20775.000000
Colorado,2011,7,655.000000,86.000000,71.000000,2.927750,654.000000,12.000000,22338.000000
Colorado,2011,8,645.000000,59.000000,69.000000,2.856250,637.000000,12.000000,22302.000000
Colorado,2011,9,583.000000,31.000000,54.000000,2.677840,591.000000,12.000000,22070.000000
Colorado,2011,10,488.000000,26.000000,31.000000,2.104230,451.000000,12.000000,21433.000000
Colorado,2011,11,458.000000,19.000000,32.000000,1.784310,387.000000,12.000000,21689.000000
Colorado,2011,12,357.000000,19.000000,14.000000,1.377310,289.000000,12.000000,20983.000000
Colorado,2011,13,330.000000,12.000000,9.000000,0.984413,192.000000,11.000000,19504.000000
Colorado,2011,14,273.000000,6.000000,5.000000,0.896684,182.000000,12.000000,20297.000000
Colorado,2011,15,237.000000,4.000000,4.000000,0.814396,167.000000,12.000000,20506.000000
Colorado,2011,16,243.000000,2.000000,1.000000,0.764121,153.000000,12.000000,20023.000000
Colorado,2011,17,144.000000,0.000000,0.000000,0.909698,177.000000,11.000000,19457.000000
Colorado,2011,18,209.000000,0.000000,0.000000,0.759519,151.000000,12.000000,19881.000000
Colorado,2011,19,161.000000,3.000000,0.000000,0.604343,113.000000,12.000000,18698.000000
Colorado,2011,20,193.000000,3.000000,1.000000,0.627459,118.000000,12.000000,18806.000000
Colorado,2011,21,141.000000,0.000000,0.000000,0.593220,112.000000,12.000000,18880.000000
Colorado,2011,22,153.000000,2.000000,0.000000,0.551240,88.000000,12.000000,15964.000000
Colorado,2011,23,139.000000,0.000000,0.000000,0.433862,84.000000,12.000000,19361.000000
Colorado,2011,24,142.000000,0.000000,0.000000,0.372321,70.000000,12.000000,18801.000000
Colorado,2011,25,101.000000,0.000000,0.000000,0.310244,55.000000,11.000000,17728.000000
Colorado,2011,26,89.000000,0.000000,0.000000,0.250892,45.000000,11.000000,17936.000000
Colorado,2011,27,68.000000,0.000000,0.000000,0.422777,64.000000,12.000000,15138.000000
Colorado,2011,28,75.000000,0.000000,0.000000,0.308880,56.000000,11.000000,18130.000000
Colorado,2011,29,71.000000,0.000000,0.000000,0.406306,75.000000,10.000000,18459.000000
Colorado,2011,30,55.000000,0.000000,0.000000,0.368984,70.000000,9.000000,18971.000000
Colorado,2011,31,73.000000,0.000000,0.000000,0.479629,93.000000,11.000000,19390.000000
Colorado,2011,32,73.000000,0.000000,0.000000,0.351199,69.000000,12.000000,19647.000000
Colorado,2011,33,83.000000,0.000000,0.000000,0.392137,77.000000,12.000000,19636.000000
Colorado,2011,34,90.000000,0.000000,0.000000,0.401420,78.000000,12.000000,19431.000000
Colorado,2011,35,100.000000,0.000000,0.000000,0.615878,119.000000,12.000000,19322.000000
Colorado,2011,36,93.000000,0.000000,0.000000,0.642398,99.000000,12.000000,15411.000000
Colorado,2011,37,100.000000,0.000000,0.000000,0.644817,121.000000,12.000000,18765.000000
Colorado,2011,38,120.000000,0.000000,0.000000,0.727571,124.000000,10.000000,17043.000000
Colorado,2011,39,130.000000,1.000000,0.000000,0.751578,131.000000,9.000000,17430.000000
Colorado,2011,40,159.000000,0.000000,0.000000,0.744344,153.000000,11.000000,20555.000000
Colorado,2011,41,167.000000,0.000000,0.000000,0.567713,117.000000,10.000000,20609.000000
Colorado,2011,42,161.000000,1.000000,0.000000,0.572413,123.000000,11.000000,21488.000000
Colorado,2011,43,145.000000,2.000000,0.000000,0.631621,127.000000,11.000000,20107.000000
Colorado,2011,44,179.000000,0.000000,0.000000,0.581424,116.000000,10.000000,19951.000000
Colorado,2011,45,212.000000,8.000000,0.000000,0.512845,108.000000,11.000000,21059.000000
Colorado,2011,46,197.000000,4.000000,0.000000,0.703834,152.000000,9.000000,21596.000000
Colorado,2011,47,197.000000,12.000000,0.000000,0.513353,84.000000,11.000000,16363.000000
Colorado,2011,48,216.000000,6.000000,0.000000,0.681719,141.000000,11.000000,20683.000000
Colorado,2011,49,236.000000,20.000000,0.000000,0.691814,137.000000,11.000000,19803.000000
Colorado,2011,50,253.000000,31.000000,1.000000,0.695644,141.000000,11.000000,20269.000000
Colorado,2011,51,270.000000,42.000000,0.000000,0.686738,125.000000,11.000000,18202.000000
Colorado,2011,52,247.000000,31.000000,0.000000,0.739672,123.000000,9.000000,16629.000000
Colorado,2012,1,293.000000,33.000000,0.000000,0.652822,127.000000,10.000000,19454.000000
Colorado,2012,2,263.000000,32.000000,0.000000,0.712891,157.000000,11.000000,22023.000000
Colorado,2012,3,266.000000,48.000000,0.000000,0.727438,160.000000,11.000000,21995.000000
Colorado,2012,4,329.000000,47.000000,0.000000,1.026990,231.000000,11.000000,22493.000000
Colorado,2012,5,390.000000,57.000000,0.000000,1.004530,213.000000,10.000000,21204.000000
Colorado,2012,6,316.000000,46.000000,0.000000,1.059440,239.000000,11.000000,22559.000000
Colorado,2012,7,397.000000,54.000000,0.000000,1.052630,243.000000,11.000000,23085.000000
Colorado,2012,8,452.000000,72.000000,0.000000,1.363950,316.000000,11.000000,23168.000000
Colorado,2012,9,455.000000,68.000000,0.000000,1.438580,343.000000,11.000000,23843.000000
Colorado,2012,10,452.000000,57.000000,0.000000,1.370620,321.000000,10.000000,23420.000000
Colorado,2012,11,401.000000,58.000000,0.000000,1.478070,340.000000,10.000000,23003.000000
Colorado,2012,12,351.000000,44.000000,0.000000,1.190680,274.000000,11.000000,23012.000000
Colorado,2012,13,290.000000,30.000000,1.000000,0.864606,188.000000,10.000000,21744.000000
Colorado,2012,14,261.000000,25.000000,1.000000,0.923766,194.000000,11.000000,21001.000000
Colorado,2012,15,229.000000,23.000000,2.000000,0.733014,156.000000,10.000000,21282.000000
Colorado,2012,16,229.000000,9.000000,2.000000,0.598441,129.000000,11.000000,21556.000000
Colorado,2012,17,167.000000,6.000000,1.000000,0.631349,133.000000,11.000000,21066.000000
Colorado,2012,18,144.000000,4.000000,0.000000,0.598802,125.000000,11.000000,20875.000000
Colorado,2012,19,126.000000,1.000000,2.000000,0.486080,99.000000,11.000000,20367.000000
Colorado,2012,20,122.000000,3.000000,2.000000,0.624700,130.000000,11.000000,20810.000000
Colorado,2012,21,111.000000,0.000000,1.000000,0.372593,77.000000,11.000000,20666.000000
Colorado,2012,22,93.000000,0.000000,1.000000,0.475391,85.000000,11.000000,17880.000000
Colorado,2012,23,112.000000,0.000000,0.000000,0.428474,88.000000,11.000000,20538.000000
Colorado,2012,24,106.000000,2.000000,1.000000,0.382495,77.000000,11.000000,20131.000000
Colorado,2012,25,96.000000,0.000000,0.000000,0.395820,75.000000,9.000000,18948.000000
Colorado,2012,26,85.000000,0.000000,0.000000,0.318319,60.000000,9.000000,18849.000000
Colorado,2012,27,76.000000,0.000000,0.000000,0.329042,57.000000,11.000000,17323.000000
Colorado,2012,28,90.000000,2.000000,0.000000,0.344321,68.000000,11.000000,19749.000000
Colorado,2012,29,84.000000,0.000000,0.000000,0.342296,69.000000,9.000000,20158.000000
Colorado,2012,30,105.000000,0.000000,0.000000,0.362629,72.000000,9.000000,19855.000000
Colorado,2012,31,94.000000,0.000000,0.000000,0.283640,59.000000,10.000000,20801.000000
Colorado,2012,32,86.000000,0.000000,0.000000,0.295435,62.000000,11.000000,20986.000000
Colorado,2012,33,83.000000,1.000000,1.000000,0.334806,72.000000,11.000000,21505.000000
Colorado,2012,34,93.000000,1.000000,0.000000,0.447606,95.000000,11.000000,21224.000000
Colorado,2012,35,74.000000,0.000000,0.000000,0.508083,110.000000,10.000000,21650.000000
Colorado,2012,36,99.000000,0.000000,0.000000,0.509824,89.000000,11.000000,17457.000000
Colorado,2012,37,141.000000,0.000000,2.000000,0.465295,97.000000,10.000000,20847.000000
Colorado,2012,38,143.000000,3.000000,1.000000,0.472835,102.000000,11.000000,21572.000000
Colorado,2012,39,160.000000,0.000000,0.000000,0.627645,132.000000,10.000000,21031.000000
Colorado,2012,40,129.000000,0.000000,0.000000,0.503232,102.000000,11.000000,20269.000000
Colorado,2012,41,195.000000,2.000000,0.000000,0.555582,115.000000,11.000000,20699.000000
Colorado,2012,42,161.000000,0.000000,4.000000,0.465602,98.000000,11.000000,21048.000000
Colorado,2012,43,191.000000,0.000000,6.000000,0.490101,101.000000,11.000000,20608.000000
Colorado,2012,44,208.000000,2.000000,16.000000,0.595010,124.000000,10.000000,20840.000000
Colorado,2012,45,262.000000,8.000000,21.000000,0.633262,137.000000,10.000000,21634.000000
Colorado,2012,46,249.000000,2.000000,23.000000,0.748448,164.000000,11.000000,21912.000000
Colorado,2012,47,282.000000,5.000000,32.000000,0.887360,147.000000,10.000000,16566.000000
Colorado,2012,48,322.000000,7.000000,38.000000,1.015630,230.000000,11.000000,22646.000000
Colorado,2012,49,449.000000,16.000000,73.000000,1.413830,300.000000,11.000000,21219.000000
Colorado,2012,50,531.000000,27.000000,87.000000,1.862060,402.000000,10.000000,21589.000000
Colorado,2012,51,612.000000,49.000000,93.000000,2.632950,556.000000,10.000000,21117.000000
Colorado,2012,52,639.000000,74.000000,82.000000,2.998700,483.000000,11.000000,16107.000000
Colorado,2013,1,918.000000,128.000000,86.000000,2.654440,492.000000,10.000000,18535.000000
Colorado,2013,2,881.000000,130.000000,54.000000,2.971670,705.000000,11.000000,23724.000000
Colorado,2013,3,900.000000,168.000000,64.000000,3.879650,891.000000,11.000000,22966.000000
Colorado,2013,4,909.000000,167.000000,39.000000,3.326890,757.000000,11.000000,22754.000000
Colorado,2013,5,802.000000,115.000000,28.000000,2.904370,687.000000,9.000000,23654.000000
Colorado,2013,6,776.000000,105.000000,26.000000,2.540590,593.000000,10.000000,23341.000000
Colorado,2013,7,755.000000,100.000000,36.000000,1.900760,434.000000,11.000000,22833.000000
Colorado,2013,8,610.000000,57.000000,20.000000,1.731830,396.000000,11.000000,22866.000000
Colorado,2013,9,466.000000,36.000000,16.000000,1.446170,331.000000,11.000000,22888.000000
Colorado,2013,10,417.000000,45.000000,13.000000,1.117220,262.000000,11.000000,23451.000000
Colorado,2013,11,392.000000,29.000000,9.000000,1.029910,229.000000,11.000000,22235.000000
Colorado,2013,12,316.000000,26.000000,5.000000,0.697425,156.000000,11.000000,22368.000000
Colorado,2013,13,272.000000,6.000000,7.000000,0.701403,147.000000,10.000000,20958.000000
Colorado,2013,14,226.000000,4.000000,5.000000,0.643600,133.000000,10.000000,20665.000000
Colorado,2013,15,169.000000,7.000000,2.000000,0.541377,112.000000,11.000000,20688.000000
Colorado,2013,16,181.000000,6.000000,2.000000,0.562016,116.000000,11.000000,20640.000000
Colorado,2013,17,175.000000,1.000000,1.000000,0.567389,122.000000,11.000000,21502.000000
Colorado,2013,18,158.000000,2.000000,1.000000,0.590158,130.000000,11.000000,22028.000000
Colorado,2013,19,140.000000,2.000000,0.000000,0.583766,126.000000,11.000000,21584.000000
Colorado,2013,20,136.000000,1.000000,3.000000,0.473520,103.000000,10.000000,21752.000000
Colorado,2013,21,140.000000,0.000000,3.000000,0.488355,104.000000,11.000000,21296.000000
Colorado,2013,22,107.000000,1.000000,0.000000,0.425671,78.000000,11.000000,18324.000000
Colorado,2013,23,127.000000,0.000000,0.000000,0.365385,76.000000,11.000000,20800.000000
Colorado,2013,24,93.000000,1.000000,0.000000,0.478446,98.000000,11.000000,20483.000000
Colorado,2013,25,103.000000,0.000000,0.000000,0.330897,67.000000,10.000000,20248.000000
Colorado,2013,26,110.000000,0.000000,0.000000,0.406032,84.000000,10.000000,20688.000000
Colorado,2013,27,80.000000,0.000000,0.000000,0.344598,57.000000,11.000000,16541.000000
Colorado,2013,28,84.000000,1.000000,0.000000,0.386941,80.000000,11.000000,20675.000000
Colorado,2013,29,83.000000,1.000000,0.000000,0.353756,72.000000,10.000000,20353.000000
Colorado,2013,30,71.000000,1.000000,0.000000,0.469275,95.000000,9.000000,20244.000000
Colorado,2013,31,74.000000,0.000000,0.000000,0.362609,77.000000,10.000000,21235.000000
Colorado,2013,32,83.000000,2.000000,1.000000,0.493225,91.000000,8.000000,18450.000000
Colorado,2013,33,94.000000,0.000000,0.000000,0.448604,93.000000,11.000000,20731.000000
Colorado,2013,34,114.000000,0.000000,0.000000,0.458630,98.000000,11.000000,21368.000000
Colorado,2013,35,114.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Colorado,2013,36,112.000000,1.000000,0.000000,0.739927,128.000000,11.000000,17299.000000
Colorado,2013,37,155.000000,1.000000,0.000000,0.623053,124.000000,10.000000,19902.000000
Colorado,2013,38,145.000000,0.000000,0.000000,0.606296,125.000000,10.000000,20617.000000
Colorado,2013,39,133.000000,3.000000,0.000000,0.584323,123.000000,9.000000,21050.000000
Colorado,2013,40,197.000000,2.000000,0.000000,0.652244,142.000000,9.000000,21771.000000
Colorado,2013,41,223.000000,0.000000,1.000000,0.618727,135.000000,11.000000,21819.000000
Colorado,2013,42,221.000000,2.000000,2.000000,0.513635,110.000000,10.000000,21416.000000
Colorado,2013,43,221.000000,2.000000,0.000000,0.767780,171.000000,10.000000,22272.000000
Colorado,2013,44,231.000000,11.000000,0.000000,0.547727,117.000000,10.000000,21361.000000
Colorado,2013,45,236.000000,16.000000,2.000000,0.679462,154.000000,10.000000,22665.000000
