REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Florida,2010,40,,0.000000,,,,,
Florida,2010,41,,0.000000,,,,,
Florida,2010,42,,0.000000,,,,,
Florida,2010,43,,0.000000,,,,,
Florida,2010,44,,0.000000,,,,,
Florida,2010,45,,0.000000,,,,,
Florida,2010,46,,0.000000,,,,,
Florida,2010,47,,0.000000,,,,,
Florida,2010,48,,0.000000,,,,,
Florida,2010,49,,0.000000,,,,,
Florida,2010,50,,0.000000,,,,,
Florida,2010,51,,0.000000,,,,,
Florida,2010,52,,0.000000,,,,,
Florida,2011,1,,0.000000,,,,,
Florida,2011,2,,0.000000,,,,,
Florida,2011,3,,0.000000,,,,,
Florida,2011,4,,0.000000,,,,,
Florida,2011,5,,0.000000,,,,,
Florida,2011,6,,0.000000,,,,,
Florida,2011,7,,0.000000,,,,,
Florida,2011,8,,0.000000,,,,,
Florida,2011,9,,0.000000,,,,,
Florida,2011,10,,0.000000,,,,,
Florida,2011,11,,0.000000,,,,,
Florida,2011,12,,0.000000,,,,,
Florida,2011,13,,0.000000,,,,,
Florida,2011,14,,0.000000,,,,,
Florida,2011,15,,0.000000,,,,,
Florida,2011,16,,0.000000,,,,,
Florida,2011,17,,0.000000,,,,,
Florida,2011,18,,0.000000,,,,,
Florida,2011,19,,0.000000,,,,,
Florida,2011,20,,0.000000,,,,,
Florida,2011,21,,0.000000,,,,,
Florida,2011,22,,0.000000,,,,,
Florida,2011,23,,0.000000,,,,,
Florida,2011,24,,0.000000,,,,,
Florida,2011,25,,0.000000,,,,,
Florida,2011,26,,0.000000,,,,,
Florida,2011,27,,0.000000,,,,,
Florida,2011,28,,0.000000,,,,,
Florida,2011,29,,0.000000,,,,,
Florida,2011,30,,0.000000,,,,,
Florida,2011,31,,0.000000,,,,,
Florida,2011,32,,0.000000,,,,,
Florida,2011,33,,0.000000,,,,,
Florida,2011,34,,0.000000,,,,,
Florida,2011,35,,0.000000,,,,,
Florida,2011,36,,0.000000,,,,,
Florida,2011,37,,0.000000,,,,,
Florida,2011,38,,0.000000,,,,,
Florida,2011,39,,0.000000,,,,,
Florida,2011,40,,0.000000,,,,,
Florida,2011,41,,0.000000,,,,,
Florida,2011,42,,0.000000,,,,,
Florida,2011,43,,0.000000,,,,,
Florida,2011,44,,0.000000,,,,,
Florida,2011,45,,0.000000,,,,,
Florida,2011,46,,0.000000,,,,,
Florida,2011,47,,0.000000,,,,,
Florida,2011,48,,0.000000,,,,,
Florida,2011,49,,0.000000,,,,,
Florida,2011,50,,0.000000,,,,,
Florida,2011,51,,0.000000,,,,,
Florida,2011,52,,0.000000,,,,,
