REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Iowa,2010,40,46.000000,0.000000,0.000000,0.563063,10.000000,6.000000,1776.000000
Iowa,2010,41,46.000000,0.000000,0.000000,0.860956,20.000000,7.000000,2323.000000
Iowa,2010,42,42.000000,0.000000,0.000000,0.407000,10.000000,8.000000,2457.000000
Iowa,2010,43,47.000000,1.000000,0.000000,0.183225,9.000000,10.000000,4912.000000
Iowa,2010,44,64.000000,0.000000,1.000000,0.358780,18.000000,10.000000,5017.000000
Iowa,2010,45,73.000000,0.000000,0.000000,0.418660,21.000000,10.000000,5016.000000
Iowa,2010,46,60.000000,0.000000,0.000000,0.484206,21.000000,9.000000,4337.000000
Iowa,2010,47,43.000000,0.000000,1.000000,0.533689,8.000000,8.000000,1499.000000
Iowa,2010,48,75.000000,2.000000,2.000000,0.827498,26.000000,10.000000,3142.000000
Iowa,2010,49,82.000000,2.000000,1.000000,0.954329,28.000000,10.000000,2934.000000
Iowa,2010,50,82.000000,13.000000,6.000000,1.498540,41.000000,10.000000,2736.000000
Iowa,2010,51,79.000000,19.000000,3.000000,2.072540,44.000000,10.000000,2123.000000
Iowa,2010,52,87.000000,22.000000,5.000000,1.456060,28.000000,10.000000,1923.000000
Iowa,2011,1,79.000000,24.000000,8.000000,0.579065,13.000000,9.000000,2245.000000
Iowa,2011,2,134.000000,52.000000,19.000000,0.459117,21.000000,10.000000,4574.000000
Iowa,2011,3,160.000000,44.000000,35.000000,1.006630,44.000000,10.000000,4371.000000
Iowa,2011,4,245.000000,99.000000,55.000000,2.190410,101.000000,10.000000,4611.000000
Iowa,2011,5,248.000000,95.000000,46.000000,2.613370,102.000000,9.000000,3903.000000
Iowa,2011,6,203.000000,74.000000,33.000000,1.728550,81.000000,8.000000,4686.000000
Iowa,2011,7,215.000000,78.000000,50.000000,2.192980,105.000000,9.000000,4788.000000
Iowa,2011,8,192.000000,53.000000,28.000000,2.210290,107.000000,9.000000,4841.000000
Iowa,2011,9,137.000000,46.000000,26.000000,2.183310,101.000000,9.000000,4626.000000
