REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Indiana,2010,40,88.000000,0.000000,0.000000,0.518962,65.000000,44.000000,12525.000000
Indiana,2010,41,97.000000,0.000000,0.000000,0.653137,84.000000,45.000000,12861.000000
Indiana,2010,42,87.000000,0.000000,0.000000,0.584346,76.000000,45.000000,13006.000000
Indiana,2010,43,96.000000,0.000000,0.000000,0.581084,76.000000,45.000000,13079.000000
Indiana,2010,44,89.000000,0.000000,0.000000,0.842254,107.000000,42.000000,12704.000000
Indiana,2010,45,99.000000,0.000000,0.000000,0.752055,97.000000,43.000000,12898.000000
Indiana,2010,46,89.000000,0.000000,0.000000,0.820837,104.000000,42.000000,12670.000000
Indiana,2010,47,84.000000,0.000000,0.000000,0.795053,72.000000,44.000000,9056.000000
Indiana,2010,48,114.000000,0.000000,3.000000,0.887189,109.000000,43.000000,12286.000000
Indiana,2010,49,108.000000,2.000000,3.000000,0.949958,112.000000,42.000000,11790.000000
Indiana,2010,50,98.000000,11.000000,5.000000,0.964187,98.000000,41.000000,10164.000000
Indiana,2010,51,110.000000,19.000000,10.000000,1.362950,100.000000,41.000000,7337.000000
Indiana,2010,52,167.000000,48.000000,34.000000,1.732700,136.000000,41.000000,7849.000000
Indiana,2011,1,207.000000,73.000000,28.000000,1.751820,168.000000,41.000000,9590.000000
Indiana,2011,2,272.000000,84.000000,36.000000,2.403760,256.000000,41.000000,10650.000000
Indiana,2011,3,311.000000,109.000000,47.000000,4.388230,510.000000,41.000000,11622.000000
Indiana,2011,4,324.000000,99.000000,75.000000,6.904470,902.000000,40.000000,13064.000000
Indiana,2011,5,233.000000,37.000000,58.000000,6.771600,826.000000,42.000000,12198.000000
Indiana,2011,6,292.000000,55.000000,45.000000,6.072110,832.000000,41.000000,13702.000000
Indiana,2011,7,237.000000,35.000000,42.000000,5.975220,844.000000,43.000000,14125.000000
Indiana,2011,8,254.000000,32.000000,26.000000,5.023450,664.000000,42.000000,13218.000000
Indiana,2011,9,223.000000,16.000000,21.000000,3.808170,509.000000,43.000000,13366.000000
Indiana,2011,10,202.000000,15.000000,9.000000,2.727490,342.000000,41.000000,12539.000000
Indiana,2011,11,162.000000,7.000000,4.000000,2.050070,235.000000,41.000000,11463.000000
Indiana,2011,12,165.000000,1.000000,3.000000,1.665130,217.000000,42.000000,13032.000000
Indiana,2011,13,117.000000,2.000000,2.000000,0.984447,119.000000,41.000000,12088.000000
Indiana,2011,14,128.000000,1.000000,0.000000,0.922334,107.000000,40.000000,11601.000000
Indiana,2011,15,116.000000,0.000000,0.000000,0.581147,68.000000,40.000000,11701.000000
Indiana,2011,16,106.000000,0.000000,0.000000,0.474655,53.000000,40.000000,11166.000000
Indiana,2011,17,93.000000,0.000000,0.000000,0.513118,53.000000,37.000000,10329.000000
Indiana,2011,18,75.000000,0.000000,0.000000,0.443973,46.000000,38.000000,10361.000000
Indiana,2011,19,92.000000,0.000000,0.000000,0.683028,59.000000,34.000000,8638.000000
Indiana,2011,20,97.000000,0.000000,0.000000,0.520077,43.000000,34.000000,8268.000000
Indiana,2011,21,79.000000,0.000000,0.000000,0.458475,35.000000,32.000000,7634.000000
Indiana,2011,22,79.000000,0.000000,0.000000,0.721805,48.000000,31.000000,6650.000000
Indiana,2011,23,73.000000,0.000000,0.000000,0.432961,31.000000,31.000000,7160.000000
Indiana,2011,24,67.000000,0.000000,0.000000,0.441631,30.000000,31.000000,6793.000000
Indiana,2011,25,68.000000,0.000000,0.000000,0.310973,21.000000,32.000000,6753.000000
Indiana,2011,26,65.000000,0.000000,0.000000,0.517443,31.000000,31.000000,5991.000000
Indiana,2011,27,49.000000,0.000000,0.000000,0.447120,26.000000,32.000000,5815.000000
Indiana,2011,28,49.000000,0.000000,0.000000,0.235651,14.000000,29.000000,5941.000000
Indiana,2011,29,42.000000,0.000000,0.000000,0.298039,19.000000,31.000000,6375.000000
Indiana,2011,30,42.000000,0.000000,0.000000,0.280987,18.000000,30.000000,6406.000000
Indiana,2011,31,53.000000,0.000000,0.000000,0.212379,14.000000,30.000000,6592.000000
Indiana,2011,32,58.000000,0.000000,0.000000,0.192864,12.000000,28.000000,6222.000000
Indiana,2011,33,84.000000,0.000000,1.000000,0.240215,17.000000,32.000000,7077.000000
Indiana,2011,34,65.000000,0.000000,2.000000,0.337634,28.000000,32.000000,8293.000000
Indiana,2011,35,62.000000,1.000000,0.000000,0.327392,27.000000,31.000000,8247.000000
Indiana,2011,36,70.000000,0.000000,0.000000,0.464989,34.000000,30.000000,7312.000000
Indiana,2011,37,60.000000,0.000000,0.000000,0.382742,33.000000,32.000000,8622.000000
Indiana,2011,38,109.000000,0.000000,0.000000,0.654159,53.000000,30.000000,8102.000000
Indiana,2011,39,98.000000,0.000000,0.000000,0.850359,77.000000,34.000000,9055.000000
Indiana,2011,40,30.000000,1.000000,0.000000,0.835991,97.000000,44.000000,11603.000000
Indiana,2011,41,35.000000,0.000000,0.000000,1.131200,132.000000,44.000000,11669.000000
Indiana,2011,42,30.000000,0.000000,0.000000,1.213140,130.000000,43.000000,10716.000000
Indiana,2011,43,39.000000,0.000000,0.000000,1.061630,118.000000,43.000000,11115.000000
