REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Kansas,2010,40,,0.000000,,0.442227,39.000000,40.000000,8819.000000
Kansas,2010,41,10.000000,0.000000,0.000000,0.577490,49.000000,40.000000,8485.000000
Kansas,2010,42,10.000000,1.000000,0.000000,0.479750,43.000000,41.000000,8963.000000
Kansas,2010,43,11.000000,0.000000,0.000000,0.538071,53.000000,43.000000,9850.000000
Kansas,2010,44,14.000000,1.000000,0.000000,0.481289,49.000000,43.000000,10181.000000
Kansas,2010,45,17.000000,0.000000,0.000000,0.724993,74.000000,43.000000,10207.000000
Kansas,2010,46,13.000000,0.000000,0.000000,0.595801,63.000000,44.000000,10574.000000
Kansas,2010,47,11.000000,0.000000,0.000000,0.890511,61.000000,43.000000,6850.000000
Kansas,2010,48,14.000000,1.000000,0.000000,0.719424,66.000000,42.000000,9174.000000
Kansas,2010,49,,0.000000,,0.828437,86.000000,43.000000,10381.000000
Kansas,2010,50,13.000000,3.000000,0.000000,0.862600,84.000000,41.000000,9738.000000
Kansas,2010,51,17.000000,5.000000,0.000000,0.968867,75.000000,42.000000,7741.000000
Kansas,2010,52,14.000000,7.000000,0.000000,1.364560,81.000000,38.000000,5936.000000
Kansas,2011,1,17.000000,7.000000,0.000000,1.057920,101.000000,43.000000,9547.000000
Kansas,2011,2,27.000000,11.000000,6.000000,1.061970,79.000000,41.000000,7439.000000
Kansas,2011,3,27.000000,17.000000,2.000000,1.602950,148.000000,43.000000,9233.000000
Kansas,2011,4,22.000000,13.000000,3.000000,2.845690,291.000000,42.000000,10226.000000
Kansas,2011,5,21.000000,15.000000,5.000000,3.314020,286.000000,42.000000,8630.000000
Kansas,2011,6,37.000000,22.000000,8.000000,3.195280,341.000000,42.000000,10672.000000
Kansas,2011,7,32.000000,25.000000,5.000000,3.722460,397.000000,42.000000,10665.000000
Kansas,2011,8,34.000000,17.000000,6.000000,3.395970,403.000000,42.000000,11867.000000
Kansas,2011,9,22.000000,13.000000,3.000000,3.086960,350.000000,42.000000,11338.000000
Kansas,2011,10,22.000000,10.000000,4.000000,2.504170,255.000000,42.000000,10183.000000
Kansas,2011,11,17.000000,8.000000,5.000000,1.769170,147.000000,38.000000,8309.000000
Kansas,2011,12,,0.000000,,1.558690,96.000000,36.000000,6159.000000
Kansas,2011,13,,0.000000,,1.133110,83.000000,36.000000,7325.000000
Kansas,2011,14,,0.000000,,0.892174,70.000000,38.000000,7846.000000
Kansas,2011,15,,0.000000,,0.616165,51.000000,36.000000,8277.000000
Kansas,2011,16,,0.000000,,0.562141,46.000000,38.000000,8183.000000
Kansas,2011,17,,0.000000,,0.688073,48.000000,34.000000,6976.000000
Kansas,2011,18,,0.000000,,0.476900,32.000000,33.000000,6710.000000
Kansas,2011,19,,0.000000,,0.424309,31.000000,33.000000,7306.000000
Kansas,2011,20,,0.000000,,0.638298,39.000000,32.000000,6110.000000
Kansas,2011,21,,0.000000,,0.667022,25.000000,21.000000,3748.000000
