REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Kentucky,2010,40,48.000000,1.000000,0.000000,0.142932,19.000000,14.000000,13293.000000
Kentucky,2010,41,51.000000,2.000000,0.000000,0.223975,23.000000,14.000000,10269.000000
Kentucky,2010,42,52.000000,0.000000,0.000000,0.156152,25.000000,14.000000,16010.000000
Kentucky,2010,43,48.000000,0.000000,0.000000,0.150108,27.000000,15.000000,17987.000000
Kentucky,2010,44,49.000000,2.000000,0.000000,0.289678,38.000000,15.000000,13118.000000
Kentucky,2010,45,45.000000,4.000000,0.000000,0.222995,34.000000,15.000000,15247.000000
Kentucky,2010,46,45.000000,4.000000,0.000000,0.463210,78.000000,15.000000,16839.000000
Kentucky,2010,47,51.000000,4.000000,0.000000,0.539615,63.000000,15.000000,11675.000000
Kentucky,2010,48,20.000000,9.000000,5.000000,0.673462,111.000000,14.000000,16482.000000
Kentucky,2010,49,75.000000,18.000000,1.000000,0.598723,90.000000,15.000000,15032.000000
Kentucky,2010,50,80.000000,22.000000,10.000000,0.629651,77.000000,13.000000,12229.000000
Kentucky,2010,51,66.000000,16.000000,1.000000,1.287400,148.000000,14.000000,11496.000000
Kentucky,2010,52,56.000000,29.000000,4.000000,0.954144,134.000000,14.000000,14044.000000
Kentucky,2011,1,79.000000,31.000000,5.000000,1.270950,135.000000,15.000000,10622.000000
Kentucky,2011,2,81.000000,25.000000,4.000000,0.710557,98.000000,13.000000,13792.000000
Kentucky,2011,3,78.000000,33.000000,5.000000,1.499030,224.000000,15.000000,14943.000000
Kentucky,2011,4,94.000000,30.000000,8.000000,2.020930,365.000000,15.000000,18061.000000
Kentucky,2011,5,107.000000,25.000000,15.000000,3.202070,496.000000,16.000000,15490.000000
Kentucky,2011,6,114.000000,14.000000,11.000000,3.038820,465.000000,15.000000,15302.000000
Kentucky,2011,7,66.000000,8.000000,2.000000,2.141090,329.000000,14.000000,15366.000000
Kentucky,2011,8,74.000000,13.000000,7.000000,2.572440,459.000000,15.000000,17843.000000
Kentucky,2011,9,86.000000,8.000000,11.000000,1.783630,291.000000,14.000000,16315.000000
Kentucky,2011,10,75.000000,6.000000,7.000000,0.949242,144.000000,14.000000,15170.000000
Kentucky,2011,11,88.000000,2.000000,8.000000,0.638510,96.000000,14.000000,15035.000000
Kentucky,2011,12,38.000000,1.000000,0.000000,0.489316,79.000000,15.000000,16145.000000
Kentucky,2011,13,45.000000,0.000000,0.000000,0.700844,127.000000,15.000000,18121.000000
Kentucky,2011,14,40.000000,1.000000,0.000000,0.356102,44.000000,13.000000,12356.000000
Kentucky,2011,15,57.000000,0.000000,0.000000,0.300405,43.000000,11.000000,14314.000000
Kentucky,2011,16,54.000000,1.000000,0.000000,0.187166,28.000000,10.000000,14960.000000
Kentucky,2011,17,46.000000,0.000000,0.000000,0.183804,35.000000,11.000000,19042.000000
