REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Massachusetts,2010,40,21.000000,0.000000,0.000000,0.604621,168.000000,56.000000,27786.000000
Massachusetts,2010,41,15.000000,0.000000,0.000000,0.887866,216.000000,54.000000,24328.000000
Massachusetts,2010,42,14.000000,0.000000,0.000000,0.744806,209.000000,53.000000,28061.000000
Massachusetts,2010,43,22.000000,1.000000,0.000000,0.783721,228.000000,52.000000,29092.000000
Massachusetts,2010,44,21.000000,1.000000,0.000000,0.812421,225.000000,53.000000,27695.000000
Massachusetts,2010,45,14.000000,0.000000,0.000000,0.732931,187.000000,54.000000,25514.000000
Massachusetts,2010,46,16.000000,1.000000,0.000000,0.803486,236.000000,51.000000,29372.000000
Massachusetts,2010,47,21.000000,0.000000,0.000000,0.958095,198.000000,50.000000,20666.000000
Massachusetts,2010,48,27.000000,0.000000,0.000000,0.903185,260.000000,54.000000,28787.000000
Massachusetts,2010,49,24.000000,2.000000,0.000000,0.967490,272.000000,54.000000,28114.000000
Massachusetts,2010,50,29.000000,6.000000,0.000000,1.120050,316.000000,55.000000,28213.000000
Massachusetts,2010,51,18.000000,0.000000,0.000000,1.306490,268.000000,49.000000,20513.000000
Massachusetts,2010,52,15.000000,4.000000,0.000000,1.460100,258.000000,50.000000,17670.000000
Massachusetts,2011,1,30.000000,5.000000,0.000000,1.179140,328.000000,51.000000,27817.000000
Massachusetts,2011,2,39.000000,14.000000,0.000000,1.691670,407.000000,51.000000,24059.000000
Massachusetts,2011,3,50.000000,16.000000,0.000000,1.525580,370.000000,54.000000,24253.000000
Massachusetts,2011,4,75.000000,23.000000,1.000000,1.863850,512.000000,53.000000,27470.000000
Massachusetts,2011,5,67.000000,23.000000,0.000000,2.371270,577.000000,54.000000,24333.000000
Massachusetts,2011,6,77.000000,31.000000,1.000000,2.331420,697.000000,52.000000,29896.000000
Massachusetts,2011,7,72.000000,26.000000,3.000000,2.652150,726.000000,52.000000,27374.000000
Massachusetts,2011,8,73.000000,22.000000,7.000000,2.456280,618.000000,54.000000,25160.000000
Massachusetts,2011,9,82.000000,29.000000,8.000000,1.938070,532.000000,53.000000,27450.000000
Massachusetts,2011,10,77.000000,14.000000,5.000000,2.043450,585.000000,51.000000,28628.000000
Massachusetts,2011,11,71.000000,7.000000,5.000000,1.779700,481.000000,50.000000,27027.000000
Massachusetts,2011,12,75.000000,11.000000,4.000000,1.510780,424.000000,50.000000,28065.000000
Massachusetts,2011,13,62.000000,5.000000,12.000000,1.532400,459.000000,51.000000,29953.000000
Massachusetts,2011,14,29.000000,1.000000,7.000000,1.391260,399.000000,47.000000,28679.000000
