REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Michigan,2010,40,,0.000000,,0.671831,98.000000,47.000000,14587.000000
Michigan,2010,41,,0.000000,,0.585011,95.000000,53.000000,16239.000000
Michigan,2010,42,,0.000000,,0.524238,81.000000,50.000000,15451.000000
Michigan,2010,43,,0.000000,,0.921435,152.000000,51.000000,16496.000000
Michigan,2010,44,,0.000000,,0.863417,138.000000,51.000000,15983.000000
Michigan,2010,45,,0.000000,,0.806639,139.000000,53.000000,17232.000000
Michigan,2010,46,,0.000000,,0.655481,109.000000,49.000000,16629.000000
Michigan,2010,47,,0.000000,,0.855178,92.000000,52.000000,10758.000000
Michigan,2010,48,,0.000000,,0.564609,88.000000,49.000000,15586.000000
Michigan,2010,49,13.000000,5.000000,1.000000,0.563399,85.000000,52.000000,15087.000000
Michigan,2010,50,11.000000,3.000000,1.000000,0.755685,106.000000,52.000000,14027.000000
Michigan,2010,51,12.000000,4.000000,0.000000,0.683919,74.000000,47.000000,10820.000000
Michigan,2010,52,11.000000,8.000000,0.000000,0.899631,83.000000,48.000000,9226.000000
Michigan,2011,1,31.000000,21.000000,3.000000,0.687039,96.000000,49.000000,13973.000000
Michigan,2011,2,39.000000,24.000000,5.000000,0.833662,127.000000,51.000000,15234.000000
Michigan,2011,3,24.000000,17.000000,1.000000,1.046200,149.000000,50.000000,14242.000000
Michigan,2011,4,40.000000,25.000000,3.000000,1.590310,252.000000,49.000000,15846.000000
Michigan,2011,5,27.000000,16.000000,4.000000,1.737420,230.000000,48.000000,13238.000000
Michigan,2011,6,46.000000,30.000000,4.000000,2.277310,384.000000,52.000000,16862.000000
Michigan,2011,7,60.000000,38.000000,10.000000,2.296110,375.000000,49.000000,16332.000000
Michigan,2011,8,35.000000,21.000000,7.000000,2.710230,428.000000,51.000000,15792.000000
Michigan,2011,9,39.000000,24.000000,7.000000,2.133900,291.000000,49.000000,13637.000000
Michigan,2011,10,34.000000,16.000000,8.000000,2.183730,353.000000,48.000000,16165.000000
Michigan,2011,11,33.000000,24.000000,5.000000,1.708290,249.000000,47.000000,14576.000000
Michigan,2011,12,31.000000,16.000000,2.000000,1.311080,216.000000,49.000000,16475.000000
Michigan,2011,13,12.000000,7.000000,2.000000,1.089310,176.000000,48.000000,16157.000000
Michigan,2011,14,14.000000,10.000000,1.000000,0.834344,117.000000,46.000000,14023.000000
Michigan,2011,15,14.000000,7.000000,2.000000,0.558727,92.000000,49.000000,16466.000000
Michigan,2011,16,,0.000000,,0.640349,97.000000,47.000000,15148.000000
Michigan,2011,17,,0.000000,,0.498640,77.000000,48.000000,15442.000000
Michigan,2011,18,,0.000000,,0.556691,79.000000,44.000000,14191.000000
Michigan,2011,19,,0.000000,,0.584429,84.000000,44.000000,14373.000000
Michigan,2011,20,,0.000000,,0.840106,92.000000,39.000000,10951.000000
Michigan,2011,21,,0.000000,,0.527108,56.000000,38.000000,10624.000000
Michigan,2011,22,,0.000000,,0.542265,51.000000,38.000000,9405.000000
Michigan,2011,23,,0.000000,,0.535050,69.000000,42.000000,12896.000000
Michigan,2011,24,,0.000000,,0.551970,65.000000,40.000000,11776.000000
Michigan,2011,25,,0.000000,,0.482464,52.000000,35.000000,10778.000000
Michigan,2011,26,,0.000000,,0.616509,54.000000,33.000000,8759.000000
Michigan,2011,27,,0.000000,,0.580739,36.000000,30.000000,6199.000000
Michigan,2011,28,,0.000000,,0.431365,45.000000,36.000000,10432.000000
Michigan,2011,29,,0.000000,,0.385826,38.000000,34.000000,9849.000000
Michigan,2011,30,,0.000000,,0.299341,30.000000,34.000000,10022.000000
Michigan,2011,31,,0.000000,,0.564738,41.000000,30.000000,7260.000000
Michigan,2011,32,,0.000000,,0.433866,35.000000,30.000000,8067.000000
Michigan,2011,33,,0.000000,,0.430946,42.000000,33.000000,9746.000000
Michigan,2011,34,,0.000000,,0.493612,51.000000,35.000000,10332.000000
Michigan,2011,35,,0.000000,,0.696587,70.000000,38.000000,10049.000000
Michigan,2011,36,,0.000000,,0.679423,49.000000,32.000000,7212.000000
Michigan,2011,37,,0.000000,,0.542495,63.000000,36.000000,11613.000000
Michigan,2011,38,,0.000000,,0.440233,59.000000,39.000000,13402.000000
Michigan,2011,39,11.000000,0.000000,0.000000,0.653808,80.000000,38.000000,12236.000000
Michigan,2011,40,24.000000,1.000000,1.000000,0.600171,105.000000,52.000000,17495.000000
Michigan,2011,41,,0.000000,,0.606742,108.000000,55.000000,17800.000000
Michigan,2011,42,,0.000000,,0.571845,102.000000,56.000000,17837.000000
Michigan,2011,43,,0.000000,,0.514484,92.000000,56.000000,17882.000000
Michigan,2011,44,,0.000000,,0.677397,117.000000,55.000000,17272.000000
Michigan,2011,45,,0.000000,,0.671595,119.000000,55.000000,17719.000000
Michigan,2011,46,,0.000000,,0.527357,88.000000,53.000000,16687.000000
Michigan,2011,47,,0.000000,,0.654552,76.000000,54.000000,11611.000000
Michigan,2011,48,,0.000000,,0.516951,86.000000,55.000000,16636.000000
Michigan,2011,49,,0.000000,,0.556167,91.000000,54.000000,16362.000000
Michigan,2011,50,,0.000000,,0.702562,113.000000,52.000000,16084.000000
Michigan,2011,51,,0.000000,,0.663400,88.000000,49.000000,13265.000000
Michigan,2011,52,13.000000,6.000000,0.000000,0.723831,65.000000,46.000000,8980.000000
Michigan,2012,1,14.000000,10.000000,1.000000,0.604131,74.000000,51.000000,12249.000000
Michigan,2012,2,27.000000,14.000000,1.000000,0.630453,99.000000,55.000000,15703.000000
Michigan,2012,3,30.000000,22.000000,1.000000,0.679524,105.000000,55.000000,15452.000000
Michigan,2012,4,40.000000,22.000000,0.000000,0.759094,125.000000,55.000000,16467.000000
