REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Minnesota,2010,40,51.000000,1.000000,0.000000,0.574800,38.000000,17.000000,6611.000000
Minnesota,2010,41,64.000000,2.000000,0.000000,0.541293,35.000000,18.000000,6466.000000
Minnesota,2010,42,61.000000,0.000000,0.000000,0.521162,33.000000,17.000000,6332.000000
Minnesota,2010,43,95.000000,5.000000,0.000000,0.637716,42.000000,18.000000,6586.000000
Minnesota,2010,44,86.000000,1.000000,0.000000,0.805802,50.000000,18.000000,6205.000000
Minnesota,2010,45,107.000000,5.000000,0.000000,0.820120,45.000000,16.000000,5487.000000
Minnesota,2010,46,100.000000,10.000000,0.000000,0.702763,44.000000,18.000000,6261.000000
Minnesota,2010,47,104.000000,16.000000,0.000000,1.100960,47.000000,18.000000,4269.000000
Minnesota,2010,48,118.000000,9.000000,0.000000,0.855418,51.000000,18.000000,5962.000000
Minnesota,2010,49,148.000000,14.000000,1.000000,0.584334,37.000000,17.000000,6332.000000
Minnesota,2010,50,156.000000,9.000000,0.000000,1.161190,59.000000,15.000000,5081.000000
Minnesota,2010,51,113.000000,20.000000,1.000000,1.012200,39.000000,15.000000,3853.000000
Minnesota,2010,52,165.000000,27.000000,3.000000,1.105330,34.000000,15.000000,3076.000000
Minnesota,2011,1,175.000000,13.000000,5.000000,1.370790,61.000000,15.000000,4450.000000
Minnesota,2011,2,141.000000,21.000000,4.000000,1.069150,47.000000,14.000000,4396.000000
Minnesota,2011,3,161.000000,22.000000,3.000000,1.836510,82.000000,14.000000,4465.000000
Minnesota,2011,4,173.000000,33.000000,5.000000,1.981380,100.000000,14.000000,5047.000000
Minnesota,2011,5,272.000000,57.000000,29.000000,2.566310,119.000000,14.000000,4637.000000
Minnesota,2011,6,287.000000,55.000000,46.000000,2.511550,125.000000,15.000000,4977.000000
Minnesota,2011,7,346.000000,54.000000,36.000000,3.149300,162.000000,15.000000,5144.000000
Minnesota,2011,8,387.000000,62.000000,63.000000,2.986990,140.000000,14.000000,4687.000000
Minnesota,2011,9,332.000000,57.000000,44.000000,3.230990,161.000000,13.000000,4983.000000
Minnesota,2011,10,364.000000,80.000000,41.000000,2.840670,133.000000,13.000000,4682.000000
Minnesota,2011,11,352.000000,75.000000,38.000000,2.805790,128.000000,14.000000,4562.000000
Minnesota,2011,12,329.000000,58.000000,33.000000,2.385850,116.000000,14.000000,4862.000000
Minnesota,2011,13,282.000000,36.000000,22.000000,2.184370,109.000000,14.000000,4990.000000
Minnesota,2011,14,225.000000,36.000000,9.000000,2.045990,105.000000,15.000000,5132.000000
Minnesota,2011,15,195.000000,22.000000,13.000000,1.402350,68.000000,14.000000,4849.000000
