REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Mississippi,2010,40,12.000000,0.000000,0.000000,2.909800,491.000000,42.000000,16874.000000
Mississippi,2010,41,,0.000000,,2.970750,523.000000,45.000000,17605.000000
Mississippi,2010,42,,0.000000,,2.981410,534.000000,45.000000,17911.000000
Mississippi,2010,43,,0.000000,,3.148040,538.000000,47.000000,17090.000000
Mississippi,2010,44,,0.000000,,3.355700,550.000000,45.000000,16390.000000
Mississippi,2010,45,15.000000,0.000000,3.000000,3.930950,649.000000,44.000000,16510.000000
Mississippi,2010,46,13.000000,0.000000,4.000000,4.465750,764.000000,45.000000,17108.000000
Mississippi,2010,47,,0.000000,,4.838110,786.000000,46.000000,16246.000000
Mississippi,2010,48,,0.000000,,4.885090,829.000000,44.000000,16970.000000
Mississippi,2010,49,,0.000000,,5.338360,878.000000,46.000000,16447.000000
Mississippi,2010,50,,0.000000,,8.815730,1529.000000,48.000000,17344.000000
Mississippi,2010,51,,0.000000,,10.816600,1775.000000,45.000000,16410.000000
Mississippi,2010,52,,0.000000,,9.033890,1570.000000,45.000000,17379.000000
Mississippi,2011,1,,0.000000,,6.758440,1139.000000,47.000000,16853.000000
Mississippi,2011,2,13.000000,2.000000,1.000000,5.944590,899.000000,45.000000,15123.000000
Mississippi,2011,3,,0.000000,,6.626320,1062.000000,45.000000,16027.000000
Mississippi,2011,4,,0.000000,,6.581290,1146.000000,46.000000,17413.000000
Mississippi,2011,5,13.000000,2.000000,1.000000,6.808560,1142.000000,47.000000,16773.000000
Mississippi,2011,6,,0.000000,,6.147540,1020.000000,46.000000,16592.000000
Mississippi,2011,7,,0.000000,,5.964180,1089.000000,44.000000,18259.000000
Mississippi,2011,8,13.000000,5.000000,2.000000,5.017400,865.000000,46.000000,17240.000000
Mississippi,2011,9,,0.000000,,4.257860,677.000000,44.000000,15900.000000
Mississippi,2011,10,,0.000000,,4.015520,621.000000,44.000000,15465.000000
Mississippi,2011,11,,0.000000,,3.772970,581.000000,45.000000,15399.000000
Mississippi,2011,12,10.000000,1.000000,0.000000,3.040180,513.000000,43.000000,16874.000000
Mississippi,2011,13,,0.000000,,3.357920,560.000000,44.000000,16677.000000
Mississippi,2011,14,,0.000000,,3.136420,515.000000,43.000000,16420.000000
Mississippi,2011,15,16.000000,7.000000,0.000000,3.131400,520.000000,43.000000,16606.000000
Mississippi,2011,16,12.000000,0.000000,0.000000,2.858820,438.000000,40.000000,15321.000000
Mississippi,2011,17,,0.000000,,2.722150,420.000000,40.000000,15429.000000
Mississippi,2011,18,,0.000000,,2.321480,355.000000,43.000000,15292.000000
Mississippi,2011,19,,0.000000,,2.402290,378.000000,42.000000,15735.000000
Mississippi,2011,20,,0.000000,,2.186720,334.000000,42.000000,15274.000000
Mississippi,2011,21,,0.000000,,2.271820,342.000000,42.000000,15054.000000
Mississippi,2011,22,,0.000000,,2.407860,392.000000,44.000000,16280.000000
Mississippi,2011,23,11.000000,0.000000,0.000000,2.134160,349.000000,43.000000,16353.000000
Mississippi,2011,24,,0.000000,,1.883710,300.000000,44.000000,15926.000000
Mississippi,2011,25,,0.000000,,1.832300,276.000000,41.000000,15063.000000
Mississippi,2011,26,,0.000000,,1.635930,212.000000,40.000000,12959.000000
Mississippi,2011,27,,0.000000,,1.716300,268.000000,44.000000,15615.000000
Mississippi,2011,28,,0.000000,,1.641220,244.000000,40.000000,14867.000000
Mississippi,2011,29,,0.000000,,1.838920,287.000000,41.000000,15607.000000
Mississippi,2011,30,,0.000000,,1.519070,235.000000,42.000000,15470.000000
Mississippi,2011,31,,0.000000,,1.462560,225.000000,42.000000,15384.000000
Mississippi,2011,32,,0.000000,,1.619670,247.000000,41.000000,15250.000000
Mississippi,2011,33,,0.000000,,1.954230,304.000000,42.000000,15556.000000
Mississippi,2011,34,,0.000000,,2.576530,404.000000,40.000000,15680.000000
Mississippi,2011,35,,0.000000,,2.051440,327.000000,37.000000,15940.000000
Mississippi,2011,36,,0.000000,,2.480530,360.000000,38.000000,14513.000000
Mississippi,2011,37,,0.000000,,2.352490,370.000000,36.000000,15728.000000
Mississippi,2011,38,,0.000000,,2.431850,339.000000,35.000000,13940.000000
Mississippi,2011,39,,0.000000,,2.797820,415.000000,38.000000,14833.000000
Mississippi,2011,40,13.000000,0.000000,0.000000,2.627250,399.000000,39.000000,15187.000000
Mississippi,2011,41,21.000000,0.000000,0.000000,2.598770,394.000000,34.000000,15161.000000
Mississippi,2011,42,21.000000,0.000000,0.000000,2.612650,396.000000,39.000000,15157.000000
Mississippi,2011,43,21.000000,0.000000,0.000000,2.692230,389.000000,40.000000,14449.000000
Mississippi,2011,44,18.000000,0.000000,0.000000,2.850420,412.000000,40.000000,14454.000000
Mississippi,2011,45,23.000000,0.000000,0.000000,3.225810,467.000000,33.000000,14477.000000
Mississippi,2011,46,16.000000,0.000000,0.000000,3.533110,438.000000,33.000000,12397.000000
Mississippi,2011,47,20.000000,0.000000,0.000000,2.872800,430.000000,40.000000,14968.000000
Mississippi,2011,48,20.000000,1.000000,0.000000,3.368650,426.000000,34.000000,12646.000000
Mississippi,2011,49,26.000000,1.000000,0.000000,4.284810,405.000000,32.000000,9452.000000
Mississippi,2011,50,34.000000,0.000000,0.000000,3.776760,494.000000,37.000000,13080.000000
Mississippi,2011,51,24.000000,0.000000,0.000000,3.972660,529.000000,35.000000,13316.000000
Mississippi,2011,52,32.000000,0.000000,0.000000,4.145140,666.000000,39.000000,16067.000000
Mississippi,2012,1,29.000000,0.000000,0.000000,2.979060,488.000000,39.000000,16381.000000
Mississippi,2012,2,23.000000,5.000000,0.000000,3.468420,576.000000,41.000000,16607.000000
Mississippi,2012,3,29.000000,4.000000,0.000000,3.051380,443.000000,39.000000,14518.000000
Mississippi,2012,4,22.000000,0.000000,0.000000,3.172450,514.000000,39.000000,16202.000000
Mississippi,2012,5,20.000000,2.000000,1.000000,4.152250,660.000000,41.000000,15895.000000
Mississippi,2012,6,31.000000,3.000000,0.000000,4.073140,646.000000,40.000000,15860.000000
Mississippi,2012,7,39.000000,3.000000,0.000000,3.865960,593.000000,39.000000,15339.000000
Mississippi,2012,8,38.000000,11.000000,0.000000,3.834160,578.000000,42.000000,15075.000000
Mississippi,2012,9,26.000000,5.000000,1.000000,4.676710,562.000000,37.000000,12017.000000
Mississippi,2012,10,42.000000,7.000000,2.000000,5.179550,688.000000,40.000000,13283.000000
Mississippi,2012,11,28.000000,3.000000,0.000000,5.320750,671.000000,37.000000,12611.000000
Mississippi,2012,12,30.000000,5.000000,0.000000,4.377940,531.000000,38.000000,12129.000000
Mississippi,2012,13,24.000000,6.000000,0.000000,4.136800,456.000000,40.000000,11023.000000
Mississippi,2012,14,16.000000,3.000000,0.000000,3.824710,439.000000,39.000000,11478.000000
Mississippi,2012,15,26.000000,0.000000,1.000000,3.213830,329.000000,31.000000,10237.000000
Mississippi,2012,16,18.000000,0.000000,1.000000,2.776070,316.000000,36.000000,11383.000000
Mississippi,2012,17,27.000000,2.000000,1.000000,2.927400,375.000000,37.000000,12810.000000
Mississippi,2012,18,27.000000,4.000000,1.000000,3.187570,398.000000,37.000000,12486.000000
Mississippi,2012,19,11.000000,2.000000,0.000000,3.097890,425.000000,37.000000,13719.000000
Mississippi,2012,20,12.000000,6.000000,0.000000,3.353610,397.000000,38.000000,11838.000000
Mississippi,2012,21,22.000000,0.000000,0.000000,3.728320,359.000000,34.000000,9629.000000
Mississippi,2012,22,13.000000,0.000000,0.000000,2.773090,263.000000,33.000000,9484.000000
Mississippi,2012,23,,0.000000,,2.962610,252.000000,32.000000,8506.000000
Mississippi,2012,24,,0.000000,,2.842440,232.000000,33.000000,8162.000000
Mississippi,2012,25,,0.000000,,1.930610,212.000000,32.000000,10981.000000
Mississippi,2012,26,,0.000000,,2.548990,186.000000,31.000000,7297.000000
Mississippi,2012,27,,0.000000,,2.210410,183.000000,27.000000,8279.000000
Mississippi,2012,28,,0.000000,,2.043620,134.000000,26.000000,6557.000000
Mississippi,2012,29,,0.000000,,2.061450,104.000000,22.000000,5045.000000
Mississippi,2012,30,,0.000000,,2.774760,230.000000,27.000000,8289.000000
Mississippi,2012,31,,0.000000,,3.341410,262.000000,30.000000,7841.000000
Mississippi,2012,32,,0.000000,,2.563140,205.000000,31.000000,7998.000000
Mississippi,2012,33,,0.000000,,2.029380,181.000000,32.000000,8919.000000
Mississippi,2012,34,,0.000000,,2.327190,235.000000,30.000000,10098.000000
Mississippi,2012,35,,0.000000,,2.833710,190.000000,28.000000,6705.000000
Mississippi,2012,36,,0.000000,,2.400380,250.000000,28.000000,10415.000000
Mississippi,2012,37,14.000000,0.000000,0.000000,2.168750,219.000000,29.000000,10098.000000
Mississippi,2012,38,14.000000,0.000000,0.000000,2.937810,257.000000,32.000000,8748.000000
Mississippi,2012,39,13.000000,0.000000,0.000000,3.186980,323.000000,33.000000,10135.000000
Mississippi,2012,40,16.000000,0.000000,0.000000,3.241190,469.000000,44.000000,14470.000000
Mississippi,2012,41,23.000000,1.000000,1.000000,3.539820,504.000000,44.000000,14238.000000
Mississippi,2012,42,23.000000,0.000000,0.000000,3.845300,518.000000,43.000000,13471.000000
Mississippi,2012,43,27.000000,1.000000,0.000000,4.118310,550.000000,43.000000,13355.000000
Mississippi,2012,44,23.000000,3.000000,0.000000,4.322810,571.000000,42.000000,13209.000000
Mississippi,2012,45,31.000000,8.000000,3.000000,5.379640,649.000000,41.000000,12064.000000
Mississippi,2012,46,34.000000,6.000000,0.000000,6.507280,822.000000,42.000000,12632.000000
Mississippi,2012,47,40.000000,9.000000,1.000000,8.562480,1093.000000,42.000000,12765.000000
Mississippi,2012,48,53.000000,18.000000,0.000000,6.954230,977.000000,42.000000,14049.000000
Mississippi,2012,49,78.000000,22.000000,0.000000,8.217430,1483.000000,44.000000,18047.000000
Mississippi,2012,50,74.000000,33.000000,2.000000,8.641630,1537.000000,44.000000,17786.000000
Mississippi,2012,51,158.000000,45.000000,1.000000,13.253400,1647.000000,42.000000,12427.000000
Mississippi,2012,52,115.000000,19.000000,1.000000,11.565200,1794.000000,42.000000,15512.000000
Mississippi,2013,1,143.000000,31.000000,1.000000,8.143240,1353.000000,44.000000,16615.000000
Mississippi,2013,2,128.000000,27.000000,5.000000,6.701860,1168.000000,44.000000,17428.000000
