REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Montana,2010,40,21.000000,0.000000,0.000000,0.037119,1.000000,7.000000,2694.000000
Montana,2010,41,,0.000000,,0.180963,5.000000,7.000000,2763.000000
Montana,2010,42,,0.000000,,0.185874,5.000000,7.000000,2690.000000
Montana,2010,43,,0.000000,,0.036390,1.000000,7.000000,2748.000000
Montana,2010,44,10.000000,0.000000,0.000000,0.040519,1.000000,7.000000,2468.000000
Montana,2010,45,13.000000,0.000000,0.000000,0.243902,6.000000,6.000000,2460.000000
Montana,2010,46,,0.000000,,0.109930,3.000000,6.000000,2729.000000
Montana,2010,47,33.000000,2.000000,0.000000,0.537057,10.000000,6.000000,1862.000000
Montana,2010,48,20.000000,1.000000,0.000000,0.038052,1.000000,6.000000,2628.000000
Montana,2010,49,45.000000,3.000000,0.000000,0.035945,1.000000,6.000000,2782.000000
Montana,2010,50,37.000000,10.000000,0.000000,0.077280,2.000000,6.000000,2588.000000
Montana,2010,51,35.000000,11.000000,0.000000,0.062422,1.000000,6.000000,1602.000000
Montana,2010,52,50.000000,11.000000,1.000000,0.234926,3.000000,5.000000,1277.000000
Montana,2011,1,51.000000,14.000000,0.000000,0.000000,0.000000,6.000000,2164.000000
Montana,2011,2,73.000000,23.000000,2.000000,0.221926,5.000000,6.000000,2253.000000
Montana,2011,3,61.000000,21.000000,1.000000,0.251004,5.000000,5.000000,1992.000000
Montana,2011,4,70.000000,20.000000,4.000000,0.207828,6.000000,6.000000,2887.000000
Montana,2011,5,86.000000,26.000000,8.000000,0.836972,23.000000,6.000000,2748.000000
Montana,2011,6,108.000000,19.000000,4.000000,0.355114,10.000000,6.000000,2816.000000
Montana,2011,7,77.000000,18.000000,3.000000,0.701262,20.000000,6.000000,2852.000000
Montana,2011,8,126.000000,19.000000,4.000000,1.101930,28.000000,6.000000,2541.000000
Montana,2011,9,80.000000,14.000000,5.000000,1.116540,32.000000,6.000000,2866.000000
Montana,2011,10,92.000000,13.000000,8.000000,0.801165,22.000000,6.000000,2746.000000
Montana,2011,11,79.000000,12.000000,4.000000,0.815376,28.000000,6.000000,3434.000000
Montana,2011,12,72.000000,10.000000,6.000000,0.835189,30.000000,6.000000,3592.000000
Montana,2011,13,62.000000,10.000000,2.000000,0.466200,14.000000,5.000000,3003.000000
Montana,2011,14,69.000000,6.000000,7.000000,0.279330,6.000000,5.000000,2148.000000
Montana,2011,15,45.000000,3.000000,2.000000,0.235018,8.000000,6.000000,3404.000000
Montana,2011,16,33.000000,0.000000,3.000000,0.029788,1.000000,6.000000,3357.000000
Montana,2011,17,21.000000,0.000000,1.000000,0.000000,0.000000,6.000000,3262.000000
Montana,2011,18,17.000000,0.000000,0.000000,0.000000,0.000000,6.000000,3191.000000
Montana,2011,19,,0.000000,,0.000000,0.000000,6.000000,3023.000000
