REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
North Dakota,2010,40,36.000000,1.000000,0.000000,0.671355,42.000000,19.000000,6256.000000
North Dakota,2010,41,38.000000,1.000000,0.000000,0.721961,43.000000,19.000000,5956.000000
North Dakota,2010,42,23.000000,0.000000,0.000000,0.567477,32.000000,20.000000,5639.000000
North Dakota,2010,43,30.000000,0.000000,0.000000,0.339239,18.000000,20.000000,5306.000000
North Dakota,2010,44,27.000000,1.000000,0.000000,0.713749,38.000000,19.000000,5324.000000
North Dakota,2010,45,79.000000,0.000000,0.000000,0.758110,43.000000,18.000000,5672.000000
North Dakota,2010,46,37.000000,0.000000,0.000000,0.644192,30.000000,16.000000,4657.000000
North Dakota,2010,47,49.000000,2.000000,0.000000,0.590551,27.000000,18.000000,4572.000000
North Dakota,2010,48,44.000000,1.000000,0.000000,0.347088,18.000000,17.000000,5186.000000
North Dakota,2010,49,45.000000,3.000000,0.000000,0.237530,11.000000,18.000000,4631.000000
North Dakota,2010,50,45.000000,1.000000,0.000000,0.317628,6.000000,11.000000,1889.000000
North Dakota,2010,51,40.000000,2.000000,0.000000,0.275672,4.000000,11.000000,1451.000000
North Dakota,2010,52,44.000000,6.000000,0.000000,0.000000,0.000000,10.000000,958.000000
North Dakota,2011,1,75.000000,6.000000,0.000000,0.264901,4.000000,9.000000,1510.000000
North Dakota,2011,2,65.000000,10.000000,1.000000,0.118133,2.000000,10.000000,1693.000000
North Dakota,2011,3,104.000000,17.000000,2.000000,0.768808,14.000000,12.000000,1821.000000
North Dakota,2011,4,123.000000,27.000000,3.000000,1.028140,19.000000,11.000000,1848.000000
North Dakota,2011,5,187.000000,33.000000,7.000000,1.225490,25.000000,12.000000,2040.000000
North Dakota,2011,6,242.000000,52.000000,16.000000,1.597800,29.000000,10.000000,1815.000000
North Dakota,2011,7,364.000000,74.000000,16.000000,2.255640,48.000000,12.000000,2128.000000
North Dakota,2011,8,357.000000,73.000000,32.000000,2.682350,57.000000,12.000000,2125.000000
North Dakota,2011,9,339.000000,64.000000,32.000000,3.016660,67.000000,11.000000,2221.000000
North Dakota,2011,10,322.000000,72.000000,35.000000,4.218010,89.000000,12.000000,2110.000000
North Dakota,2011,11,320.000000,71.000000,29.000000,2.216620,44.000000,12.000000,1985.000000
North Dakota,2011,12,272.000000,42.000000,18.000000,2.263970,47.000000,12.000000,2076.000000
North Dakota,2011,13,186.000000,20.000000,17.000000,0.846702,19.000000,12.000000,2244.000000
North Dakota,2011,14,142.000000,19.000000,5.000000,0.721848,15.000000,11.000000,2078.000000
North Dakota,2011,15,66.000000,2.000000,3.000000,0.794439,16.000000,11.000000,2014.000000
North Dakota,2011,16,61.000000,2.000000,1.000000,0.399734,6.000000,8.000000,1501.000000
North Dakota,2011,17,57.000000,0.000000,2.000000,0.210416,4.000000,11.000000,1901.000000
North Dakota,2011,18,46.000000,1.000000,0.000000,0.246305,4.000000,8.000000,1624.000000
North Dakota,2011,19,28.000000,1.000000,0.000000,0.068353,1.000000,8.000000,1463.000000
North Dakota,2011,20,,0.000000,,0.342759,4.000000,6.000000,1167.000000
North Dakota,2011,21,,0.000000,,0.000000,0.000000,7.000000,1128.000000
North Dakota,2011,22,,0.000000,,0.162075,2.000000,8.000000,1234.000000
North Dakota,2011,23,,0.000000,,0.000000,0.000000,8.000000,1322.000000
North Dakota,2011,24,11.000000,0.000000,0.000000,0.000000,0.000000,8.000000,1321.000000
North Dakota,2011,25,,0.000000,,0.000000,0.000000,8.000000,1355.000000
North Dakota,2011,26,,0.000000,,0.076687,1.000000,7.000000,1304.000000
North Dakota,2011,27,,0.000000,,0.000000,0.000000,7.000000,953.000000
North Dakota,2011,28,,0.000000,,0.000000,0.000000,5.000000,1260.000000
North Dakota,2011,29,,0.000000,,0.000000,0.000000,6.000000,1260.000000
North Dakota,2011,30,,0.000000,,0.000000,0.000000,7.000000,1321.000000
North Dakota,2011,31,,0.000000,,0.140174,5.000000,10.000000,3567.000000
North Dakota,2011,32,,0.000000,,0.180738,7.000000,9.000000,3873.000000
North Dakota,2011,33,,0.000000,,0.197336,8.000000,10.000000,4054.000000
North Dakota,2011,34,,0.000000,,0.282021,12.000000,10.000000,4255.000000
North Dakota,2011,35,,0.000000,,0.245317,11.000000,12.000000,4484.000000
North Dakota,2011,36,,0.000000,,0.327941,15.000000,12.000000,4574.000000
North Dakota,2011,37,16.000000,0.000000,0.000000,0.424628,20.000000,12.000000,4710.000000
North Dakota,2011,38,16.000000,0.000000,0.000000,0.593692,32.000000,14.000000,5390.000000
North Dakota,2011,39,19.000000,0.000000,0.000000,0.496175,24.000000,13.000000,4837.000000
North Dakota,2011,40,,0.000000,,0.679550,32.000000,14.000000,4709.000000
North Dakota,2011,41,,0.000000,,0.636816,32.000000,17.000000,5025.000000
North Dakota,2011,42,,0.000000,,0.622051,29.000000,17.000000,4662.000000
North Dakota,2011,43,,0.000000,,0.341807,16.000000,15.000000,4681.000000
North Dakota,2011,44,,0.000000,,0.605144,24.000000,17.000000,3966.000000
North Dakota,2011,45,,0.000000,,0.695024,25.000000,16.000000,3597.000000
North Dakota,2011,46,,0.000000,,0.523972,20.000000,16.000000,3817.000000
North Dakota,2011,47,,0.000000,,1.227390,38.000000,16.000000,3096.000000
North Dakota,2011,48,,0.000000,,0.451807,15.000000,15.000000,3320.000000
North Dakota,2011,49,,0.000000,,0.744269,25.000000,14.000000,3359.000000
North Dakota,2011,50,,0.000000,,1.057270,36.000000,14.000000,3405.000000
North Dakota,2011,51,,0.000000,,0.763553,30.000000,14.000000,3929.000000
North Dakota,2011,52,,0.000000,,0.433487,16.000000,13.000000,3691.000000
North Dakota,2012,1,,0.000000,,0.600052,23.000000,14.000000,3833.000000
North Dakota,2012,2,,0.000000,,0.424528,18.000000,15.000000,4240.000000
North Dakota,2012,3,,0.000000,,0.649819,27.000000,15.000000,4155.000000
North Dakota,2012,4,,0.000000,,0.939986,26.000000,13.000000,2766.000000
North Dakota,2012,5,,0.000000,,1.060920,31.000000,13.000000,2922.000000
North Dakota,2012,6,,0.000000,,1.372870,25.000000,11.000000,1821.000000
North Dakota,2012,7,,0.000000,,1.117020,21.000000,12.000000,1880.000000
North Dakota,2012,8,,0.000000,,1.094660,17.000000,9.000000,1553.000000
