REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
New Mexico,2010,40,,0.000000,,2.131910,160.000000,23.000000,7505.000000
New Mexico,2010,41,14.000000,0.000000,0.000000,1.963500,142.000000,22.000000,7232.000000
New Mexico,2010,42,16.000000,0.000000,0.000000,1.674860,126.000000,21.000000,7523.000000
New Mexico,2010,43,19.000000,0.000000,0.000000,2.354980,190.000000,24.000000,8068.000000
New Mexico,2010,44,22.000000,0.000000,0.000000,2.379830,151.000000,20.000000,6345.000000
New Mexico,2010,45,20.000000,0.000000,0.000000,2.377600,186.000000,24.000000,7823.000000
New Mexico,2010,46,18.000000,0.000000,1.000000,2.878420,228.000000,24.000000,7921.000000
New Mexico,2010,47,,0.000000,,2.978200,194.000000,24.000000,6514.000000
New Mexico,2010,48,16.000000,1.000000,3.000000,2.854700,234.000000,25.000000,8197.000000
New Mexico,2010,49,21.000000,1.000000,2.000000,2.324230,200.000000,25.000000,8605.000000
New Mexico,2010,50,19.000000,3.000000,3.000000,2.723350,221.000000,25.000000,8115.000000
New Mexico,2010,51,18.000000,1.000000,2.000000,3.411760,232.000000,22.000000,6800.000000
New Mexico,2010,52,24.000000,4.000000,0.000000,3.874930,259.000000,23.000000,6684.000000
New Mexico,2011,1,41.000000,18.000000,4.000000,2.954520,241.000000,24.000000,8157.000000
New Mexico,2011,2,40.000000,23.000000,6.000000,2.898210,250.000000,26.000000,8626.000000
New Mexico,2011,3,60.000000,40.000000,4.000000,3.721370,312.000000,26.000000,8384.000000
New Mexico,2011,4,64.000000,36.000000,4.000000,5.075800,452.000000,25.000000,8905.000000
New Mexico,2011,5,99.000000,72.000000,7.000000,5.561210,437.000000,26.000000,7858.000000
New Mexico,2011,6,91.000000,42.000000,22.000000,4.901750,454.000000,26.000000,9262.000000
New Mexico,2011,7,73.000000,36.000000,7.000000,6.434680,625.000000,24.000000,9713.000000
New Mexico,2011,8,64.000000,25.000000,11.000000,5.327830,516.000000,26.000000,9685.000000
New Mexico,2011,9,62.000000,23.000000,8.000000,4.834370,413.000000,25.000000,8543.000000
New Mexico,2011,10,62.000000,18.000000,6.000000,3.728780,347.000000,25.000000,9306.000000
New Mexico,2011,11,26.000000,5.000000,5.000000,3.607620,324.000000,25.000000,8981.000000
New Mexico,2011,12,26.000000,5.000000,2.000000,2.851690,254.000000,26.000000,8907.000000
New Mexico,2011,13,23.000000,1.000000,0.000000,2.675270,224.000000,24.000000,8373.000000
New Mexico,2011,14,31.000000,3.000000,0.000000,2.322610,200.000000,26.000000,8611.000000
New Mexico,2011,15,19.000000,0.000000,0.000000,1.726750,137.000000,25.000000,7934.000000
New Mexico,2011,16,21.000000,1.000000,0.000000,1.872430,155.000000,25.000000,8278.000000
New Mexico,2011,17,16.000000,0.000000,0.000000,1.757450,141.000000,26.000000,8023.000000
New Mexico,2011,18,,0.000000,,1.657050,135.000000,26.000000,8147.000000
New Mexico,2011,19,13.000000,0.000000,1.000000,1.754620,132.000000,24.000000,7523.000000
