REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Oklahoma,2010,40,36.000000,0.000000,0.000000,0.624179,19.000000,17.000000,3044.000000
Oklahoma,2010,41,29.000000,0.000000,0.000000,0.958678,29.000000,17.000000,3025.000000
Oklahoma,2010,42,43.000000,0.000000,0.000000,2.070390,70.000000,18.000000,3381.000000
Oklahoma,2010,43,44.000000,1.000000,0.000000,1.670730,48.000000,18.000000,2873.000000
Oklahoma,2010,44,39.000000,0.000000,0.000000,1.628450,49.000000,15.000000,3009.000000
Oklahoma,2010,45,46.000000,0.000000,0.000000,2.574530,76.000000,16.000000,2952.000000
Oklahoma,2010,46,68.000000,1.000000,3.000000,3.350680,103.000000,16.000000,3074.000000
Oklahoma,2010,47,48.000000,1.000000,0.000000,2.652300,64.000000,16.000000,2413.000000
Oklahoma,2010,48,50.000000,5.000000,0.000000,2.144770,64.000000,16.000000,2984.000000
Oklahoma,2010,49,55.000000,6.000000,0.000000,2.336230,51.000000,15.000000,2183.000000
Oklahoma,2010,50,76.000000,3.000000,0.000000,3.403860,111.000000,17.000000,3261.000000
Oklahoma,2010,51,81.000000,27.000000,2.000000,4.094410,85.000000,17.000000,2076.000000
Oklahoma,2010,52,115.000000,30.000000,2.000000,4.910100,142.000000,17.000000,2892.000000
Oklahoma,2011,1,157.000000,66.000000,4.000000,3.028470,100.000000,17.000000,3302.000000
Oklahoma,2011,2,176.000000,70.000000,14.000000,5.761840,180.000000,18.000000,3124.000000
Oklahoma,2011,3,252.000000,75.000000,40.000000,10.338600,345.000000,15.000000,3337.000000
Oklahoma,2011,4,344.000000,112.000000,94.000000,14.406500,511.000000,15.000000,3547.000000
Oklahoma,2011,5,183.000000,39.000000,49.000000,12.835400,287.000000,17.000000,2236.000000
Oklahoma,2011,6,189.000000,42.000000,46.000000,7.321270,170.000000,14.000000,2322.000000
Oklahoma,2011,7,195.000000,57.000000,33.000000,7.163210,176.000000,17.000000,2457.000000
Oklahoma,2011,8,161.000000,25.000000,21.000000,5.650580,185.000000,17.000000,3274.000000
Oklahoma,2011,9,133.000000,15.000000,5.000000,4.774240,129.000000,15.000000,2702.000000
Oklahoma,2011,10,117.000000,5.000000,4.000000,3.573790,108.000000,15.000000,3022.000000
Oklahoma,2011,11,124.000000,8.000000,5.000000,3.203400,83.000000,15.000000,2591.000000
Oklahoma,2011,12,90.000000,4.000000,1.000000,1.868790,47.000000,16.000000,2515.000000
Oklahoma,2011,13,88.000000,2.000000,2.000000,1.213590,25.000000,16.000000,2060.000000
Oklahoma,2011,14,61.000000,2.000000,0.000000,1.566850,45.000000,16.000000,2872.000000
Oklahoma,2011,15,59.000000,0.000000,0.000000,0.674252,16.000000,16.000000,2373.000000
Oklahoma,2011,16,38.000000,1.000000,0.000000,0.592969,14.000000,14.000000,2361.000000
Oklahoma,2011,17,43.000000,1.000000,0.000000,0.293686,8.000000,17.000000,2724.000000
Oklahoma,2011,18,31.000000,0.000000,0.000000,0.310421,7.000000,15.000000,2255.000000
Oklahoma,2011,19,45.000000,0.000000,0.000000,0.387973,8.000000,16.000000,2062.000000
Oklahoma,2011,20,36.000000,0.000000,0.000000,0.215703,5.000000,16.000000,2318.000000
Oklahoma,2011,21,27.000000,0.000000,0.000000,0.229226,4.000000,16.000000,1745.000000
Oklahoma,2011,22,24.000000,0.000000,0.000000,0.047824,1.000000,15.000000,2091.000000
Oklahoma,2011,23,29.000000,0.000000,0.000000,0.195886,4.000000,15.000000,2042.000000
Oklahoma,2011,24,20.000000,0.000000,0.000000,0.297619,5.000000,13.000000,1680.000000
Oklahoma,2011,25,29.000000,0.000000,0.000000,0.000000,0.000000,15.000000,2048.000000
Oklahoma,2011,26,25.000000,0.000000,0.000000,0.175336,3.000000,15.000000,1711.000000
Oklahoma,2011,27,18.000000,0.000000,0.000000,0.172414,3.000000,15.000000,1740.000000
Oklahoma,2011,28,,0.000000,,0.106157,2.000000,14.000000,1884.000000
Oklahoma,2011,29,14.000000,0.000000,0.000000,0.102934,2.000000,15.000000,1943.000000
Oklahoma,2011,30,19.000000,0.000000,0.000000,0.101317,2.000000,15.000000,1974.000000
Oklahoma,2011,31,14.000000,0.000000,0.000000,0.050710,1.000000,12.000000,1972.000000
Oklahoma,2011,32,,0.000000,,0.000000,0.000000,0.000000,0.000000
Oklahoma,2011,33,18.000000,0.000000,0.000000,0.307220,6.000000,15.000000,1953.000000
Oklahoma,2011,34,18.000000,0.000000,0.000000,0.326397,8.000000,16.000000,2451.000000
Oklahoma,2011,35,33.000000,0.000000,0.000000,0.285225,5.000000,16.000000,1753.000000
Oklahoma,2011,36,33.000000,0.000000,0.000000,0.407830,10.000000,17.000000,2452.000000
Oklahoma,2011,37,26.000000,0.000000,0.000000,0.865426,20.000000,17.000000,2311.000000
Oklahoma,2011,38,46.000000,1.000000,0.000000,0.316313,7.000000,16.000000,2213.000000
Oklahoma,2011,39,45.000000,0.000000,0.000000,0.625782,10.000000,14.000000,1598.000000
Oklahoma,2011,40,,0.000000,,1.564830,42.000000,19.000000,2684.000000
Oklahoma,2011,41,,0.000000,,1.041280,28.000000,18.000000,2689.000000
Oklahoma,2011,42,,0.000000,,1.219100,36.000000,20.000000,2953.000000
Oklahoma,2011,43,,0.000000,,0.785855,16.000000,16.000000,2036.000000
Oklahoma,2011,44,,0.000000,,1.141920,28.000000,19.000000,2452.000000
Oklahoma,2011,45,,0.000000,,1.616300,23.000000,12.000000,1423.000000
Oklahoma,2011,46,,0.000000,,2.193280,64.000000,18.000000,2918.000000
Oklahoma,2011,47,,0.000000,,1.006040,15.000000,17.000000,1491.000000
Oklahoma,2011,48,,0.000000,,2.057440,48.000000,17.000000,2333.000000
Oklahoma,2011,49,,0.000000,,1.681880,35.000000,17.000000,2081.000000
Oklahoma,2011,50,,0.000000,,0.958606,22.000000,17.000000,2295.000000
Oklahoma,2011,51,,0.000000,,1.455600,20.000000,18.000000,1374.000000
Oklahoma,2011,52,,0.000000,,1.265820,13.000000,15.000000,1027.000000
Oklahoma,2012,1,,0.000000,,1.755790,44.000000,18.000000,2506.000000
Oklahoma,2012,2,,0.000000,,1.222270,27.000000,16.000000,2209.000000
Oklahoma,2012,3,,0.000000,,1.181250,32.000000,17.000000,2709.000000
Oklahoma,2012,4,,0.000000,,3.348810,137.000000,20.000000,4091.000000
Oklahoma,2012,5,155.000000,6.000000,0.000000,3.205730,103.000000,17.000000,3213.000000
Oklahoma,2012,6,26.000000,7.000000,0.000000,3.144990,118.000000,20.000000,3752.000000
Oklahoma,2012,7,157.000000,17.000000,1.000000,4.302930,175.000000,19.000000,4067.000000
