REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Pennsylvania,2010,40,176.000000,0.000000,1.000000,0.703292,122.000000,64.000000,17347.000000
Pennsylvania,2010,41,164.000000,0.000000,0.000000,0.910726,157.000000,64.000000,17239.000000
Pennsylvania,2010,42,145.000000,1.000000,0.000000,0.881081,161.000000,64.000000,18273.000000
Pennsylvania,2010,43,159.000000,2.000000,0.000000,0.721180,133.000000,65.000000,18442.000000
Pennsylvania,2010,44,161.000000,5.000000,2.000000,0.991455,181.000000,66.000000,18256.000000
Pennsylvania,2010,45,177.000000,5.000000,0.000000,1.033770,184.000000,63.000000,17799.000000
Pennsylvania,2010,46,204.000000,12.000000,0.000000,0.946337,170.000000,60.000000,17964.000000
Pennsylvania,2010,47,135.000000,16.000000,2.000000,1.108460,144.000000,67.000000,12991.000000
Pennsylvania,2010,48,206.000000,15.000000,4.000000,1.208780,217.000000,65.000000,17952.000000
Pennsylvania,2010,49,191.000000,29.000000,2.000000,1.224070,203.000000,61.000000,16584.000000
Pennsylvania,2010,50,240.000000,51.000000,6.000000,1.356680,196.000000,58.000000,14447.000000
Pennsylvania,2010,51,257.000000,79.000000,10.000000,2.003750,214.000000,55.000000,10680.000000
Pennsylvania,2010,52,315.000000,111.000000,16.000000,2.385160,243.000000,56.000000,10188.000000
Pennsylvania,2011,1,363.000000,119.000000,10.000000,2.108460,257.000000,56.000000,12189.000000
Pennsylvania,2011,2,343.000000,114.000000,17.000000,2.323900,322.000000,61.000000,13856.000000
Pennsylvania,2011,3,475.000000,205.000000,14.000000,2.727050,439.000000,64.000000,16098.000000
Pennsylvania,2011,4,501.000000,264.000000,16.000000,4.046590,681.000000,61.000000,16829.000000
Pennsylvania,2011,5,454.000000,213.000000,16.000000,4.372660,758.000000,65.000000,17335.000000
Pennsylvania,2011,6,530.000000,239.000000,39.000000,3.740810,687.000000,60.000000,18365.000000
Pennsylvania,2011,7,522.000000,204.000000,39.000000,3.618210,663.000000,62.000000,18324.000000
Pennsylvania,2011,8,477.000000,204.000000,55.000000,3.404570,591.000000,59.000000,17359.000000
Pennsylvania,2011,9,359.000000,104.000000,22.000000,2.910820,485.000000,57.000000,16662.000000
Pennsylvania,2011,10,360.000000,86.000000,20.000000,2.768170,368.000000,54.000000,13294.000000
Pennsylvania,2011,11,290.000000,58.000000,23.000000,2.018340,328.000000,57.000000,16251.000000
Pennsylvania,2011,12,270.000000,47.000000,17.000000,1.584920,253.000000,50.000000,15963.000000
Pennsylvania,2011,13,226.000000,17.000000,24.000000,1.555920,244.000000,50.000000,15682.000000
Pennsylvania,2011,14,199.000000,6.000000,12.000000,1.681530,264.000000,49.000000,15700.000000
Pennsylvania,2011,15,178.000000,6.000000,5.000000,1.415560,213.000000,48.000000,15047.000000
Pennsylvania,2011,16,151.000000,1.000000,2.000000,0.970285,144.000000,49.000000,14841.000000
Pennsylvania,2011,17,139.000000,1.000000,4.000000,0.976213,142.000000,46.000000,14546.000000
Pennsylvania,2011,18,117.000000,6.000000,1.000000,1.032740,141.000000,43.000000,13653.000000
Pennsylvania,2011,19,121.000000,0.000000,0.000000,0.996843,120.000000,41.000000,12038.000000
Pennsylvania,2011,20,120.000000,0.000000,2.000000,1.006500,113.000000,40.000000,11227.000000
Pennsylvania,2011,21,104.000000,0.000000,0.000000,0.862225,95.000000,40.000000,11018.000000
Pennsylvania,2011,22,99.000000,0.000000,1.000000,1.004000,98.000000,38.000000,9761.000000
Pennsylvania,2011,23,102.000000,0.000000,1.000000,1.023320,111.000000,36.000000,10847.000000
Pennsylvania,2011,24,98.000000,0.000000,0.000000,0.697869,75.000000,37.000000,10747.000000
Pennsylvania,2011,25,101.000000,0.000000,0.000000,0.810081,81.000000,37.000000,9999.000000
Pennsylvania,2011,26,75.000000,0.000000,0.000000,0.624086,64.000000,37.000000,10255.000000
Pennsylvania,2011,27,69.000000,0.000000,0.000000,0.821396,82.000000,38.000000,9983.000000
Pennsylvania,2011,28,84.000000,0.000000,1.000000,0.538529,55.000000,34.000000,10213.000000
Pennsylvania,2011,29,78.000000,0.000000,0.000000,0.599161,60.000000,34.000000,10014.000000
Pennsylvania,2011,30,77.000000,0.000000,0.000000,0.527498,54.000000,34.000000,10237.000000
Pennsylvania,2011,31,81.000000,0.000000,0.000000,0.519427,50.000000,31.000000,9626.000000
Pennsylvania,2011,32,75.000000,1.000000,0.000000,0.628995,62.000000,34.000000,9857.000000
Pennsylvania,2011,33,78.000000,1.000000,0.000000,0.575717,56.000000,32.000000,9727.000000
Pennsylvania,2011,34,80.000000,1.000000,0.000000,0.474210,57.000000,34.000000,12020.000000
Pennsylvania,2011,35,69.000000,0.000000,0.000000,0.530273,67.000000,37.000000,12635.000000
Pennsylvania,2011,36,104.000000,0.000000,0.000000,0.614539,76.000000,38.000000,12367.000000
