REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Texas,2010,40,301.000000,1.000000,1.000000,2.065140,1050.000000,98.000000,50844.000000
Texas,2010,41,426.000000,7.000000,5.000000,2.093940,1061.000000,97.000000,50670.000000
Texas,2010,42,390.000000,6.000000,6.000000,2.100720,1090.000000,98.000000,51887.000000
Texas,2010,43,390.000000,4.000000,6.000000,2.206550,1117.000000,96.000000,50622.000000
Texas,2010,44,395.000000,5.000000,6.000000,2.363810,1218.000000,99.000000,51527.000000
Texas,2010,45,499.000000,5.000000,4.000000,2.517780,1310.000000,97.000000,52030.000000
Texas,2010,46,447.000000,6.000000,10.000000,2.246220,1121.000000,95.000000,49906.000000
Texas,2010,47,446.000000,16.000000,11.000000,2.598660,964.000000,90.000000,37096.000000
Texas,2010,48,520.000000,18.000000,7.000000,2.566170,1273.000000,93.000000,49607.000000
Texas,2010,49,549.000000,28.000000,21.000000,2.403350,1165.000000,93.000000,48474.000000
Texas,2010,50,742.000000,109.000000,36.000000,2.840970,1350.000000,88.000000,47519.000000
Texas,2010,51,806.000000,140.000000,62.000000,3.873150,1418.000000,81.000000,36611.000000
Texas,2010,52,922.000000,143.000000,43.000000,3.407110,1293.000000,81.000000,37950.000000
Texas,2011,1,1181.000000,212.000000,59.000000,3.212480,1524.000000,89.000000,47440.000000
Texas,2011,2,1049.000000,231.000000,55.000000,4.059960,1950.000000,89.000000,48030.000000
Texas,2011,3,1292.000000,291.000000,111.000000,4.732020,2518.000000,92.000000,53212.000000
Texas,2011,4,1497.000000,327.000000,123.000000,5.934390,3381.000000,97.000000,56973.000000
Texas,2011,5,1590.000000,414.000000,153.000000,6.680520,3086.000000,95.000000,46194.000000
Texas,2011,6,1508.000000,344.000000,149.000000,8.128670,3280.000000,91.000000,40351.000000
Texas,2011,7,1739.000000,444.000000,196.000000,8.265190,4821.000000,88.000000,58329.000000
Texas,2011,8,1373.000000,210.000000,124.000000,6.660450,3641.000000,90.000000,54666.000000
Texas,2011,9,1046.000000,112.000000,79.000000,4.585650,2401.000000,87.000000,52359.000000
Texas,2011,10,879.000000,56.000000,43.000000,3.680250,1784.000000,82.000000,48475.000000
Texas,2011,11,550.000000,20.000000,16.000000,2.847490,1231.000000,84.000000,43231.000000
Texas,2011,12,544.000000,19.000000,11.000000,3.112500,1082.000000,82.000000,34763.000000
Texas,2011,13,419.000000,10.000000,7.000000,2.135360,968.000000,79.000000,45332.000000
Texas,2011,14,430.000000,3.000000,0.000000,1.832160,827.000000,79.000000,45138.000000
Texas,2011,15,359.000000,2.000000,2.000000,1.670250,770.000000,83.000000,46101.000000
Texas,2011,16,296.000000,1.000000,1.000000,1.662120,683.000000,70.000000,41092.000000
Texas,2011,17,302.000000,2.000000,3.000000,1.445400,605.000000,70.000000,41857.000000
Texas,2011,18,245.000000,0.000000,2.000000,1.627180,662.000000,61.000000,40684.000000
Texas,2011,19,239.000000,0.000000,0.000000,1.788300,730.000000,68.000000,40821.000000
Texas,2011,20,232.000000,0.000000,0.000000,1.438780,574.000000,64.000000,39895.000000
Texas,2011,21,231.000000,0.000000,0.000000,1.182840,459.000000,56.000000,38805.000000
Texas,2011,22,171.000000,1.000000,1.000000,1.472190,487.000000,55.000000,33080.000000
Texas,2011,23,194.000000,0.000000,0.000000,1.038100,391.000000,51.000000,37665.000000
Texas,2011,24,180.000000,0.000000,0.000000,1.203980,434.000000,51.000000,36047.000000
Texas,2011,25,165.000000,0.000000,0.000000,1.094990,378.000000,49.000000,34521.000000
Texas,2011,26,112.000000,0.000000,0.000000,1.441390,323.000000,47.000000,22409.000000
Texas,2011,27,130.000000,1.000000,0.000000,1.099160,333.000000,47.000000,30296.000000
Texas,2011,28,133.000000,0.000000,0.000000,1.110080,384.000000,46.000000,34592.000000
Texas,2011,29,125.000000,0.000000,0.000000,0.794791,260.000000,45.000000,32713.000000
Texas,2011,30,124.000000,0.000000,0.000000,0.927915,298.000000,44.000000,32115.000000
Texas,2011,31,124.000000,0.000000,0.000000,0.947032,317.000000,45.000000,33473.000000
Texas,2011,32,191.000000,1.000000,0.000000,0.820541,302.000000,43.000000,36805.000000
Texas,2011,33,166.000000,0.000000,0.000000,0.965857,372.000000,45.000000,38515.000000
Texas,2011,34,131.000000,0.000000,0.000000,1.011650,388.000000,45.000000,38353.000000
Texas,2011,35,203.000000,0.000000,0.000000,1.434080,550.000000,47.000000,38352.000000
Texas,2011,36,279.000000,0.000000,0.000000,1.729810,557.000000,44.000000,32200.000000
Texas,2011,37,299.000000,0.000000,1.000000,1.658110,591.000000,44.000000,35643.000000
Texas,2011,38,257.000000,0.000000,0.000000,1.602350,568.000000,42.000000,35448.000000
