REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Utah,2010,40,166.000000,3.000000,1.000000,0.747696,43.000000,13.000000,5751.000000
Utah,2010,41,186.000000,10.000000,0.000000,0.410939,29.000000,19.000000,7057.000000
Utah,2010,42,192.000000,1.000000,0.000000,0.440583,36.000000,20.000000,8171.000000
Utah,2010,43,212.000000,9.000000,1.000000,0.755957,46.000000,15.000000,6085.000000
Utah,2010,44,270.000000,22.000000,2.000000,0.651859,54.000000,23.000000,8284.000000
Utah,2010,45,270.000000,21.000000,1.000000,0.663900,40.000000,16.000000,6025.000000
Utah,2010,46,277.000000,40.000000,0.000000,0.907845,53.000000,14.000000,5838.000000
Utah,2010,47,294.000000,34.000000,3.000000,0.743569,37.000000,23.000000,4976.000000
Utah,2010,48,341.000000,50.000000,2.000000,0.838308,66.000000,22.000000,7873.000000
Utah,2010,49,387.000000,111.000000,0.000000,1.164920,89.000000,21.000000,7640.000000
Utah,2010,50,477.000000,164.000000,1.000000,1.115400,78.000000,21.000000,6993.000000
Utah,2010,51,529.000000,256.000000,8.000000,1.107390,43.000000,15.000000,3883.000000
Utah,2010,52,577.000000,216.000000,11.000000,1.090060,42.000000,13.000000,3853.000000
Utah,2011,1,605.000000,159.000000,14.000000,0.519955,37.000000,14.000000,7116.000000
Utah,2011,2,561.000000,133.000000,11.000000,2.597400,58.000000,7.000000,2233.000000
Utah,2011,3,668.000000,184.000000,37.000000,2.138160,143.000000,19.000000,6688.000000
Utah,2011,4,672.000000,160.000000,30.000000,0.895355,48.000000,13.000000,5361.000000
Utah,2011,5,706.000000,122.000000,62.000000,2.031780,133.000000,14.000000,6546.000000
Utah,2011,6,784.000000,155.000000,92.000000,2.908280,299.000000,21.000000,10281.000000
Utah,2011,7,914.000000,151.000000,137.000000,2.454780,152.000000,14.000000,6192.000000
Utah,2011,8,954.000000,125.000000,130.000000,1.889170,90.000000,13.000000,4764.000000
Utah,2011,9,769.000000,106.000000,109.000000,1.184070,66.000000,13.000000,5574.000000
Utah,2011,10,647.000000,70.000000,68.000000,1.896790,154.000000,20.000000,8119.000000
Utah,2011,11,548.000000,38.000000,41.000000,1.531160,142.000000,20.000000,9274.000000
Utah,2011,12,482.000000,33.000000,26.000000,1.220000,123.000000,23.000000,10082.000000
Utah,2011,13,419.000000,25.000000,14.000000,1.271900,98.000000,21.000000,7705.000000
Utah,2011,14,378.000000,19.000000,12.000000,0.752299,54.000000,15.000000,7178.000000
Utah,2011,15,325.000000,8.000000,8.000000,0.963515,75.000000,22.000000,7784.000000
Utah,2011,16,267.000000,5.000000,4.000000,0.579542,40.000000,21.000000,6902.000000
Utah,2011,17,226.000000,1.000000,0.000000,0.257927,17.000000,15.000000,6591.000000
Utah,2011,18,242.000000,0.000000,0.000000,0.317460,26.000000,21.000000,8190.000000
Utah,2011,19,212.000000,0.000000,1.000000,0.333333,26.000000,22.000000,7800.000000
Utah,2011,20,187.000000,1.000000,0.000000,0.364577,31.000000,22.000000,8503.000000
Utah,2011,21,213.000000,0.000000,0.000000,0.273444,17.000000,14.000000,6217.000000
Utah,2011,22,182.000000,0.000000,0.000000,0.207684,10.000000,14.000000,4815.000000
Utah,2011,23,143.000000,0.000000,0.000000,0.313112,16.000000,13.000000,5110.000000
Utah,2011,24,135.000000,0.000000,0.000000,0.273620,17.000000,14.000000,6213.000000
Utah,2011,25,120.000000,0.000000,0.000000,0.204012,12.000000,14.000000,5882.000000
Utah,2011,26,115.000000,0.000000,0.000000,0.408598,23.000000,13.000000,5629.000000
Utah,2011,27,103.000000,0.000000,0.000000,0.481314,17.000000,12.000000,3532.000000
Utah,2011,28,117.000000,0.000000,0.000000,0.086251,5.000000,13.000000,5797.000000
Utah,2011,29,121.000000,0.000000,0.000000,0.318544,14.000000,12.000000,4395.000000
Utah,2011,30,86.000000,0.000000,0.000000,0.208171,8.000000,12.000000,3843.000000
Utah,2011,31,96.000000,0.000000,0.000000,0.085034,4.000000,13.000000,4704.000000
Utah,2011,32,93.000000,0.000000,0.000000,0.261097,12.000000,12.000000,4596.000000
