REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Vermont,2010,40,,0.000000,,1.476410,41.000000,10.000000,2777.000000
Vermont,2010,41,,0.000000,,1.357770,40.000000,10.000000,2946.000000
Vermont,2010,42,,0.000000,,1.482210,45.000000,11.000000,3036.000000
Vermont,2010,43,,0.000000,,1.443930,47.000000,11.000000,3255.000000
Vermont,2010,44,,0.000000,,1.252760,34.000000,10.000000,2714.000000
Vermont,2010,45,,0.000000,,1.127050,33.000000,11.000000,2928.000000
Vermont,2010,46,,0.000000,,1.790540,53.000000,11.000000,2960.000000
Vermont,2010,47,,0.000000,,1.940110,46.000000,11.000000,2371.000000
Vermont,2010,48,,0.000000,,1.575280,52.000000,12.000000,3301.000000
Vermont,2010,49,,0.000000,,1.156630,48.000000,14.000000,4150.000000
Vermont,2010,50,,0.000000,,1.345530,50.000000,14.000000,3716.000000
Vermont,2010,51,,0.000000,,1.518730,45.000000,13.000000,2963.000000
Vermont,2010,52,,0.000000,,1.810870,63.000000,15.000000,3479.000000
Vermont,2011,1,,0.000000,,1.771790,75.000000,15.000000,4233.000000
Vermont,2011,2,16.000000,12.000000,0.000000,1.486310,57.000000,15.000000,3835.000000
Vermont,2011,3,34.000000,26.000000,4.000000,1.746830,73.000000,15.000000,4179.000000
Vermont,2011,4,38.000000,29.000000,4.000000,2.179770,89.000000,14.000000,4083.000000
Vermont,2011,5,31.000000,17.000000,4.000000,2.477650,97.000000,15.000000,3915.000000
Vermont,2011,6,15.000000,8.000000,0.000000,2.732630,116.000000,14.000000,4245.000000
Vermont,2011,7,10.000000,6.000000,0.000000,3.438090,128.000000,13.000000,3723.000000
Vermont,2011,8,,0.000000,,2.537430,100.000000,14.000000,3941.000000
Vermont,2011,9,,0.000000,,2.280950,82.000000,13.000000,3595.000000
Vermont,2011,10,,0.000000,,2.745220,89.000000,13.000000,3242.000000
Vermont,2011,11,,0.000000,,2.129120,62.000000,11.000000,2912.000000
Vermont,2011,12,,0.000000,,1.533470,52.000000,12.000000,3391.000000
Vermont,2011,13,,0.000000,,1.672240,55.000000,12.000000,3289.000000
Vermont,2011,14,,0.000000,,1.839930,60.000000,11.000000,3261.000000
Vermont,2011,15,,0.000000,,2.005730,56.000000,10.000000,2792.000000
Vermont,2011,16,,0.000000,,1.435220,37.000000,10.000000,2578.000000
Vermont,2011,17,,0.000000,,1.327430,36.000000,10.000000,2712.000000
Vermont,2011,18,,0.000000,,1.514000,40.000000,9.000000,2642.000000
Vermont,2011,19,,0.000000,,1.966720,52.000000,10.000000,2644.000000
Vermont,2011,20,,0.000000,,1.456500,38.000000,9.000000,2609.000000
Vermont,2011,21,,0.000000,,1.197600,22.000000,7.000000,1837.000000
Vermont,2011,22,,0.000000,,1.126410,18.000000,7.000000,1598.000000
Vermont,2011,23,,0.000000,,1.067240,20.000000,7.000000,1874.000000
Vermont,2011,24,,0.000000,,0.586166,10.000000,7.000000,1706.000000
Vermont,2011,25,,0.000000,,1.187650,20.000000,7.000000,1684.000000
Vermont,2011,26,,0.000000,,0.645919,11.000000,7.000000,1703.000000
Vermont,2011,27,,0.000000,,0.759975,12.000000,7.000000,1579.000000
Vermont,2011,28,,0.000000,,0.711322,12.000000,7.000000,1687.000000
Vermont,2011,29,,0.000000,,0.832900,16.000000,7.000000,1921.000000
