REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Washington,2010,40,126.000000,1.000000,1.000000,0.510041,16.000000,17.000000,3137.000000
Washington,2010,41,145.000000,0.000000,0.000000,1.040070,34.000000,16.000000,3269.000000
Washington,2010,42,161.000000,0.000000,0.000000,0.904393,28.000000,15.000000,3096.000000
Washington,2010,43,170.000000,5.000000,1.000000,0.955110,30.000000,15.000000,3141.000000
Washington,2010,44,135.000000,1.000000,1.000000,0.786370,24.000000,15.000000,3052.000000
Washington,2010,45,162.000000,1.000000,0.000000,1.067240,40.000000,18.000000,3748.000000
Washington,2010,46,152.000000,5.000000,0.000000,1.331320,44.000000,16.000000,3305.000000
Washington,2010,47,143.000000,7.000000,0.000000,1.873330,21.000000,14.000000,1121.000000
Washington,2010,48,175.000000,9.000000,0.000000,0.981767,35.000000,17.000000,3565.000000
Washington,2010,49,206.000000,7.000000,0.000000,0.964630,33.000000,17.000000,3421.000000
Washington,2010,50,203.000000,5.000000,0.000000,0.647549,14.000000,16.000000,2162.000000
Washington,2010,51,192.000000,7.000000,5.000000,0.387097,6.000000,17.000000,1550.000000
Washington,2010,52,216.000000,6.000000,2.000000,2.459020,30.000000,15.000000,1220.000000
Washington,2011,1,221.000000,28.000000,2.000000,1.522400,35.000000,15.000000,2299.000000
Washington,2011,2,294.000000,37.000000,3.000000,1.219060,33.000000,16.000000,2707.000000
Washington,2011,3,295.000000,33.000000,2.000000,0.721046,16.000000,14.000000,2219.000000
Washington,2011,4,368.000000,32.000000,0.000000,1.813880,46.000000,14.000000,2536.000000
Washington,2011,5,294.000000,37.000000,1.000000,2.811090,75.000000,15.000000,2668.000000
Washington,2011,6,395.000000,49.000000,3.000000,2.166440,63.000000,16.000000,2908.000000
Washington,2011,7,424.000000,68.000000,1.000000,4.142440,114.000000,14.000000,2752.000000
Washington,2011,8,388.000000,55.000000,7.000000,3.807210,94.000000,14.000000,2469.000000
Washington,2011,9,445.000000,67.000000,2.000000,3.469030,98.000000,14.000000,2825.000000
Washington,2011,10,503.000000,82.000000,2.000000,3.049460,82.000000,15.000000,2689.000000
Washington,2011,11,423.000000,80.000000,1.000000,3.642710,73.000000,16.000000,2004.000000
Washington,2011,12,436.000000,68.000000,6.000000,3.060810,76.000000,16.000000,2483.000000
Washington,2011,13,364.000000,33.000000,5.000000,1.546960,42.000000,14.000000,2715.000000
Washington,2011,14,341.000000,16.000000,5.000000,0.798580,18.000000,11.000000,2254.000000
Washington,2011,15,316.000000,10.000000,1.000000,0.970497,25.000000,12.000000,2576.000000
Washington,2011,16,274.000000,10.000000,2.000000,1.387140,33.000000,11.000000,2379.000000
Washington,2011,17,291.000000,6.000000,1.000000,0.649087,16.000000,11.000000,2465.000000
Washington,2011,18,224.000000,2.000000,1.000000,0.720721,16.000000,10.000000,2220.000000
Washington,2011,19,225.000000,3.000000,0.000000,0.580781,11.000000,11.000000,1894.000000
Washington,2011,20,182.000000,0.000000,0.000000,0.498132,8.000000,10.000000,1606.000000
Washington,2011,21,167.000000,0.000000,0.000000,0.180180,2.000000,6.000000,1110.000000
Washington,2011,22,173.000000,1.000000,0.000000,0.297177,2.000000,5.000000,673.000000
Washington,2011,23,147.000000,0.000000,0.000000,0.332226,3.000000,5.000000,903.000000
Washington,2011,24,91.000000,0.000000,0.000000,0.268097,1.000000,5.000000,373.000000
Washington,2011,25,127.000000,0.000000,2.000000,0.000000,0.000000,4.000000,446.000000
Washington,2011,26,107.000000,0.000000,0.000000,0.000000,0.000000,4.000000,495.000000
Washington,2011,27,134.000000,0.000000,0.000000,0.000000,0.000000,4.000000,344.000000
Washington,2011,28,93.000000,0.000000,0.000000,0.000000,0.000000,4.000000,389.000000
Washington,2011,29,100.000000,0.000000,0.000000,0.000000,0.000000,4.000000,477.000000
Washington,2011,30,100.000000,0.000000,0.000000,0.000000,0.000000,5.000000,638.000000
Washington,2011,31,70.000000,0.000000,0.000000,0.000000,0.000000,5.000000,578.000000
Washington,2011,32,71.000000,0.000000,0.000000,0.000000,0.000000,5.000000,647.000000
Washington,2011,33,76.000000,0.000000,0.000000,0.000000,0.000000,5.000000,847.000000
Washington,2011,34,96.000000,0.000000,0.000000,0.079177,1.000000,5.000000,1263.000000
Washington,2011,35,107.000000,0.000000,0.000000,0.000000,0.000000,4.000000,1215.000000
Washington,2011,36,95.000000,0.000000,0.000000,0.093458,1.000000,5.000000,1070.000000
Washington,2011,37,111.000000,2.000000,0.000000,0.078064,1.000000,5.000000,1281.000000
Washington,2011,38,156.000000,0.000000,0.000000,0.224090,4.000000,6.000000,1785.000000
Washington,2011,39,144.000000,1.000000,0.000000,0.000000,0.000000,4.000000,1511.000000
Washington,2011,40,170.000000,1.000000,1.000000,0.505386,38.000000,17.000000,7519.000000
Washington,2011,41,160.000000,0.000000,0.000000,0.495616,39.000000,18.000000,7869.000000
Washington,2011,42,153.000000,0.000000,0.000000,0.395257,32.000000,20.000000,8096.000000
Washington,2011,43,164.000000,3.000000,0.000000,0.467738,39.000000,21.000000,8338.000000
Washington,2011,44,160.000000,0.000000,0.000000,0.666747,55.000000,22.000000,8249.000000
Washington,2011,45,184.000000,0.000000,0.000000,0.515399,41.000000,19.000000,7955.000000
Washington,2011,46,193.000000,1.000000,0.000000,0.671551,55.000000,20.000000,8190.000000
Washington,2011,47,163.000000,1.000000,0.000000,0.818984,39.000000,20.000000,4762.000000
Washington,2011,48,179.000000,1.000000,0.000000,0.508475,42.000000,19.000000,8260.000000
