REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
West Virginia,2010,40,150.000000,0.000000,0.000000,1.597410,143.000000,34.000000,8952.000000
West Virginia,2010,41,122.000000,0.000000,0.000000,1.589680,170.000000,34.000000,10694.000000
West Virginia,2010,42,169.000000,0.000000,0.000000,1.526720,134.000000,33.000000,8777.000000
West Virginia,2010,43,150.000000,0.000000,0.000000,1.811710,173.000000,32.000000,9549.000000
West Virginia,2010,44,129.000000,0.000000,0.000000,1.839860,196.000000,34.000000,10653.000000
West Virginia,2010,45,171.000000,3.000000,0.000000,2.068750,201.000000,34.000000,9716.000000
West Virginia,2010,46,176.000000,5.000000,0.000000,1.998040,224.000000,36.000000,11211.000000
West Virginia,2010,47,147.000000,0.000000,0.000000,1.685250,133.000000,33.000000,7892.000000
West Virginia,2010,48,152.000000,2.000000,0.000000,1.390590,159.000000,38.000000,11434.000000
West Virginia,2010,49,147.000000,3.000000,0.000000,1.586820,158.000000,33.000000,9957.000000
West Virginia,2010,50,135.000000,8.000000,0.000000,1.416030,121.000000,34.000000,8545.000000
West Virginia,2010,51,108.000000,1.000000,0.000000,1.196370,87.000000,32.000000,7272.000000
West Virginia,2010,52,163.000000,22.000000,1.000000,1.413860,103.000000,31.000000,7285.000000
West Virginia,2011,1,183.000000,35.000000,2.000000,1.245160,135.000000,36.000000,10842.000000
West Virginia,2011,2,241.000000,46.000000,0.000000,1.258600,128.000000,37.000000,10170.000000
West Virginia,2011,3,267.000000,51.000000,6.000000,1.922010,207.000000,38.000000,10770.000000
West Virginia,2011,4,294.000000,71.000000,6.000000,2.883730,313.000000,38.000000,10854.000000
West Virginia,2011,5,433.000000,92.000000,4.000000,3.473160,438.000000,40.000000,12611.000000
West Virginia,2011,6,441.000000,118.000000,9.000000,3.986610,524.000000,39.000000,13144.000000
West Virginia,2011,7,535.000000,138.000000,11.000000,5.121160,727.000000,39.000000,14196.000000
West Virginia,2011,8,539.000000,71.000000,17.000000,5.452990,765.000000,43.000000,14029.000000
West Virginia,2011,9,454.000000,91.000000,8.000000,4.323850,596.000000,41.000000,13784.000000
West Virginia,2011,10,386.000000,48.000000,10.000000,2.609330,324.000000,36.000000,12417.000000
West Virginia,2011,11,340.000000,30.000000,2.000000,2.589000,304.000000,37.000000,11742.000000
West Virginia,2011,12,311.000000,17.000000,3.000000,1.354000,159.000000,37.000000,11743.000000
West Virginia,2011,13,276.000000,25.000000,3.000000,1.274120,136.000000,33.000000,10674.000000
West Virginia,2011,14,244.000000,8.000000,1.000000,0.940983,103.000000,36.000000,10946.000000
West Virginia,2011,15,201.000000,6.000000,1.000000,0.704424,75.000000,35.000000,10647.000000
West Virginia,2011,16,199.000000,1.000000,0.000000,0.719499,69.000000,33.000000,9590.000000
West Virginia,2011,17,136.000000,0.000000,1.000000,0.635055,60.000000,33.000000,9448.000000
