REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Wyoming,2010,40,26.000000,0.000000,0.000000,0.632911,32.000000,28.000000,5056.000000
Wyoming,2010,41,28.000000,0.000000,0.000000,0.440621,21.000000,27.000000,4766.000000
Wyoming,2010,42,33.000000,1.000000,0.000000,0.441798,23.000000,28.000000,5206.000000
Wyoming,2010,43,35.000000,0.000000,0.000000,0.490305,22.000000,27.000000,4487.000000
Wyoming,2010,44,32.000000,0.000000,0.000000,0.566636,25.000000,28.000000,4412.000000
Wyoming,2010,45,32.000000,0.000000,0.000000,0.463336,23.000000,27.000000,4964.000000
Wyoming,2010,46,20.000000,0.000000,0.000000,0.744725,36.000000,28.000000,4834.000000
Wyoming,2010,47,16.000000,0.000000,0.000000,0.500147,17.000000,29.000000,3399.000000
Wyoming,2010,48,21.000000,2.000000,0.000000,0.593776,29.000000,28.000000,4884.000000
Wyoming,2010,49,19.000000,0.000000,0.000000,0.418323,20.000000,27.000000,4781.000000
Wyoming,2010,50,24.000000,3.000000,0.000000,0.311785,15.000000,28.000000,4811.000000
Wyoming,2010,51,20.000000,0.000000,0.000000,1.632440,62.000000,29.000000,3798.000000
Wyoming,2010,52,14.000000,3.000000,0.000000,1.463770,60.000000,30.000000,4099.000000
Wyoming,2011,1,42.000000,9.000000,0.000000,0.806285,39.000000,27.000000,4837.000000
Wyoming,2011,2,29.000000,11.000000,0.000000,1.065610,51.000000,27.000000,4786.000000
Wyoming,2011,3,36.000000,9.000000,4.000000,2.363270,105.000000,26.000000,4443.000000
Wyoming,2011,4,50.000000,17.000000,6.000000,2.898000,152.000000,27.000000,5245.000000
Wyoming,2011,5,69.000000,20.000000,5.000000,2.925160,145.000000,26.000000,4957.000000
Wyoming,2011,6,48.000000,16.000000,0.000000,3.377150,167.000000,25.000000,4945.000000
Wyoming,2011,7,64.000000,18.000000,5.000000,2.601460,125.000000,26.000000,4805.000000
Wyoming,2011,8,58.000000,23.000000,6.000000,2.369350,107.000000,25.000000,4516.000000
Wyoming,2011,9,49.000000,13.000000,5.000000,2.286450,106.000000,23.000000,4636.000000
Wyoming,2011,10,33.000000,5.000000,2.000000,1.532820,71.000000,22.000000,4632.000000
Wyoming,2011,11,30.000000,5.000000,4.000000,1.107630,46.000000,20.000000,4153.000000
Wyoming,2011,12,25.000000,1.000000,3.000000,0.770102,34.000000,20.000000,4415.000000
Wyoming,2011,13,32.000000,0.000000,2.000000,1.119020,44.000000,19.000000,3932.000000
Wyoming,2011,14,24.000000,1.000000,1.000000,0.837521,35.000000,19.000000,4179.000000
Wyoming,2011,15,16.000000,0.000000,2.000000,0.515717,21.000000,18.000000,4072.000000
Wyoming,2011,16,18.000000,0.000000,1.000000,0.575576,23.000000,19.000000,3996.000000
Wyoming,2011,17,25.000000,0.000000,2.000000,0.347136,14.000000,19.000000,4033.000000
Wyoming,2011,18,,0.000000,,0.252434,7.000000,17.000000,2773.000000
Wyoming,2011,19,,0.000000,,0.692308,18.000000,16.000000,2600.000000
Wyoming,2011,20,,0.000000,,0.424809,10.000000,16.000000,2354.000000
Wyoming,2011,21,,0.000000,,0.166875,4.000000,15.000000,2397.000000
Wyoming,2011,22,,0.000000,,0.182232,4.000000,16.000000,2195.000000
Wyoming,2011,23,,0.000000,,0.202840,4.000000,14.000000,1972.000000
Wyoming,2011,24,,0.000000,,0.326087,6.000000,13.000000,1840.000000
Wyoming,2011,25,,0.000000,,0.279799,5.000000,14.000000,1787.000000
Wyoming,2011,26,,0.000000,,0.102934,2.000000,14.000000,1943.000000
Wyoming,2011,27,,0.000000,,0.170455,3.000000,14.000000,1760.000000
Wyoming,2011,28,,0.000000,,0.251256,4.000000,13.000000,1592.000000
Wyoming,2011,29,,0.000000,,0.188679,3.000000,11.000000,1590.000000
Wyoming,2011,30,,0.000000,,0.121212,2.000000,11.000000,1650.000000
Wyoming,2011,31,,0.000000,,0.095057,2.000000,13.000000,2104.000000
Wyoming,2011,32,,0.000000,,0.121457,3.000000,13.000000,2470.000000
Wyoming,2011,33,,0.000000,,0.230203,5.000000,12.000000,2172.000000
Wyoming,2011,34,,0.000000,,0.154381,4.000000,13.000000,2591.000000
Wyoming,2011,35,,0.000000,,0.263736,6.000000,12.000000,2275.000000
Wyoming,2011,36,,0.000000,,0.420561,9.000000,13.000000,2140.000000
Wyoming,2011,37,,0.000000,,0.386399,10.000000,13.000000,2588.000000
Wyoming,2011,38,,0.000000,,0.713719,18.000000,13.000000,2522.000000
Wyoming,2011,39,,0.000000,,0.439722,12.000000,13.000000,2729.000000
Wyoming,2011,40,10.000000,0.000000,0.000000,0.445765,24.000000,25.000000,5384.000000
Wyoming,2011,41,13.000000,0.000000,0.000000,0.435066,20.000000,24.000000,4597.000000
Wyoming,2011,42,10.000000,0.000000,0.000000,0.774239,44.000000,27.000000,5683.000000
Wyoming,2011,43,10.000000,0.000000,0.000000,0.767583,43.000000,26.000000,5602.000000
Wyoming,2011,44,,0.000000,,0.799201,40.000000,27.000000,5005.000000
Wyoming,2011,45,17.000000,0.000000,0.000000,0.715052,40.000000,28.000000,5594.000000
Wyoming,2011,46,24.000000,0.000000,0.000000,0.649906,38.000000,27.000000,5847.000000
Wyoming,2011,47,12.000000,0.000000,0.000000,0.605602,24.000000,28.000000,3963.000000
Wyoming,2011,48,12.000000,0.000000,0.000000,0.631427,35.000000,25.000000,5543.000000
Wyoming,2011,49,10.000000,0.000000,0.000000,0.544806,29.000000,27.000000,5323.000000
Wyoming,2011,50,,0.000000,,0.415958,22.000000,26.000000,5289.000000
Wyoming,2011,51,10.000000,1.000000,0.000000,0.449006,21.000000,27.000000,4677.000000
