Date,Type,Name,Cases_New
2020-01-22,Confirmed,Atlanta,0
2020-01-23,Confirmed,Atlanta,0
2020-01-24,Confirmed,Atlanta,0
2020-01-25,Confirmed,Atlanta,0
2020-01-26,Confirmed,Atlanta,0
2020-01-27,Confirmed,Atlanta,0
2020-01-28,Confirmed,Atlanta,0
2020-01-29,Confirmed,Atlanta,0
2020-01-30,Confirmed,Atlanta,0
2020-01-31,Confirmed,Atlanta,0
2020-02-01,Confirmed,Atlanta,0
2020-02-02,Confirmed,Atlanta,0
2020-02-03,Confirmed,Atlanta,0
2020-02-04,Confirmed,Atlanta,0
2020-02-05,Confirmed,Atlanta,0
2020-02-06,Confirmed,Atlanta,0
2020-02-07,Confirmed,Atlanta,0
2020-02-08,Confirmed,Atlanta,0
2020-02-09,Confirmed,Atlanta,0
2020-02-10,Confirmed,Atlanta,0
2020-02-11,Confirmed,Atlanta,0
2020-02-12,Confirmed,Atlanta,0
2020-02-13,Confirmed,Atlanta,0
2020-02-14,Confirmed,Atlanta,0
2020-02-15,Confirmed,Atlanta,0
2020-02-16,Confirmed,Atlanta,0
2020-02-17,Confirmed,Atlanta,0
2020-02-18,Confirmed,Atlanta,0
2020-02-19,Confirmed,Atlanta,0
2020-02-20,Confirmed,Atlanta,0
2020-02-21,Confirmed,Atlanta,0
2020-02-22,Confirmed,Atlanta,0
2020-02-23,Confirmed,Atlanta,0
2020-02-24,Confirmed,Atlanta,0
2020-02-25,Confirmed,Atlanta,0
2020-02-26,Confirmed,Atlanta,0
2020-02-27,Confirmed,Atlanta,0
2020-02-28,Confirmed,Atlanta,0.29
2020-02-29,Confirmed,Atlanta,0.57
2020-03-01,Confirmed,Atlanta,0.57
2020-03-02,Confirmed,Atlanta,0.57
2020-03-03,Confirmed,Atlanta,0.57
2020-03-04,Confirmed,Atlanta,1
2020-03-05,Confirmed,Atlanta,1.14
2020-03-06,Confirmed,Atlanta,1.43
2020-03-07,Confirmed,Atlanta,1.57
2020-03-08,Confirmed,Atlanta,2.14
