Name,Population
Atlanta,1823234
Beijing,21540000
Berlin,3644826
Birmingham,658573
Boston,2415606
Chicago,5150233
Cologne,1085664
Dallas,2635516
Delhi,18710922
Denver,727211
Fresno,999101
Hamburg,1841179
Hiroshima,2804177
Hong Kong,7496988
Honolulu,974563
Houston,4713325
Kyoto,2582957
Los Angeles,10039107
Madrid,6641649
Mexico City,9018645
Miami,2716940
Moscow,12506468
New York,16032857
Oakland,1671329
Osaka,8809363
Phoenix,4485414
Rio de Janeiro,6718903
Rome,5879082
Sacramento,1552058
San Diego,3338330
San Francisco,881549
Santa Clara,1927852
Sao Paulo,12252023
Seattle,2252782
Shanghai,24240000
St Louis,994205
Stockholm,2377081
Stuttgart,4143418
Tianjin,15600000
Tokyo,13920663
Toronto,14711827
Tucson,1047279
Vancouver,5110917
Xinjiang,24870000
Manchester,553230
London,8170000
Birmingham_UK,1149000
