date,state,deathIncrease_cor
2020-01-22,Atlanta,0
2020-01-23,Atlanta,0
2020-01-24,Atlanta,0
2020-01-25,Atlanta,0
2020-01-26,Atlanta,0
2020-01-27,Atlanta,0
2020-01-28,Atlanta,0
2020-01-29,Atlanta,0
2020-01-30,Atlanta,0
2020-01-31,Atlanta,0
2020-02-01,Atlanta,0
2020-02-02,Atlanta,0
2020-02-03,Atlanta,0
2020-02-04,Atlanta,0
2020-02-05,Atlanta,0
2020-02-06,Atlanta,0
2020-02-07,Atlanta,0
2020-02-08,Atlanta,0
2020-02-09,Atlanta,0
2020-02-10,Atlanta,0
2020-02-11,Atlanta,0
2020-02-12,Atlanta,0
2020-02-13,Atlanta,0
2020-02-14,Atlanta,0
2020-02-15,Atlanta,0
2020-02-16,Atlanta,0
2020-02-17,Atlanta,0
2020-02-18,Atlanta,0
2020-02-19,Atlanta,0
2020-02-20,Atlanta,0
2020-02-21,Atlanta,0
2020-02-22,Atlanta,0
2020-02-23,Atlanta,0
2020-02-24,Atlanta,0
2020-02-25,Atlanta,0
2020-02-26,Atlanta,0
2020-02-27,Atlanta,0
2020-02-28,Atlanta,0
2020-02-29,Atlanta,0
2020-03-01,Atlanta,0
2020-03-02,Atlanta,0
2020-03-03,Atlanta,0
2020-03-04,Atlanta,0
2020-03-05,Atlanta,0
2020-03-06,Atlanta,0
2020-03-07,Atlanta,0
2020-03-08,Atlanta,0
2020-03-09,Atlanta,0
2020-03-10,Atlanta,0
2020-03-11,Atlanta,0
2020-03-12,Atlanta,0
2020-03-13,Atlanta,0
2020-03-14,Atlanta,0
2020-03-15,Atlanta,0
2020-03-16,Atlanta,0.37
2020-03-17,Atlanta,0.74
2020-03-18,Atlanta,0.93
2020-03-19,Atlanta,0.93
2020-03-20,Atlanta,0.93
2020-03-21,Atlanta,1.11
2020-03-22,Atlanta,1.11
2020-03-23,Atlanta,0.74
2020-03-24,Atlanta,2.23
2020-03-25,Atlanta,4.64
2020-03-26,Atlanta,4.83
2020-03-27,Atlanta,5.76
2020-03-28,Atlanta,6.69
2020-03-29,Atlanta,7.61
2020-03-30,Atlanta,9.84
2020-03-31,Atlanta,9.1
2020-04-01,Atlanta,7.24
2020-04-02,Atlanta,7.8
2020-04-03,Atlanta,8.36
2020-04-04,Atlanta,10.21
2020-04-05,Atlanta,10.96
2020-04-06,Atlanta,10.96
2020-04-07,Atlanta,10.96
2020-04-08,Atlanta,10.77
2020-04-09,Atlanta,10.21
2020-04-10,Atlanta,9.66
2020-04-11,Atlanta,9.84
2020-04-12,Atlanta,9.29
2020-04-13,Atlanta,9.29
2020-04-14,Atlanta,12.81
2020-04-15,Atlanta,12.81
2020-04-16,Atlanta,13
2020-04-17,Atlanta,14.86
2020-04-18,Atlanta,13.74
2020-04-19,Atlanta,14.11
2020-04-20,Atlanta,14.11
2020-04-21,Atlanta,11.33
2020-04-22,Atlanta,10.77
2020-04-23,Atlanta,11.51
2020-04-24,Atlanta,14.3
2020-04-25,Atlanta,14.67
2020-04-26,Atlanta,16.9
2020-04-27,Atlanta,15.79
2020-04-28,Atlanta,16.34
2020-04-29,Atlanta,17.46
2020-04-30,Atlanta,17.46
2020-05-01,Atlanta,15.23
2020-05-02,Atlanta,13.93
2020-05-03,Atlanta,12.81
2020-05-04,Atlanta,12.81
2020-05-05,Atlanta,15.6
2020-05-06,Atlanta,14.49
2020-05-07,Atlanta,13.37
2020-05-08,Atlanta,11.14
2020-05-09,Atlanta,11.89
2020-05-10,Atlanta,10.77
2020-05-11,Atlanta,13
2020-05-12,Atlanta,11.51
2020-05-13,Atlanta,12.26
2020-05-14,Atlanta,12.63
2020-05-15,Atlanta,15.23
2020-05-16,Atlanta,14.86
2020-05-17,Atlanta,13.74
2020-05-18,Atlanta,19.31
2020-05-19,Atlanta,19.31
2020-05-20,Atlanta,19.69
2020-05-21,Atlanta,19.31
2020-05-22,Atlanta,17.46
2020-05-23,Atlanta,20.8
2020-05-24,Atlanta,23.77
2020-05-25,Atlanta,18.94
2020-05-26,Atlanta,17.09
2020-05-27,Atlanta,16.34
2020-05-28,Atlanta,21.17
2020-05-29,Atlanta,21.91
2020-05-30,Atlanta,17.46
2020-05-31,Atlanta,15.23
2020-06-01,Atlanta,13.37
2020-06-02,Atlanta,12.26
2020-06-03,Atlanta,13
2020-06-04,Atlanta,8.17
2020-06-05,Atlanta,7.06
2020-06-06,Atlanta,16.34
2020-06-07,Atlanta,15.97
2020-06-08,Atlanta,14.86
2020-06-09,Atlanta,17.83
2020-06-10,Atlanta,19.31
2020-06-11,Atlanta,19.69
2020-06-12,Atlanta,21.17
2020-06-13,Atlanta,14.86
2020-06-14,Atlanta,16.71
2020-06-15,Atlanta,17.46
2020-06-16,Atlanta,17.09
