city,max_s0,min_s0
Atlanta,0.663889,0.536111
Beijing,0.633333,0.395833
Berlin,0.690278,0.393056
Birmingham,0.691667,0.394444
Birmingham Alabama,0.594444,0.466667
Boston,0.611111,0.426389
Chicago,0.618056,0.4375
Cologne,0.715278,0.440278
Dallas,0.647222,0.525
Delhi,0.604167,0.447222
Denver,0.626389,0.459722
Fresno,0.618056,0.470833
Hamburg,0.716667,0.402778
Hiroshima,0.606944,0.4125
Hong Kong,0.590278,0.469444
Honolulu,0.598611,0.483333
Houston,0.633333,0.527778
Kyoto,0.590278,0.391667
Lima,0.541667,0.461111
London,0.675,0.393056
Los Angeles,0.602778,0.473611
Madrid,0.719444,0.561111
Manchester,0.701389,0.3875
Melbourne,0.633333,0.484722
Mexico City,0.631944,0.543056
Miami,0.630556,0.538889
Moscow,0.748611,0.311111
New York,0.622222,0.45
Oakland,0.633333,0.480556
Osaka,0.590278,0.394444
Phoenix,0.629167,0.441667
Rio de Janeiro,0.547222,0.415278
Rome,0.636111,0.463889
Sacramento,0.631944,0.473611
San Diego,0.594444,0.472222
San Francisco,0.634722,0.481944
Santa Clara,0.629167,0.480556
Santiago,0.701389,0.534722
Sao Paulo,0.568056,0.431944
Seattle,0.6625,0.431944
Shanghai,0.575,0.401389
St Louis,0.625,0.466667
Stockholm,0.729167,0.293056
Stuttgart,0.688889,0.443056
Tianjin,0.625,0.394444
Tokyo,0.570833,0.366667
Toronto,0.661111,0.465278
Tucson,0.619444,0.438889
Vancouver,0.677778,0.425
Xinjiang,0.816667,0.555556
