date,state,deathIncrease_cor
2020-03-07,AL,0
2020-03-08,AL,0
2020-03-09,AL,0
2020-03-10,AL,0
2020-03-11,AL,0
2020-03-12,AL,0
2020-03-13,AL,0
2020-03-14,AL,0
2020-03-15,AL,0
2020-03-16,AL,0
2020-03-17,AL,0
2020-03-18,AL,0
2020-03-19,AL,0
2020-03-20,AL,0
2020-03-21,AL,0
2020-03-22,AL,0
2020-03-23,AL,0.142857142857143
2020-03-24,AL,0.428571428571429
2020-03-25,AL,0.428571428571429
2020-03-26,AL,0.571428571428571
2020-03-27,AL,0.857142857142857
2020-03-28,AL,1.85714285714286
2020-03-29,AL,3.71428571428571
2020-03-30,AL,4.42857142857143
2020-03-31,AL,4.57142857142857
2020-04-01,AL,5.71428571428571
2020-04-02,AL,5.85714285714286
2020-04-03,AL,6.28571428571429
2020-04-04,AL,6.14285714285714
2020-04-05,AL,5.71428571428571
2020-04-06,AL,6
2020-04-07,AL,6.42857142857143
2020-04-08,AL,6.85714285714286
2020-04-09,AL,6.85714285714286
2020-04-10,AL,7
2020-04-11,AL,7.71428571428571
2020-04-12,AL,7.85714285714286
2020-04-13,AL,8.42857142857143
2020-04-14,AL,9.14285714285714
2020-04-15,AL,7.85714285714286
2020-04-16,AL,8.71428571428571
2020-04-17,AL,9.71428571428571
2020-04-18,AL,9.57142857142857
2020-04-19,AL,10.4285714285714
2020-04-20,AL,9.14285714285714
2020-04-21,AL,7.57142857142857
2020-04-22,AL,9.42857142857143
2020-04-23,AL,8.85714285714286
2020-04-24,AL,7.85714285714286
2020-04-25,AL,9.28571428571428
2020-04-26,AL,7.28571428571429
2020-04-27,AL,10.2857142857143
2020-04-28,AL,11.7142857142857
2020-04-29,AL,10.8571428571429
2020-04-30,AL,10.5714285714286
2020-05-01,AL,10.5714285714286
2020-05-02,AL,10.1428571428571
2020-05-03,AL,13.5714285714286
2020-05-04,AL,11.4285714285714
2020-05-05,AL,13.7142857142857
2020-05-06,AL,14.2857142857143
2020-05-07,AL,14.7142857142857
2020-05-08,AL,15
2020-05-09,AL,16.5714285714286
2020-05-10,AL,15.5714285714286
2020-05-11,AL,16.8571428571429
2020-05-12,AL,14.4285714285714
2020-05-13,AL,13.8571428571429
2020-05-14,AL,13.5714285714286
2020-05-15,AL,12.5714285714286
2020-05-16,AL,10.7142857142857
2020-05-17,AL,9.71428571428571
2020-05-18,AL,8.85714285714286
2020-05-19,AL,8.71428571428571
2020-05-20,AL,8.71428571428571
2020-05-21,AL,9
2020-05-22,AL,10.4285714285714
2020-05-23,AL,10.1428571428571
2020-05-24,AL,9.14285714285714
2020-05-25,AL,8.71428571428572
2020-05-26,AL,9.71428571428572
2020-05-27,AL,10.2857142857143
2020-05-28,AL,11.4285714285714
2020-05-29,AL,12
2020-05-30,AL,10.8571428571429
2020-05-31,AL,10.2857142857143
2020-06-01,AL,9
2020-06-02,AL,10.1428571428571
2020-06-03,AL,10.1428571428571
2020-06-04,AL,8.71428571428571
2020-06-05,AL,10.2857142857143
2020-06-06,AL,11.1428571428571
2020-06-07,AL,13
2020-06-08,AL,14.5714285714286
2020-06-09,AL,13.2857142857143
2020-06-10,AL,12
2020-06-11,AL,11.5714285714286
2020-06-12,AL,8
2020-06-13,AL,8
2020-06-14,AL,6.57142857142857
2020-06-15,AL,7.85714285714286
2020-06-16,AL,7.57142857142857
2020-06-17,AL,9.28571428571428
2020-06-18,AL,9.42857142857143
2020-06-19,AL,9.57142857142857
2020-06-20,AL,11.2857142857143
2020-06-21,AL,14.4285714285714
2020-06-22,AL,12.2857142857143
2020-06-23,AL,12.1428571428571
2020-06-24,AL,11.5714285714286
2020-06-25,AL,11.4285714285714
2020-06-26,AL,12.5714285714286
2020-06-27,AL,12.2857142857143
2020-06-28,AL,11.5714285714286
2020-06-29,AL,12.7142857142857
2020-06-30,AL,14.1428571428571
2020-07-01,AL,12.5714285714286
2020-07-02,AL,12.5714285714286
2020-07-03,AL,11.1428571428571
2020-07-04,AL,11.8571428571429
2020-07-05,AL,12.2857142857143
2020-07-06,AL,11.8571428571429
2020-07-07,AL,14
2020-07-08,AL,15.2857142857143
2020-07-09,AL,16.2857142857143
2020-07-10,AL,16.7142857142857
2020-07-11,AL,18.7142857142857
2020-07-12,AL,21.8571428571429
2020-07-13,AL,23.1428571428571
2020-07-14,AL,23
2020-07-15,AL,24.5714285714286
2020-07-16,AL,23.7142857142857
2020-07-17,AL,23.8571428571429
