,AL,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK
2019-01-01,555.197,508.785,480.883,542.623,516.709,590.261,490.056,479.249,425.183,376.336,572.802,571.696,334.961,536.916,530.036,511.313,457.173,255.401,547.893,512.773,435.484,493.093,409.119,546.556,552.095,586.403,470.093,368.271,470.779,566.932,524.614,534.59,384.054,521.768,500.07,565.648,458.805
2019-01-02,555.946,509.771,482.025,543.433,517.655,590.843,491.144,480.402,426.667,378.17,573.467,572.373,327.742,537.776,530.911,512.285,458.46,258.613,548.68,513.739,436.895,494.166,410.708,547.348,552.859,587.005,471.298,339.11,471.978,567.631,525.515,535.441,384.088,522.686,501.102,566.345,460.083
2019-01-03,556.761,510.842,483.265,544.313,518.682,591.475,492.325,481.653,428.276,380.157,574.189,573.107,330.268,538.71,531.862,513.34,459.855,262.061,549.536,514.788,438.427,495.332,412.43,548.208,553.689,587.66,472.605,352.416,473.278,568.39,526.495,536.366,387.693,523.683,502.223,567.103,461.469
2019-01-04,557.639,511.997,484.601,545.262,519.79,592.158,493.598,483.001,430.009,382.294,574.969,573.899,335.537,539.717,532.888,514.478,461.358,265.733,550.459,515.919,440.076,496.588,414.284,549.136,554.585,588.366,474.014,354.606,474.68,569.208,527.551,537.363,390.25,524.758,503.431,567.92,462.961
2019-01-05,558.581,513.234,486.032,546.28,520.976,592.89,494.962,484.444,431.861,384.576,575.805,574.748,338.413,540.796,533.987,515.697,462.966,269.617,551.449,517.131,441.841,497.933,416.267,550.13,555.545,589.123,475.522,356.934,476.181,570.085,528.683,538.432,392.524,525.91,504.725,568.797,464.558
2019-01-06,559.585,514.553,487.556,547.366,522.241,593.671,496.414,485.981,433.833,387.001,576.696,575.653,341.455,541.945,535.158,516.997,464.677,273.704,552.503,518.422,443.72,499.365,418.375,551.191,556.569,589.931,477.128,359.395,477.779,571.021,529.889,539.572,394.936,527.138,506.104,569.733,466.259
2019-01-07,560.651,515.951,489.171,548.518,523.582,594.5,497.955,487.611,435.919,389.563,577.642,576.614,340.277,543.163,536.401,518.375,466.49,277.982,553.622,519.792,445.709,500.884,420.606,552.316,557.656,590.788,478.829,324.118,479.473,572.012,531.169,540.782,395.373,528.44,507.567,570.725,468.059
2019-01-08,561.777,517.428,490.875,549.735,524.998,595.377,499.58,489.33,438.118,392.26,578.643,577.628,346.099,544.45,537.714,519.831,468.402,282.44,554.805,521.238,447.807,502.488,422.957,553.506,558.804,591.694,480.624,358.265,481.261,573.061,532.522,542.059,402.203,529.816,509.111,571.775,469.959
2019-01-09,562.963,518.981,492.667,551.016,526.488,596.301,501.291,491.138,440.428,395.087,579.696,578.697,349.63,545.803,539.095,521.362,470.41,287.068,556.049,522.759,450.011,504.174,425.425,554.757,560.013,592.648,482.512,361.35,483.14,574.164,533.945,543.404,405.018,531.263,510.735,572.88,471.954
2019-01-10,564.207,520.61,494.545,552.36,528.05,597.27,503.083,493.032,442.844,398.04,580.801,579.817,353.302,547.222,540.544,522.968,472.514,291.856,557.355,524.355,452.317,505.942,428.006,556.071,561.281,593.65,484.489,364.549,485.109,575.321,535.437,544.815,407.954,532.782,512.439,574.04,474.044
2019-01-11,565.508,522.312,496.506,553.766,529.684,598.285,504.956,495.011,445.364,401.115,581.958,580.99,356.733,548.705,542.06,524.647,474.709,296.794,558.721,526.022,454.725,507.789,430.697,557.444,562.608,594.698,486.553,385.129,487.166,576.532,536.998,546.29,409.962,534.369,514.218,575.253,476.226
2019-01-12,566.866,524.087,498.549,555.232,531.386,599.344,506.907,497.071,447.986,404.308,583.165,582.213,360.685,550.25,543.64,526.397,476.995,301.872,560.145,527.761,457.229,509.713,433.495,558.877,563.992,595.792,488.703,388.623,489.308,577.794,538.626,547.829,413.142,536.024,516.074,576.52,478.497
2019-01-13,568.278,525.932,500.672,556.757,533.157,600.447,508.935,499.213,450.705,407.614,584.421,583.485,364.76,551.857,545.283,528.216,479.368,307.081,561.626,529.568,459.829,511.713,436.396,560.368,565.432,596.93,490.937,392.216,491.533,579.108,540.318,549.429,416.43,537.744,518.002,577.837,480.854
2019-01-14,569.745,527.845,502.872,558.341,534.993,601.592,511.038,501.432,453.52,411.029,585.725,584.806,369.508,553.523,546.989,530.104,481.826,312.414,563.164,531.443,462.521,513.787,439.397,561.915,566.927,598.112,493.251,390.366,493.839,580.472,542.075,551.09,416.529,539.53,520.002,579.206,483.297
2019-01-15,571.264,529.826,505.148,559.981,536.894,602.779,513.214,503.727,456.427,414.549,587.076,586.174,373.828,555.248,548.754,532.057,484.367,317.86,564.756,533.384,465.301,515.932,442.495,563.517,568.476,599.337,495.644,394.394,496.223,581.884,543.893,552.81,420.054,541.378,522.071,580.623,485.821
2019-01-16,572.834,531.872,507.497,561.676,538.858,604.006,515.46,506.096,459.422,418.17,588.473,587.589,378.252,557.03,550.579,534.075,486.987,323.413,566.403,535.388,468.168,518.147,445.685,565.174,570.077,600.604,498.114,398.502,498.684,583.345,545.772,554.587,423.673,543.288,524.209,582.089,488.425
2019-01-17,574.454,533.981,509.918,563.425,540.883,605.274,517.775,508.537,462.503,421.888,589.916,589.048,382.538,558.866,552.461,536.156,489.686,329.066,568.101,537.455,471.119,520.43,448.966,566.883,571.728,601.912,500.658,416.021,501.218,584.851,547.71,556.42,426.702,545.257,526.412,583.602,491.106
2019-01-18,576.123,536.152,512.408,565.226,542.968,606.58,520.157,511.047,465.667,425.698,591.402,590.552,387.171,560.757,554.399,538.298,492.459,334.81,569.85,539.582,474.15,522.779,452.333,568.643,573.43,603.26,503.274,420.517,503.825,586.404,549.705,558.308,430.506,547.285,528.68,585.161,493.861
2019-01-19,577.84,538.383,514.964,567.078,545.11,607.925,522.603,513.624,468.911,429.597,592.931,592.099,389.479,562.699,556.391,540.5,495.305,340.639,571.648,541.769,477.258,525.192,455.783,570.453,575.18,604.647,505.959,405.458,506.501,588.0,551.757,560.25,434.054,549.369,531.009,586.764,496.689
2019-01-20,579.603,540.672,517.585,568.98,547.308,609.306,525.112,516.267,472.232,433.58,594.501,593.688,394.803,564.692,558.436,542.758,498.221,346.547,573.495,544.012,480.441,527.667,459.312,572.312,576.977,606.072,508.712,425.334,509.244,589.64,553.862,562.242,438.024,551.508,533.399,588.411,499.586
