,AL,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK
2019-01-01,431.057,472.379,525.218,469.112,492.085,414.529,475.873,505.844,526.425,558.656,464.469,502.746,577.706,499.684,452.433,454.558,524.693,682.335,459.08,489.097,536.276,512.666,543.541,433.11,426.601,432.115,527.738,559.957,474.573,484.839,476.374,438.695,531.168,462.879,457.181,487.504,501.62
2019-01-02,431.158,472.362,525.124,469.182,492.087,414.713,475.805,505.744,526.161,558.218,464.611,502.882,581.935,499.729,452.471,454.548,524.527,681.231,459.161,489.09,536.048,512.606,543.225,433.189,426.694,432.288,527.613,575.258,474.451,484.963,476.399,438.745,531.608,462.896,457.142,487.631,501.459
2019-01-03,431.22,472.297,524.975,469.212,492.044,414.865,475.686,505.59,525.829,557.697,464.719,502.983,581.141,499.731,452.465,454.491,524.3,680.004,459.202,489.036,535.754,512.494,542.837,433.229,426.748,432.429,527.43,569.011,474.272,485.052,476.379,438.753,530.275,462.868,457.052,487.721,501.237
2019-01-04,431.244,472.184,524.771,469.201,491.954,414.986,475.514,505.381,525.428,557.096,464.792,503.049,578.969,499.691,452.416,454.386,524.014,678.659,459.204,488.934,535.395,512.331,542.376,433.228,426.763,432.538,527.191,568.316,474.036,485.105,476.315,438.718,529.46,462.794,456.913,487.775,500.956
2019-01-05,431.229,472.023,524.514,469.149,491.818,415.075,475.29,505.117,524.961,556.415,464.83,503.08,577.986,499.608,452.324,454.234,523.668,677.195,459.166,488.786,534.972,512.116,541.845,433.188,426.74,432.614,526.895,567.547,473.744,485.122,476.207,438.64,528.78,462.675,456.723,487.793,500.615
2019-01-06,431.176,471.814,524.203,469.056,491.636,415.133,475.014,504.799,524.428,555.656,464.833,503.076,576.914,499.483,452.188,454.035,523.263,675.61,459.088,488.59,534.485,511.85,541.243,433.107,426.677,432.659,526.543,566.705,473.396,485.103,476.054,438.52,528.024,462.511,456.484,487.775,500.216
2019-01-07,431.085,471.558,523.839,468.922,491.408,415.16,474.688,504.428,523.829,554.82,464.801,503.036,578.041,499.315,452.009,453.789,522.8,673.917,458.97,488.348,533.935,511.533,540.573,432.986,426.576,432.671,526.136,585.131,472.993,485.047,475.856,438.357,528.232,462.303,456.196,487.72,499.76
2019-01-08,430.956,471.254,523.422,468.748,491.134,415.154,474.31,504.003,523.166,553.909,464.734,502.962,575.564,499.105,451.787,453.496,522.28,672.126,458.813,488.06,533.323,511.167,539.834,432.825,426.435,432.65,525.674,568.446,472.535,484.956,475.615,438.153,525.251,462.049,455.859,487.629,499.245
2019-01-09,430.788,470.904,522.952,468.533,490.815,415.117,473.881,503.526,522.439,552.925,464.632,502.852,574.225,498.854,451.521,453.156,521.702,670.242,458.615,487.725,532.649,510.75,539.029,432.625,426.256,432.597,525.157,567.285,472.022,484.828,475.329,437.906,524.271,461.751,455.473,487.502,498.674
2019-01-10,430.582,470.507,522.431,468.277,490.451,415.048,473.403,502.997,521.65,551.869,464.496,502.706,572.807,498.56,451.214,452.771,521.069,668.268,458.379,487.344,531.915,510.283,538.158,432.384,426.038,432.512,524.586,566.058,471.456,484.665,475.0,437.617,523.22,461.409,455.04,487.338,498.047
2019-01-11,430.339,470.063,521.859,467.982,490.042,414.946,472.875,502.416,520.799,550.742,464.324,502.526,571.535,498.226,450.863,452.339,520.379,666.211,458.103,486.918,531.121,509.768,537.223,432.105,425.782,432.394,523.963,556.224,470.837,484.465,474.627,437.287,522.615,461.023,454.558,487.138,497.365
2019-01-12,430.057,469.574,521.236,467.646,489.588,414.814,472.298,501.785,519.888,549.547,464.117,502.311,569.958,497.85,450.471,451.863,519.635,664.073,457.788,486.447,530.268,509.204,536.224,431.786,425.487,432.243,523.286,554.836,470.165,484.23,474.212,436.916,521.425,460.594,454.029,486.902,496.629
2019-01-13,429.738,469.04,520.563,467.271,489.091,414.649,471.673,501.103,518.918,548.285,463.876,502.06,568.31,497.433,450.037,451.341,518.837,661.86,457.434,485.931,529.359,508.593,535.164,431.428,425.154,432.06,522.558,553.39,469.442,483.959,473.754,436.503,520.17,460.121,453.453,486.631,495.839
2019-01-14,429.381,468.461,519.841,466.857,488.55,414.452,470.999,500.371,517.89,546.958,463.6,501.776,566.375,496.977,449.562,450.775,517.986,659.575,457.042,485.371,528.392,507.934,534.044,431.031,424.784,431.845,521.779,554.838,468.667,483.653,473.253,436.05,520.489,459.606,452.831,486.323,494.996
2019-01-15,428.988,467.837,519.07,466.403,487.966,414.224,470.279,499.591,516.806,545.567,463.29,501.456,564.584,496.48,449.045,450.165,517.083,657.222,456.612,484.768,527.371,507.228,532.864,430.596,424.375,431.597,520.95,553.164,467.843,483.311,472.711,435.557,519.096,459.049,452.164,485.981,494.101
2019-01-16,428.558,467.17,518.252,465.911,487.34,413.965,469.512,498.763,515.665,544.116,462.946,501.103,562.73,495.944,448.488,449.512,516.129,654.805,456.144,484.121,526.295,506.476,531.627,430.123,423.93,431.317,520.072,551.44,466.969,482.934,472.127,435.024,517.645,458.449,451.451,485.603,493.155
2019-01-17,428.091,466.46,517.386,465.381,486.671,413.674,468.699,497.887,514.471,542.604,462.568,500.715,560.975,495.368,447.891,448.816,515.125,652.327,455.638,483.432,525.166,505.679,530.333,429.612,423.448,431.006,519.145,543.105,466.047,482.523,471.502,434.451,516.476,457.809,450.694,485.19,492.16
2019-01-18,427.588,465.707,516.474,464.812,485.961,413.352,467.842,496.965,513.223,541.035,462.156,500.293,558.994,494.755,447.255,448.078,514.071,649.791,455.095,482.7,523.985,504.837,528.985,429.064,422.929,430.663,518.17,541.173,465.078,482.077,470.837,433.839,514.909,457.127,449.894,484.742,491.115
2019-01-19,427.049,464.912,515.517,464.206,485.21,412.999,466.94,495.998,511.923,539.409,461.711,499.839,558.149,494.103,446.579,447.298,512.97,647.2,454.515,481.927,522.753,503.952,527.583,428.479,422.374,430.288,517.149,549.083,464.062,481.598,470.133,433.189,513.455,456.405,449.05,484.26,490.023
2019-01-20,426.475,464.076,514.515,463.563,484.419,412.615,465.994,494.986,510.573,537.729,461.233,499.35,555.799,493.414,445.864,446.477,511.82,644.558,453.9,481.114,521.472,503.023,526.129,427.857,421.783,429.882,516.081,539.443,463.0,481.084,469.388,432.501,511.781,455.644,448.164,483.745,488.883
2019-01-21,425.866,463.2,513.469,462.884,483.588,412.201,465.005,493.929,509.174,535.996,460.723,498.83,553.645,492.687,445.112,445.616,510.625,641.866,453.248,480.26,520.142,502.051,524.624,427.199,421.157,429.445,514.969,537.289,461.893,480.537,468.605,431.775,510.057,454.844,447.236,483.195,487.697
2019-01-22,425.223,462.283,512.381,462.169,482.718,411.757,463.975,492.83,507.726,534.212,460.18,498.276,552.065,491.925,444.322,444.715,509.384,639.129,452.561,479.367,518.765,501.038,523.07,426.506,420.496,428.978,513.813,545.468,460.742,479.957,467.784,431.012,508.284,454.005,446.267,482.612,486.467
2019-01-23,424.545,461.327,511.25,461.418,481.81,411.283,462.903,491.688,506.232,532.378,459.604,497.691,549.807,491.126,443.495,443.776,508.1,636.347,451.839,478.435,517.342,499.985,521.468,425.778,419.8,428.48,512.613,543.063,459.548,479.344,466.926,430.213,506.464,453.128,445.258,481.997,485.192
2019-01-24,423.834,460.333,510.078,460.632,480.864,410.779,461.791,490.506,504.692,530.497,458.998,497.074,547.708,490.292,442.632,442.797,506.772,633.524,451.082,477.465,515.874,498.891,519.82,425.015,419.071,427.952,511.372,545.495,458.312,478.699,466.03,429.378,504.598,452.214,444.21,481.349,483.874
2019-01-25,423.09,459.3,508.866,459.811,479.881,410.246,460.64,489.282,503.108,528.569,458.36,496.426,545.358,489.424,441.733,441.782,505.401,630.661,450.292,476.457,514.362,497.758,518.126,424.218,418.308,427.395,510.089,542.959,457.035,478.022,465.098,428.507,502.688,451.263,443.123,480.669,482.515
2019-01-26,422.313,458.231,507.614,458.957,478.861,409.684,459.449,488.019,501.48,526.596,457.691,495.747,542.968,488.522,440.798,440.729,503.99,627.762,449.469,475.413,512.808,496.586,516.388,423.388,417.512,426.808,508.766,545.318,455.717,477.314,464.131,427.602,500.735,450.277,441.998,479.957,481.114
2019-01-27,421.504,457.125,506.324,458.069,477.806,409.094,458.221,486.718,499.811,524.581,456.992,495.037,540.537,487.586,439.83,439.64,502.538,624.826,448.612,474.333,511.212,495.377,514.608,422.524,416.683,426.192,507.404,542.67,454.361,476.575,463.128,426.663,498.74,449.255,440.836,479.215,479.673
2019-01-28,420.663,455.984,504.995,457.149,476.716,408.475,456.956,485.379,498.101,522.523,456.263,494.298,538.068,486.617,438.827,438.516,501.048,621.857,447.724,473.217,509.576,494.13,512.787,421.628,415.823,425.547,506.003,541.27,452.966,475.805,462.091,425.69,496.706,448.199,439.638,478.441,478.194
2019-01-29,419.792,454.807,503.631,456.196,475.592,407.829,455.654,484.003,496.351,520.425,455.505,493.529,535.562,485.617,437.791,437.357,499.519,618.857,446.803,472.067,507.9,492.848,510.925,420.701,414.932,424.875,504.564,538.561,451.533,475.006,461.021,424.685,494.632,447.109,438.404,477.638,476.676
2019-01-30,418.889,453.597,502.23,455.212,474.434,407.155,454.317,482.591,494.564,518.289,454.717,492.731,533.021,484.584,436.723,436.164,497.953,615.826,445.852,470.883,506.187,491.531,509.025,419.742,414.009,424.175,503.09,535.831,450.064,474.177,459.917,423.647,492.522,445.985,437.135,476.805,475.121
2019-01-31,417.957,452.353,500.794,454.197,473.243,406.454,452.946,481.144,492.738,516.115,453.901,491.904,530.445,483.521,435.623,434.938,496.351,612.766,444.87,469.665,504.436,490.179,507.087,418.752,413.057,423.447,501.579,533.08,448.56,473.319,458.782,422.578,490.375,444.829,435.833,475.943,473.531
2019-02-01,416.996,451.077,499.324,453.152,472.02,405.726,451.541,479.662,490.877,513.904,453.057,491.05,527.837,482.428,434.491,433.68,494.714,609.679,443.858,468.416,502.65,488.794,505.113,417.733,412.074,422.692,500.034,530.307,447.021,472.433,457.614,421.477,488.194,443.642,434.497,475.052,471.905
2019-02-02,416.005,449.768,497.821,452.076,470.766,404.973,450.103,478.148,488.981,511.659,452.186,490.168,525.198,481.305,433.329,432.389,493.043,606.566,442.817,467.134,500.829,487.376,503.103,416.684,411.063,421.911,498.455,527.514,445.448,471.518,456.416,420.347,485.978,442.423,433.129,474.133,470.246
2019-02-03,414.986,448.429,496.285,450.972,469.481,404.193,448.633,476.601,487.051,509.38,451.288,489.259,522.528,480.153,432.137,431.068,491.338,603.429,441.748,465.822,498.974,485.926,501.06,415.606,410.023,421.105,496.844,524.699,443.843,470.577,455.187,419.187,483.731,441.174,431.729,473.187,468.553
2019-02-04,413.94,447.059,494.718,449.839,468.166,403.389,447.131,475.022,485.088,507.069,450.363,488.324,519.83,478.973,430.916,429.716,489.601,600.268,440.65,464.48,497.086,484.445,498.984,414.5,408.956,420.272,495.2,521.837,442.206,469.608,453.929,417.998,481.452,439.895,430.299,472.214,466.828
2019-02-05,412.867,445.66,493.12,448.678,466.822,402.56,445.6,473.413,483.094,504.726,449.412,487.362,517.104,477.766,429.666,428.335,487.833,597.085,439.524,463.108,495.167,482.934,496.875,413.366,407.861,419.415,493.526,518.982,440.537,468.614,452.642,416.78,479.142,438.587,428.838,471.214,465.072
