,MD,IA,DE,OH,PA,NE,WA,PR,AL,AR,NM,TX,CA,KY,GA,WI,OR,MO,VA,TN,LA,NY,MI,ID,FL,AK,IL,MT,MN,IN,MA,KS,NV,VT,CT,NJ,DC,NC,UT,ND,SC,MS,CO,SD,OK,WY,WV,ME,HI,NH,AZ,RI
2019-01-01,568.386,549.499,565.883,557.617,559.693,555.364,509.682,-1.000,603.073,590.146,593.641,611.881,588.831,574.155,599.700,541.868,531.014,572.704,575.029,586.798,611.463,553.135,543.950,529.477,624.862,393.997,556.274,516.648,527.148,559.410,549.818,571.478,579.243,534.071,556.474,560.257,570.307,587.458,559.992,512.165,595.010,606.160,565.902,538.642,588.213,548.650,569.041,536.096,652.197,543.159,598.835,551.072
2019-01-02,569.089,550.299,566.598,558.374,560.438,556.135,510.698,-1.000,603.613,590.747,594.228,612.381,589.442,574.831,600.254,542.706,531.915,573.388,575.699,587.414,611.964,553.912,544.776,530.386,625.301,292.474,557.039,517.623,528.063,560.159,550.612,572.169,579.900,534.946,557.234,560.999,571.000,588.070,560.743,513.162,595.586,606.685,566.622,539.498,588.824,549.457,569.742,536.959,652.520,543.987,599.397,551.860
2019-01-03,569.851,551.166,567.373,559.195,561.247,556.970,511.798,-1.000,604.198,591.398,594.864,612.923,590.105,575.565,600.856,543.614,532.891,574.131,576.427,588.081,612.508,554.756,545.672,531.370,625.777,297.572,557.868,518.679,529.055,560.971,551.472,572.919,580.612,535.893,558.059,561.804,571.752,588.733,561.556,514.241,596.211,607.255,567.403,540.426,589.486,550.331,570.501,537.895,652.869,544.884,600.007,552.713
2019-01-04,570.672,552.099,568.208,560.079,562.117,557.870,512.981,-1.000,604.828,592.100,595.548,613.508,590.819,576.354,601.504,544.591,533.941,574.930,577.211,588.801,613.093,555.664,546.636,532.429,626.290,300.353,558.761,519.816,530.122,561.845,552.399,573.725,581.379,536.914,558.948,562.671,572.563,589.448,562.432,515.403,596.884,607.869,568.243,541.424,590.199,551.272,571.319,538.903,653.245,545.850,600.664,553.633
2019-01-05,571.551,553.097,569.102,561.025,563.050,558.832,514.246,-1.000,605.503,592.851,596.281,614.133,591.582,577.200,602.198,545.637,535.064,575.785,578.049,589.571,613.720,556.637,547.668,533.562,626.840,303.288,559.717,521.031,531.264,562.781,553.391,574.589,582.199,538.006,559.899,563.599,573.430,590.213,563.368,516.645,597.605,608.527,569.142,542.493,590.962,552.279,572.194,539.982,653.648,546.884,601.367,554.617
2019-01-06,572.487,554.160,570.054,562.032,564.042,559.857,515.591,-1.000,606.222,593.651,597.061,614.799,592.395,578.100,602.937,546.750,536.259,576.696,578.943,590.391,614.388,557.672,548.767,534.767,627.425,306.371,560.734,522.324,532.479,563.777,554.448,575.508,583.072,539.169,560.912,564.587,574.353,591.028,564.365,517.967,598.373,609.227,570.099,543.630,591.775,553.350,573.127,541.130,654.076,547.985,602.116,555.665
2019-01-07,573.479,555.287,571.063,563.100,565.094,560.943,517.015,-1.000,606.984,594.500,597.888,615.506,593.256,579.055,603.721,547.930,537.524,577.662,579.890,591.260,615.096,558.770,549.931,536.043,628.046,365.535,561.813,523.693,533.766,564.833,555.568,576.483,583.997,540.401,561.986,565.635,575.333,591.892,565.422,519.367,599.188,609.969,571.113,544.835,592.637,554.486,574.115,542.348,654.530,549.152,602.909,556.777
2019-01-08,574.527,556.476,572.128,564.227,566.205,562.089,518.517,-1.000,607.789,595.395,598.762,616.252,594.165,580.063,604.549,549.175,538.858,578.681,580.891,592.179,615.844,559.928,551.160,537.389,628.702,368.895,562.951,525.138,535.125,565.948,556.750,577.512,584.974,541.702,563.120,566.741,576.367,592.805,566.537,520.843,600.048,610.753,572.184,546.106,593.546,555.684,575.159,543.632,655.009,550.383,603.746,557.949
2019-01-09,575.629,557.726,573.249,565.412,567.374,563.294,520.095,-1.000,608.636,596.337,599.680,617.036,595.122,581.123,605.420,550.485,540.261,579.754,581.943,593.144,616.631,561.147,552.452,538.804,629.392,372.383,564.148,526.655,536.553,567.121,557.994,578.594,586.001,543.070,564.312,567.905,577.454,593.765,567.709,522.395,600.952,611.578,573.309,547.442,594.503,556.944,576.257,544.983,655.513,551.679,604.627,559.183
2019-01-10,576.785,559.036,574.425,566.655,568.599,564.558,521.748,-1.000,609.525,597.325,600.643,617.860,596.124,582.234,606.334,551.857,541.730,580.878,583.047,594.157,617.456,562.425,553.807,540.286,630.116,375.992,565.403,528.245,538.049,568.350,559.297,579.728,587.077,544.504,565.562,569.125,578.595,594.771,568.937,524.020,601.901,612.444,574.490,548.843,595.507,558.264,577.408,546.400,656.041,553.037,605.551,560.477
